,FOXD2 (2306)
ACH-000900,-0.03389337780291665
ACH-000901,-0.10481545039516386
ACH-000905,-0.04775465033273226
ACH-000906,-0.20008953632755708
ACH-000907,-0.16853706897700432
ACH-000910,-0.21094125817616674
ACH-000911,-0.146819192399827
ACH-000912,-0.2329980529502371
ACH-000913,-0.13901160631749054
ACH-000915,-0.10697453748243196
ACH-000916,0.3348045038622379
ACH-000917,-0.10535414626742368
ACH-000920,-0.2886272947837622
ACH-000921,-0.05475199356152937
ACH-000924,-0.2861126450626509
ACH-000926,-0.14937152938875026
ACH-000928,-0.1841776135503102
ACH-000929,-0.15472917876564726
ACH-000932,-0.1048052364927033
ACH-000935,-0.11853586928125386
ACH-000936,-0.12881279871472426
ACH-000937,-0.10976221875187823
ACH-000938,-0.09210848491452628
ACH-000939,-0.2631705102908865
ACH-000941,-0.011282475808906648
ACH-000943,-0.1002707478278214
ACH-000946,-0.11446081599531464
ACH-000947,-0.11522438706862245
ACH-000948,-0.033424137373597826
ACH-000950,-0.2281936528351442
ACH-000953,-0.05388691386606111
ACH-000954,-0.2857022542008436
ACH-000957,-0.13510070468491184
ACH-000958,-0.2151680248374528
ACH-000960,-0.14933400511130865
ACH-000963,0.10649872298300088
ACH-000968,-0.10268432833172242
ACH-000969,-0.24860582407405085
ACH-000972,0.24722301632237725
ACH-000973,-0.1370877207109054
ACH-000974,-0.17106465593140913
ACH-000978,0.059455742104695335
ACH-000984,-0.1466867775337578
ACH-000986,-0.1367728535529145
ACH-000988,-0.10686800810968708
ACH-000993,-0.03281469864110185
ACH-000994,-0.17255702390504452
ACH-000996,-0.016836286755020826
ACH-001001,-0.2453243065723385
ACH-001020,0.06299800588916872
ACH-001028,-0.1001309527119284
ACH-001031,-0.2800679863396188
ACH-001038,0.01579649540529651
ACH-001048,-0.02035452371885899
ACH-001050,-0.15386096157875276
ACH-001053,-0.13591583797810874
ACH-001054,-0.110779274490413
ACH-001061,-0.13485908996964496
ACH-001067,-0.08789006845075044
ACH-001075,-0.05261019753925656
ACH-001096,-0.09381304353137387
ACH-001111,-0.06592122430557591
ACH-001119,-0.02680253647788573
ACH-001128,-0.2249396033000372
ACH-001134,-0.08546927625981257
ACH-001151,-0.09592487858532828
ACH-001163,-0.11104851393815453
ACH-001164,-0.041556856905946536
ACH-001183,-0.02275144425353431
ACH-001192,-0.2033599781587371
