,DBN1 (1627)
ACH-000787,0.10976883777847826
ACH-000788,-0.026177448012942462
ACH-000791,-0.14027167646689065
ACH-000792,0.002255830876460516
ACH-000794,-0.028216524513252288
ACH-000796,0.02563350153993681
ACH-000798,0.08170684186544125
ACH-000799,0.14354019756588113
ACH-000800,0.181417583259086
ACH-000802,-0.020748133266263204
ACH-000804,0.2356261875348264
ACH-000805,0.21970595366482146
ACH-000809,0.07045045798918795
ACH-000810,-0.1218010700401232
ACH-000811,0.00490944389389559
ACH-000817,0.13084218384324792
ACH-000819,-0.04147660170052154
ACH-000820,0.05855459538866105
ACH-000821,0.2195677777047202
ACH-000822,0.20724272383297304
ACH-000823,0.004923884795626029
ACH-000824,-0.016845048933009088
ACH-000827,0.02622673142633984
ACH-000829,-0.0224348946628522
ACH-000831,0.013464492286021885
ACH-000832,0.021161928816026528
ACH-000833,-0.31696946949440497
ACH-000834,0.22926469075936595
ACH-000835,-0.017208497123743345
ACH-000836,0.09163999218126828
ACH-000837,-0.15156734221333726
ACH-000838,0.059695457694391836
ACH-000839,0.07224417780167625
ACH-000840,0.031623074341035916
ACH-000841,-0.11649248736040302
ACH-000843,-0.004725257044605935
ACH-000846,-0.016492333205483354
ACH-000847,-0.16933146823289202
ACH-000848,-0.03071154092215781
ACH-000849,0.11236856254872722
ACH-000851,0.01401201652481466
ACH-000855,0.19897183874793176
ACH-000856,-0.11443533631248555
ACH-000858,0.06404053693172153
ACH-000859,-0.10030383617839443
ACH-000861,0.06702466392563906
ACH-000862,0.02197566670954073
ACH-000865,-0.08600627187265664
ACH-000866,-0.019029601609822915
ACH-000867,0.04206567294567215
ACH-000869,-0.12507882080592655
ACH-000872,0.12439514890892675
ACH-000873,-0.007312175349153276
ACH-000876,0.007617687006736517
ACH-000878,-0.2203924332183228
ACH-000880,-0.0904283133082901
ACH-000881,0.046199908272707285
ACH-000882,0.05528458204147298
ACH-000884,-0.020719981232754144
ACH-000885,-0.07646822126081737
ACH-000887,0.025157805908020445
ACH-000889,-0.009083419052980352
ACH-000896,0.07071023663146762
ACH-000898,0.01751444828796049
ACH-000900,-0.012576385984750324
ACH-000901,-0.08049719574696004
ACH-000905,0.17910079614804209
ACH-000906,0.021273805707129025
ACH-000907,0.056864357428447636
ACH-000910,-0.06103871149844563
ACH-000911,-0.05941735536081383
ACH-000912,0.06723287841120451
ACH-000913,-0.004019569008802305
ACH-000915,0.028461389648285138
ACH-000916,0.2858707670302909
ACH-000917,-0.03269245028666076
ACH-000920,0.07087335317336184
ACH-000921,0.013921569772772443
ACH-000924,-0.026168580051462997
ACH-000926,-0.05141852443248772
ACH-000928,0.05575659450305904
ACH-000929,0.1342823315352222
ACH-000932,-0.00306918747501208
ACH-000935,0.05385176717087488
ACH-000936,0.002597717900496152
ACH-000937,-0.022079846353066496
ACH-000938,0.14232281664220986
ACH-000939,-0.17058457402481972
ACH-000941,0.02074786438511752
ACH-000943,0.13687565898930087
ACH-000946,0.06996777522182868
ACH-000947,0.00895993267378447
ACH-000948,0.006169793983858646
ACH-000950,0.2658511921840718
ACH-000953,-0.049456308834512505
ACH-000954,-0.08721466254792938
ACH-000957,0.06769724326654647
ACH-000958,0.20992221411899287
ACH-000960,-0.12114491557023872
ACH-000963,-0.2527249458457263
ACH-000968,0.05231366083200698
ACH-000969,0.13725320186163875
ACH-000972,-0.19953938132270785
ACH-000973,-0.05842576378424937
ACH-000974,-0.03384410948391495
ACH-000978,-0.3145156987790225
ACH-000984,-0.05648180194694361
ACH-000986,-0.06609443168084285
ACH-000988,-0.10691940532469514
ACH-000993,-0.12516300265053204
ACH-000994,-0.11340210232998205
ACH-000996,-0.06868773767784067
ACH-001001,0.00491386343846991
ACH-001020,0.00184789658082745
ACH-001028,-0.011125014811440685
ACH-001031,0.10606377483273308
ACH-001038,0.05098226983979761
ACH-001048,-0.04191203451234293
ACH-001050,-0.06620723426844077
ACH-001053,-0.06493804380714734
ACH-001054,-0.01259235593171222
ACH-001061,0.015724522110649383
ACH-001067,-0.024385297320811936
ACH-001075,0.18643984519763274
ACH-001096,0.07438356235641824
ACH-001111,-0.2920186250065798
ACH-001119,0.13001594215083906
ACH-001128,-0.015851834077976155
ACH-001134,-0.08569404750959146
ACH-001151,-0.051322936637785664
ACH-001163,0.03140264680235782
ACH-001164,-0.1618613991925689
ACH-001183,-0.22193101491450934
ACH-001192,-0.06412674537319678
ACH-001193,0.27421376134375064
ACH-001196,-0.057477182419711226
ACH-001197,-0.055103010265820984
ACH-001205,0.10848451975830856
ACH-001211,0.18506535819592504
ACH-001212,0.03622936145040199
ACH-001228,0.06428671765589201
ACH-001232,-0.10354027784706248
ACH-001239,0.06591256143344956
ACH-001270,0.2198795668620896
ACH-001274,0.15192337769561898
ACH-001275,0.05495820224510595
ACH-001277,0.05565811902824031
ACH-001278,0.07104123672496149
ACH-001280,-0.19281671991233987
ACH-001283,-0.005641057558722014
ACH-001289,0.12493070426170587
ACH-001300,0.01028852503319913
ACH-001301,0.1960985540302428
ACH-001302,0.010279192567540136
ACH-001306,-0.053581846657211364
ACH-001318,0.03115920176188072
ACH-001322,-0.20206935309182503
ACH-001328,0.02310085776998503
ACH-001332,0.04817100860928426
ACH-001336,0.0004542005831443498
ACH-001346,0.04622996171379768
ACH-001353,0.0723958041299201
ACH-001354,0.08953656561848193
ACH-001367,0.04562797440066673
ACH-001368,0.0181981066705648
ACH-001374,0.007384207786171731
ACH-001377,0.005612521596731518
ACH-001380,-0.013264239570509914
ACH-001391,0.09177591352154252
ACH-001408,0.21623459973444767
ACH-001430,0.1453748211864494
ACH-001431,0.09016681271670178
ACH-001450,0.05169680672280984
ACH-001496,-0.08027438834055298
ACH-001500,-0.016171716716142554
ACH-001523,0.08540117985436951
ACH-001532,0.05335958195252176
ACH-001550,-0.022767625882373937
ACH-001552,-0.17640045331958698
ACH-001554,-0.12066361566013804
ACH-001654,-0.055107759032537514
ACH-001735,-0.13788889989477893
ACH-001736,-0.08029308691228716
ACH-001737,-0.0648333777390991
ACH-001740,0.02541871786751937
ACH-001745,-0.11918657751485184
ACH-001765,-0.02630194211852841
