,PLXNB2 (23654)
ACH-000823,0.15135892054488198
ACH-000824,0.20327472108919206
ACH-000827,0.1517135724051116
ACH-000829,0.06547371970483135
ACH-000831,0.12552895659295216
ACH-000832,0.226406314058071
ACH-000833,0.08789937116945709
ACH-000834,0.06758822157345556
ACH-000835,0.194998563571572
ACH-000836,0.06622958327514193
ACH-000837,0.0625260565695223
ACH-000838,-0.05245569258527703
ACH-000839,0.3228491386372443
ACH-000840,0.3137002226409967
ACH-000841,0.11625600159498566
ACH-000843,0.2283364603404258
ACH-000846,-0.14877216725374331
ACH-000847,0.13961986389895467
ACH-000848,0.016173168886432613
ACH-000849,0.2293067143171555
ACH-000851,0.13283299686183558
ACH-000855,0.22140480795478895
ACH-000856,0.08921170516644253
ACH-000858,0.17243935807854327
ACH-000859,0.08303357334009068
ACH-000861,0.08910343012069466
ACH-000862,0.1267286886353446
ACH-000865,0.118464672886547
ACH-000866,0.16285512430029792
ACH-000867,0.10104438525410664
ACH-000869,0.013423550718880704
ACH-000872,0.1655171940249593
ACH-000873,0.1854011517548109
ACH-000876,0.2797334650244763
ACH-000878,0.15553765113027285
ACH-000880,0.11586330626697736
ACH-000881,0.2213397669589717
ACH-000882,0.13983740562799124
ACH-000884,0.15366607886235134
ACH-000885,0.3538364271126321
ACH-000887,0.12754458084157394
ACH-000889,0.1310771295299744
ACH-000896,0.1167273946603546
ACH-000898,0.06392192372409053
ACH-000900,0.1544171327709734
ACH-000901,0.09127490021237217
ACH-000905,0.2274459209714259
ACH-000906,0.06776276007101535
ACH-000907,0.22143396220467326
ACH-000910,0.02835454041600216
ACH-000911,0.16598065495437406
ACH-000912,0.3374253048370291
ACH-000913,0.24376074229360956
ACH-000915,0.18867537598759115
ACH-000916,0.03737339098250049
ACH-000917,0.19726537837977068
ACH-000920,0.10107888751310956
ACH-000921,0.11383607299976348
ACH-000924,0.07458823678363039
ACH-000926,-0.06264788137236166
ACH-000928,0.03181802581565259
ACH-000929,-0.012736345311116243
ACH-000932,0.11735055664367465
ACH-000935,0.05007096471707525
ACH-000936,0.025348658039453586
ACH-000937,0.052902279076252896
ACH-000938,0.1098268302929918
ACH-000939,-0.01708519314493514
ACH-000941,0.012075006782966307
ACH-000943,0.15373457271212002
ACH-000946,0.07718054773719517
ACH-000947,0.0035346179309191576
