,STEAP3 (55240)
ACH-000867,-0.06229317408866855
ACH-000869,-0.2411605692880611
ACH-000872,-0.1840472091206181
ACH-000873,-0.08292136768025844
ACH-000876,-0.031327523697257324
ACH-000878,-0.0908447237499696
ACH-000880,-0.02325729189293663
ACH-000881,-0.0930861119008125
ACH-000882,-0.14538408466039887
ACH-000884,-0.12434318505986465
ACH-000885,-0.1995929398496804
ACH-000887,-0.1304715254078191
ACH-000889,-0.1295566579013282
ACH-000896,-0.32076672500335485
ACH-000898,0.06478045064489225
ACH-000900,0.016664028604138847
ACH-000901,-0.11196081837587094
ACH-000905,-0.09566735790315516
ACH-000906,-0.10836268603239116
ACH-000907,-0.21203240846927698
ACH-000910,-0.12500145455553566
ACH-000911,-0.006244996930262178
ACH-000912,-0.16186120233557458
ACH-000913,-0.1041280218136533
ACH-000915,-0.10726751110356213
ACH-000916,-0.13324448822098087
ACH-000917,0.024045228863795245
ACH-000920,0.4795089384229913
ACH-000921,-0.14876955175395712
ACH-000924,-0.12236205263299613
ACH-000926,-0.22561100129310135
ACH-000928,-0.24379738363778364
ACH-000929,-0.018277723563644287
ACH-000932,-0.07260819877947305
ACH-000935,-0.09781541928038592
ACH-000936,-0.1838555225493116
ACH-000937,-0.012992109110280406
ACH-000938,0.01831566279765539
ACH-000939,-0.16693039250324218
ACH-000941,-0.34081783510375185
ACH-000943,0.012308196122467769
ACH-000946,0.011878244005672032
ACH-000947,-0.17041892302546274
ACH-000948,0.039850795605615816
ACH-000950,0.06484852284223495
ACH-000953,-0.21003959057307664
ACH-000954,-0.3685085352069887
ACH-000957,0.08252380698215481
ACH-000958,0.08070546188485242
ACH-000960,-0.09213983156572984
ACH-000963,-0.04606929145686525
ACH-000968,-0.2451034430711014
ACH-000969,-0.07448086938057867
ACH-000972,-0.4646746107162834
ACH-000973,-0.13284997353152936
ACH-000974,-0.1649439252293691
ACH-000978,-0.28661222517221857
ACH-000984,-0.2275410219071307
ACH-000986,-0.005049464251098035
ACH-000988,-0.14974483356757984
ACH-000993,-0.13726009466139427
ACH-000994,-0.11922347672187927
ACH-000996,-0.20657455724171148
ACH-001001,-0.02436440182881081
ACH-001020,-0.14483727256803336
ACH-001028,-0.23469493054842386
ACH-001031,-0.16120892583828708
ACH-001038,-0.06719642055711735
ACH-001048,-0.3443801125734489
ACH-001050,-0.14640461292932005
ACH-001053,-0.16138947805243622
ACH-001054,-0.39646506337995147
