,TEX264 (51368)
ACH-001232,-0.09454421509487854
ACH-001239,0.006438003387556744
ACH-001270,0.0160602901021026
ACH-001274,0.17232610153475492
ACH-001275,-0.0074773503326959236
ACH-001277,-0.08697848618658749
ACH-001278,-0.04591889508704309
ACH-001280,0.02543575434697835
ACH-001283,0.20224333351919274
ACH-001289,-0.0014974353494260973
ACH-001300,0.004138623191578082
ACH-001301,0.15789088093076253
ACH-001302,-0.06507194206609566
ACH-001306,0.056698698711356924
ACH-001318,-0.016398527876267114
ACH-001322,0.03727464857425413
ACH-001328,-0.0689513499500841
ACH-001332,-0.1115902340132912
ACH-001336,-0.07328444984767657
ACH-001346,0.05542824103407578
ACH-001353,0.0999635658869543
ACH-001354,-0.035772209204595194
ACH-001367,-0.008359994588708656
ACH-001368,-0.05534793063937661
ACH-001374,-0.07465031624381835
ACH-001377,0.08033312391917033
ACH-001380,-0.03099732731262146
ACH-001391,-0.08965553383663181
ACH-001408,0.01212601773371686
ACH-001430,0.0867574182839831
ACH-001431,-0.053749436473642304
ACH-001450,0.07006864739249412
ACH-001496,-0.045830415584964826
ACH-001500,-0.08649408919497699
ACH-001523,0.1078632353324932
ACH-001532,-0.0579843344451945
ACH-001550,0.06629469595368881
ACH-001552,-0.028220032711674194
ACH-001554,0.08781076036564497
ACH-001654,0.01825856938271153
ACH-001735,-0.0011385336044155913
ACH-001736,-0.01947113688657691
ACH-001737,0.2097140389614672
ACH-001740,-0.05041351732819821
ACH-001745,-0.0954914666159238
ACH-001765,-0.023409816677507377
