,ST8SIA1 (6489)
ACH-000849,0.023791303358679825
ACH-000851,0.08382983838055029
ACH-000855,0.078570693938563
ACH-000856,-0.0016418624280167724
ACH-000858,0.07774654766094255
ACH-000859,0.1362152701493983
ACH-000861,0.20266927441920973
ACH-000862,0.03668497098372593
ACH-000865,-0.10127309055054977
ACH-000866,-0.05282536401932069
ACH-000867,0.07301317598300938
ACH-000869,0.03161685630901806
ACH-000872,0.10651240663502697
ACH-000873,-0.05101215159510387
ACH-000876,-0.06718072026778521
ACH-000878,-0.04481359188947779
ACH-000880,-0.05532264948904266
ACH-000881,-0.03736879904384036
ACH-000882,0.05999750425057765
ACH-000884,0.14440778370214385
ACH-000885,0.10754930717480198
ACH-000887,0.027370128505205562
ACH-000889,0.011052587005853851
ACH-000896,0.013121593175114082
ACH-000898,0.016779571462994997
ACH-000900,0.020759763009329718
ACH-000901,0.0252549444432046
ACH-000905,0.0797161897370491
ACH-000906,-0.004662057286165905
ACH-000907,0.018330982383473592
ACH-000910,-0.05672064256843457
ACH-000911,0.00443194364085738
ACH-000912,0.00035999525025961804
ACH-000913,0.025938683206736358
ACH-000915,0.007097892533395203
ACH-000916,0.4775989299476274
ACH-000917,0.03456262949006684
ACH-000920,0.011141997970888386
ACH-000921,-0.08027808743239834
ACH-000924,0.014313455360814109
ACH-000926,0.027782461910063217
ACH-000928,0.1996652968192876
ACH-000929,0.029947052359044986
ACH-000932,-0.1496804351773309
ACH-000935,0.08917450957978569
ACH-000936,0.04245531034374709
ACH-000937,0.07157038809487526
ACH-000938,-0.018623070313061117
ACH-000939,-0.08615008228264658
ACH-000941,0.022600341072431147
ACH-000943,-0.02802890096746935
ACH-000946,-0.07297056060426044
ACH-000947,0.07089024185155568
ACH-000948,0.01874252370423349
ACH-000950,0.0646305390549918
ACH-000953,0.2511242518596125
ACH-000954,-0.0003646222557245853
ACH-000957,-0.035006408501163384
ACH-000958,-0.048935240070201856
ACH-000960,0.17713868086329462
ACH-000963,0.16715457549616206
ACH-000968,0.1866829475343296
ACH-000969,0.1027914502646308
ACH-000972,-0.06644123347950877
ACH-000973,0.07407456586820578
ACH-000974,-0.0745248459582525
ACH-000978,-0.09292784232021052
ACH-000984,-0.012112859820919673
ACH-000986,-0.00683436929650439
ACH-000988,0.14596261563254964
ACH-000993,-0.04385651549060638
ACH-000994,-0.011632769570035765
ACH-000996,0.08956720492200818
ACH-001001,-0.013102833709884569
ACH-001020,0.05335176000019246
ACH-001028,0.03079869317065408
ACH-001031,0.10063058756497097
ACH-001038,-0.11068594520778767
ACH-001048,-0.07403340490771443
ACH-001050,0.10940865574132873
ACH-001053,0.12641114900305814
ACH-001054,0.09491433372274294
ACH-001061,0.0659849776923088
ACH-001067,0.00705378457567077
ACH-001075,0.01974361792000261
ACH-001096,0.18782980107068128
ACH-001111,0.14708336573593184
ACH-001119,-0.10702492351540206
ACH-001128,-0.16425520483072675
ACH-001134,-0.00461501434407194
ACH-001151,-0.008839524961627175
ACH-001163,-0.07169790455882477
ACH-001164,-0.054679928763822265
ACH-001183,-0.037767660703864565
ACH-001192,-0.1858535578739684
ACH-001193,-0.1419265909876404
ACH-001196,0.05109091925915619
ACH-001197,0.05335479593408042
ACH-001205,-0.09636337844979724
ACH-001211,0.08597713305544602
ACH-001212,-0.04709454092200152
ACH-001228,0.07144200035053995
ACH-001232,0.03985108691405117
ACH-001239,-0.031597014835680864
ACH-001270,-0.30207606068326537
ACH-001274,-0.1425974473697017
ACH-001275,-0.039178964727326314
ACH-001277,0.13353663901220353
ACH-001278,0.005986321076025137
ACH-001280,-0.050800033413526256
ACH-001283,0.017840561073939814
ACH-001289,-0.004833643827832933
ACH-001300,-0.010471442908914906
ACH-001301,-0.1202495008506786
ACH-001302,0.07932757112148145
ACH-001306,0.0391762349738963
ACH-001318,0.002940042579222845
ACH-001322,-0.08683645406572434
ACH-001328,0.02710251158674137
ACH-001332,0.15574550004544266
ACH-001336,0.05532322079143913
ACH-001346,0.044507877545644184
ACH-001353,-0.06725847865972934
ACH-001354,0.07860150727361702
ACH-001367,-0.1504115954087997
ACH-001368,0.11566582765663065
ACH-001374,-0.1805986669773215
ACH-001377,-0.009057218733213072
ACH-001380,0.1028061642748024
ACH-001391,0.22071205048345785
ACH-001408,0.06862331995042482
ACH-001430,-0.12489602635028953
ACH-001431,-0.0721547469337229
ACH-001450,0.1130172195258776
ACH-001496,0.10972361037600432
ACH-001500,-0.15076715180597033
ACH-001523,0.012958364552754826
ACH-001532,-0.10832743329008176
ACH-001550,-0.05727604774885591
ACH-001552,-0.16221369463793653
ACH-001554,-0.0472825615188213
ACH-001654,-0.015094140416618778
ACH-001735,0.0053064207973553676
ACH-001736,0.11881433993496435
ACH-001737,0.06427659453545016
ACH-001740,0.16648411448408632
ACH-001745,0.17726769646177792
ACH-001765,0.05783444342651189
