,EIF4G2 (1982)
ACH-001053,-0.8186014298345332
ACH-001054,-0.8149011445849496
ACH-001061,-0.6181608652205193
ACH-001067,-0.5357153375508127
ACH-001075,-0.3377177571539876
ACH-001096,-0.5616127139761208
ACH-001111,-0.6252551128778285
ACH-001119,-0.5299792135585891
ACH-001128,-0.986169051509418
ACH-001134,-0.7669069469439218
ACH-001151,-0.8599035478449469
ACH-001163,-0.8061625978414143
ACH-001164,-0.5036523740175707
ACH-001183,-0.8973355390719978
ACH-001192,-0.8058109902944688
ACH-001193,-0.5682888877532338
ACH-001196,-0.6109817240171922
ACH-001197,-0.4099654619127968
ACH-001205,-0.7883137972892674
ACH-001211,-0.9668267365656752
ACH-001212,-0.6902267198958622
ACH-001228,-0.43673102074951975
ACH-001232,0.1671769077922125
ACH-001239,-0.5944630991889528
ACH-001270,-0.653114143012282
ACH-001274,-0.7805109374329028
ACH-001275,-0.7899783444573009
ACH-001277,-0.9190606683255396
ACH-001278,-0.7255566581561745
ACH-001280,-0.7513264149918911
ACH-001283,-0.9697302752568244
ACH-001289,-0.4899013416822995
ACH-001300,-0.706083470551395
ACH-001301,-0.7114373490131739
ACH-001302,-0.6692354185102292
ACH-001306,-0.4888716109894609
ACH-001318,-0.8161354674438819
ACH-001322,-0.4789129058969049
ACH-001328,-0.6369160735506116
ACH-001332,-0.5843589613249769
ACH-001336,-0.5790078529576784
ACH-001346,-0.5625630544666552
ACH-001353,-0.4448930441236241
ACH-001354,-0.7649642859895533
ACH-001367,-0.8264795666078371
ACH-001368,-0.409517105118447
ACH-001374,-0.8752744297804297
ACH-001377,-0.7433050191545535
ACH-001380,-0.4520655967925445
ACH-001391,-0.8151917757871558
ACH-001408,-0.8854199391528861
ACH-001430,-0.8955672274555798
ACH-001431,-0.7361186218642841
ACH-001450,-0.6072156919702536
ACH-001496,-0.93687105937253
ACH-001500,-0.7545682928785399
ACH-001523,-0.606349983535058
ACH-001532,-0.7469542133685562
ACH-001550,-0.5828258933360263
ACH-001552,-0.788793111599523
ACH-001554,-0.6979250973607675
ACH-001654,-0.6641368516068181
ACH-001735,-0.6269119196311631
ACH-001736,-0.5879121875357844
ACH-001737,-0.3369093466121832
ACH-001740,-0.8116348709789277
ACH-001745,-0.7863271651877527
ACH-001765,-0.7657801421355962
