,GLIS1 (148979)
ACH-000573,-0.05983404293870009
ACH-000576,-0.1302829768413402
ACH-000579,-0.19970215482904236
ACH-000580,0.06838598013774756
ACH-000584,0.01971033118083764
ACH-000585,-0.12919887396055912
ACH-000588,0.060733815844103686
ACH-000589,-0.0007382421837171229
ACH-000591,-0.11105055618871344
ACH-000593,-0.1683026623894865
ACH-000600,-0.2809700380034721
ACH-000601,-0.021843505727914502
ACH-000605,-0.14995076670739704
ACH-000606,-0.13711039218718135
ACH-000608,-0.045341412442462606
ACH-000614,-0.1032258450985718
ACH-000616,-0.02628924156181488
ACH-000618,-0.1157089456386993
ACH-000619,0.2269348050669149
ACH-000620,-0.13161006605786088
ACH-000621,0.005600563200110949
ACH-000622,0.09306879652059467
ACH-000623,-0.05077459877849445
ACH-000624,-0.01940986082976119
ACH-000627,-0.009062497614959149
ACH-000630,-0.10606751595723868
ACH-000631,0.2038639645094053
ACH-000632,-0.034564456903239636
ACH-000633,-0.03783165373608125
ACH-000637,-0.08264688575028406
ACH-000638,-0.08025132524635033
ACH-000646,-0.1962277336083848
ACH-000647,0.016639717787819
ACH-000648,0.010940581244898613
ACH-000649,-0.06134199853587674
ACH-000651,-0.026984593804384543
ACH-000652,-0.01896443135935107
ACH-000653,-0.033658735192046464
ACH-000657,-0.033325077407266486
ACH-000658,0.08481699302254073
ACH-000661,-0.06351780852650388
ACH-000662,-0.16883844659853936
ACH-000663,0.06240079968276108
ACH-000665,0.04047436847245712
ACH-000671,-0.1761060549413566
ACH-000672,-0.2407540968680449
ACH-000673,0.005765970657325877
ACH-000676,-0.013505422827637134
ACH-000677,-0.04048342285715202
ACH-000681,-0.02845299684638654
ACH-000683,-0.0708008416213146
ACH-000684,0.02773445951829234
ACH-000688,-0.12015635783718052
ACH-000693,-0.08598241492556784
ACH-000694,-0.042332262682819234
ACH-000695,-0.019441736069299997
ACH-000696,-0.04060762584378988
ACH-000697,-0.21850197775178146
ACH-000699,-0.06906210048729765
ACH-000701,0.03935353536707214
ACH-000706,0.0966120829780872
ACH-000711,-0.027443587095069936
ACH-000713,-0.12141919539352156
ACH-000714,-0.03184908016763075
ACH-000718,0.10042728204296912
ACH-000720,0.08879676920363752
ACH-000721,0.015612587949377116
ACH-000724,0.012229406771804526
ACH-000725,-0.018815126334651038
ACH-000732,-0.046669380077849265
ACH-000734,-0.005161795386948394
ACH-000735,-0.03978848621032585
ACH-000736,-0.02245477733779537
ACH-000738,-0.1032992177171753
ACH-000746,0.0886758188212835
ACH-000747,-0.0778891120571269
ACH-000748,-0.022254614828692947
ACH-000753,-0.060372536019510065
ACH-000756,0.12563740441686966
ACH-000757,-0.06973404398942527
ACH-000758,-0.13775220909889835
ACH-000760,-0.009023322031204851
ACH-000762,-0.05660938424332281
ACH-000763,0.015309548969979088
ACH-000764,-0.15712831024839874
ACH-000765,-0.04777524624301705
ACH-000766,-0.06015905387214405
ACH-000767,0.05150865449193221
ACH-000768,0.11297095525174428
ACH-000769,-0.02996672746603313
ACH-000770,-0.010982582612506234
ACH-000771,-0.05279613375736979
ACH-000773,-0.0351289558336237
ACH-000776,-0.18908184287156696
ACH-000777,0.09460861313713677
ACH-000778,-0.055964278399427414
ACH-000781,0.08253744600422057
ACH-000782,-0.15105360744762802
ACH-000783,0.03165820207929612
ACH-000784,-0.07608167936166431
ACH-000785,-0.15064914178729702
ACH-000787,-0.12025676158137664
ACH-000788,-0.042550338419414094
ACH-000791,-0.12024360149534845
ACH-000792,0.05479016058226583
ACH-000794,-0.15041295309844102
ACH-000796,0.039680547457429535
ACH-000798,0.08184081109974853
ACH-000799,0.09420550814509288
ACH-000800,-0.02565612048885324
ACH-000802,-0.16658120161933815
ACH-000804,-0.0218590593264173
ACH-000805,0.22901505883942205
ACH-000809,0.001089798550674828
ACH-000810,-0.2118788896208464
ACH-000811,0.012607561252055406
ACH-000817,-0.11578058839311135
ACH-000819,-0.1096729797072048
ACH-000820,-0.04838212665657531
ACH-000821,-0.11720051884698282
ACH-000822,-0.05012252704395613
ACH-000823,-0.11406505551263996
ACH-000824,0.04680325096680598
ACH-000827,0.00698498582193586
ACH-000829,0.05400226691495803
ACH-000831,-0.07010901282545093
ACH-000832,0.042215039283648934
ACH-000833,-0.05825198971674207
ACH-000834,-0.005481067297362289
ACH-000835,0.012005450124167028
ACH-000836,-0.029429931478886662
ACH-000837,-0.03827457476178706
ACH-000838,0.01574772877592976
ACH-000839,-0.14271899586144746
ACH-000840,-0.2739912952160272
ACH-000841,0.14780937172014616
ACH-000843,-0.13414878859289472
ACH-000846,-0.1396672944868639
ACH-000847,-0.1200571095294217
ACH-000848,0.00402952083830079
ACH-000849,-0.14022010274758745
ACH-000851,-0.2399573801639538
ACH-000855,-0.2768307639105805
ACH-000856,0.16871722158475566
ACH-000858,-0.10998598925539413
ACH-000859,-0.016005087607033272
ACH-000861,-0.06992661544054937
ACH-000862,0.028438561209686436
ACH-000865,-0.0843689354750834
ACH-000866,0.052706377288733564
ACH-000867,-0.004500193404008936
ACH-000869,0.042663084870234375
ACH-000872,-0.2088816769112407
ACH-000873,-0.04231168672107884
ACH-000876,-0.0575801343397904
ACH-000878,0.2290189944636646
ACH-000880,0.09711732867855287
ACH-000881,-0.00021697188794904642
ACH-000882,-0.19811483952082573
ACH-000884,-0.027088518942181814
ACH-000885,-0.0830997276290524
ACH-000887,-0.06626975481553464
ACH-000889,0.0012456441017401436
ACH-000896,0.061847140178815416
ACH-000898,-0.19149348593931415
ACH-000900,0.04933482258751567
ACH-000901,-0.11997551558088952
ACH-000905,0.06037324882766967
ACH-000906,-0.09134160201770074
ACH-000907,-0.06474015963597901
ACH-000910,-0.009929102959178156
ACH-000911,-0.1761906371126912
ACH-000912,0.08200922389575747
ACH-000913,0.1001152653254378
ACH-000915,-0.026017704460643432
ACH-000916,-0.2769880004835128
ACH-000917,0.013207562977306188
ACH-000920,-0.11989577897450393
ACH-000921,-0.03312292726882926
ACH-000924,-0.09409477122624624
ACH-000926,0.07961568802026546
ACH-000928,-0.04229553091450368
ACH-000929,0.019542169773278155
ACH-000932,0.028556980675177014
ACH-000935,0.11270373666455773
ACH-000936,-0.08605740475268311
ACH-000937,-0.0826468568001885
ACH-000938,-0.17835447071208752
ACH-000939,0.01004527280539202
ACH-000941,-0.0864482914171028
ACH-000943,-0.021103455918309425
ACH-000946,-0.06945480730107342
ACH-000947,0.06402387640816658
