,PROK1 (84432)
ACH-000765,-0.23704331653699584
ACH-000766,-0.1265078927953128
ACH-000767,-0.03633929822060708
ACH-000768,0.029252659981948717
ACH-000769,-0.058790055056536464
ACH-000770,-0.05910991308435394
ACH-000771,0.048701276645634915
ACH-000773,0.11778114316583745
ACH-000776,-0.0932440593157352
ACH-000777,0.02765949497817257
ACH-000778,-0.25129557594506563
ACH-000781,-0.07776792611314752
ACH-000782,-0.24968077303886366
ACH-000783,-0.046292437150770735
ACH-000784,-0.060113032101895336
ACH-000785,-0.04102819896337862
ACH-000787,-0.0998472754432222
ACH-000788,-0.11639328781042745
ACH-000791,-0.15135047916485514
ACH-000792,-0.15205203905901996
ACH-000794,-0.12727716613315512
ACH-000796,-0.054162297363175994
ACH-000798,-0.03977530491975107
ACH-000799,0.10686366883633787
ACH-000800,-0.09490233156864628
ACH-000802,-0.11414968788149706
ACH-000804,0.0030557336244821853
ACH-000805,0.0924007671685825
ACH-000809,-0.115425869650511
ACH-000810,-0.09037697388430796
ACH-000811,-0.12734338765024172
ACH-000817,-0.10563943071989026
ACH-000819,-0.12299099909678628
ACH-000820,0.18973520722934611
ACH-000821,-0.07519195813890509
ACH-000822,-0.02903349847977847
ACH-000823,-0.06411560401802575
ACH-000824,-0.0232127429843287
ACH-000827,-0.0346679820388805
ACH-000829,-0.1318299744745435
ACH-000831,-0.27520888018900314
ACH-000832,-0.24136115764764302
ACH-000833,-0.2024999231921541
ACH-000834,-0.16975259626193126
ACH-000835,-0.1199153417151409
ACH-000836,-0.002645532811203011
ACH-000837,-0.10550269789755973
ACH-000838,-0.3013473347130817
ACH-000839,-0.09560168522377932
ACH-000840,0.04630143434774755
ACH-000841,-0.06997750224993148
ACH-000843,-0.13792644164471152
ACH-000846,-0.12912075746821566
ACH-000847,-0.05916526809669999
ACH-000848,-0.13087523153662994
ACH-000849,-0.1816263307024391
ACH-000851,-0.1206255286227794
ACH-000855,-0.13148453824739534
ACH-000856,0.018427276320566482
ACH-000858,-0.08481284701601992
ACH-000859,-0.16273990436062946
ACH-000861,0.0368951072215359
ACH-000862,-0.06717301814296005
ACH-000865,0.02409331179709537
ACH-000866,-0.10891511967250296
ACH-000867,-0.12060176890599172
ACH-000869,-0.2162028483450175
ACH-000872,-0.2152659802509102
ACH-000873,-0.16546320449352878
ACH-000876,-0.12692710772213495
ACH-000878,-0.05807332196100204
ACH-000880,-0.05577083911685411
ACH-000881,0.05755100046646719
ACH-000882,0.015842807238289222
ACH-000884,-0.1116807867150004
ACH-000885,0.03688346719512795
ACH-000887,-0.17653497806915666
ACH-000889,-0.2008088528023813
ACH-000896,-0.07676820327889694
ACH-000898,-0.16220739910506005
ACH-000900,0.1126152868457717
ACH-000901,-0.052119492401080235
ACH-000905,-0.07461971432512884
ACH-000906,-0.17851011579344297
ACH-000907,-0.0710967774344733
ACH-000910,-0.011433990744754024
ACH-000911,-0.07752775708458176
ACH-000912,-0.10595788380695983
ACH-000913,-0.1815002932291516
ACH-000915,-0.1399618894042157
ACH-000916,-0.27222653635683164
ACH-000917,-0.10406356733667624
ACH-000920,-0.2880069754621755
ACH-000921,-0.11560224875922458
ACH-000924,-0.024195543872231842
ACH-000926,-0.14693760317911206
ACH-000928,-0.04106145902189074
ACH-000929,-0.10382492589656936
ACH-000932,-0.039685802052490116
ACH-000935,-0.19621920215415106
ACH-000936,-0.2383906752222175
ACH-000937,-0.1377933863021319
ACH-000938,-0.06389041656798504
ACH-000939,-0.11590473003288987
ACH-000941,-0.13265046303574748
ACH-000943,-0.24394205934754815
ACH-000946,-0.11344697134157518
ACH-000947,-0.0886322996636528
ACH-000948,-0.11159071995794766
ACH-000950,-0.0743996890261983
ACH-000953,-0.16486642430511364
ACH-000954,-0.17445485701866814
ACH-000957,-0.0616949750911231
ACH-000958,0.11585991518429616
ACH-000960,-0.11037487539370802
ACH-000963,-0.09842598089670657
ACH-000968,-0.05062051235346319
ACH-000969,-0.07366646642143022
ACH-000972,0.0310199980194056
ACH-000973,-0.1134644213270121
ACH-000974,-0.031007882204711425
ACH-000978,-0.20380394128195464
ACH-000984,0.03964556850314234
ACH-000986,-0.08097755975901104
ACH-000988,-0.1310610456320314
ACH-000993,0.0641419421096956
ACH-000994,-0.18393643238938906
ACH-000996,-0.08658896138632667
ACH-001001,-0.13357449298431312
ACH-001020,-0.06157470004299138
ACH-001028,-0.17203466939349255
ACH-001031,-0.16549288450390304
ACH-001038,-0.07516709699163596
ACH-001048,-0.13393652221389726
ACH-001050,-0.2372230209412673
ACH-001053,-0.014416855611158725
ACH-001054,-0.15905618316487424
ACH-001061,-0.05572777450421893
ACH-001067,-0.20524976822525948
ACH-001075,0.0199725267822368
ACH-001096,-0.003181656423826623
ACH-001111,-0.216942925592796
ACH-001119,-0.07164989057148312
ACH-001128,-0.09236948999574088
ACH-001134,-0.15514082437582427
ACH-001151,-0.058445020749247775
ACH-001163,-0.1988408548628222
ACH-001164,-0.019309365823713447
ACH-001183,0.001942657957627764
ACH-001192,-0.05804742330360986
ACH-001193,-0.2003624320656704
ACH-001196,-0.05367150354154751
ACH-001197,-0.1881728825204453
ACH-001205,0.017929233282982994
ACH-001211,-0.10473024146064233
ACH-001212,-0.14784425063681622
ACH-001228,-0.08909225936660273
ACH-001232,-0.19527690625224575
ACH-001239,-0.06487487443705886
ACH-001270,0.026637838220868928
ACH-001274,-0.04797861914068527
ACH-001275,-0.032026661159442
ACH-001277,-0.04816081857934197
ACH-001278,0.010593155059596146
ACH-001280,0.10228001250630432
ACH-001283,-0.010795273520942762
ACH-001289,0.09926223241601216
ACH-001300,-0.16891067417559255
ACH-001301,0.04737161090032988
ACH-001302,-0.03940433719925527
ACH-001306,-0.17257913989283766
ACH-001318,-0.2256514905093973
ACH-001322,-0.053099324527981384
ACH-001328,-0.0786900810268884
ACH-001332,-0.17954292043746248
ACH-001336,0.03526152808652833
ACH-001346,-0.20977393316934545
ACH-001353,-0.07110301758646231
ACH-001354,-0.3349782388910288
ACH-001367,0.021508383532375958
ACH-001368,-0.07717634347280411
ACH-001374,-0.15229362401805133
ACH-001377,-0.011365977347853036
ACH-001380,-0.07794479126292814
ACH-001391,-0.0446583107323475
ACH-001408,-0.04503611373270909
ACH-001430,-0.10004436036240927
ACH-001431,0.08413061593600732
ACH-001450,-0.15696949762398846
ACH-001496,-0.1532640245901664
ACH-001500,-0.16295708268687534
ACH-001523,-0.00461624690090855
ACH-001532,-0.07928576066340738
ACH-001550,0.02887405584067498
ACH-001552,-0.039152287737292416
ACH-001554,-0.031257769363279425
ACH-001654,-0.07653398145161082
ACH-001735,-0.13927044638305686
ACH-001736,-0.2496387047755717
ACH-001737,0.04718715424465338
ACH-001740,-0.12717747173643446
ACH-001745,-0.1610225113833734
ACH-001765,-0.031200893979986037
