,P2RX3 (5024)
ACH-001532,-0.08854705362436523
ACH-001550,-0.14128987533814727
ACH-001552,-0.12984826700793667
ACH-001554,-0.0741910367549953
ACH-001654,-0.01651494371795987
ACH-001735,-0.14659764562957742
ACH-001736,-0.11934303411825894
ACH-001737,-0.7153285153492978
ACH-001740,-0.17526627317836205
ACH-001745,-0.009196448883650777
ACH-001765,-0.2177441959632223
