,IPPK (64768)
ACH-000622,-0.33077998546619003
ACH-000623,-0.17968990090327452
ACH-000624,-0.4880520459321402
ACH-000627,-0.3296198565939057
ACH-000630,-0.2227537704805792
ACH-000631,-0.34728092547373224
ACH-000632,-0.1372739538003955
ACH-000633,-0.08896866998733581
ACH-000637,-0.18148645480534936
ACH-000638,-0.14904697914835244
ACH-000646,-0.9354661871928772
ACH-000647,-0.3096671318550855
ACH-000648,-0.29220054493614617
ACH-000649,-0.31872302616499915
ACH-000651,-0.2529805328717587
ACH-000652,-0.2939020617901308
ACH-000653,-0.4954775910574624
ACH-000657,-0.02626376597159561
ACH-000658,-0.3572852458098003
ACH-000661,-0.4890151303977611
ACH-000662,-0.1699622464128402
ACH-000663,-0.1733498610034445
ACH-000665,-0.13073685489985265
ACH-000671,-0.19746025303604411
ACH-000672,-0.4335444464660413
ACH-000673,-0.0923067332730752
ACH-000676,-0.7309276451070358
ACH-000677,-0.4472446945223332
ACH-000681,-0.32054524534156265
ACH-000683,-0.2675730289370984
ACH-000684,-0.8222251658620983
ACH-000688,-0.4721110376870112
ACH-000693,-0.19134559727511274
ACH-000694,-0.144848148431518
ACH-000695,-0.3883599792888198
ACH-000696,-0.2222864564003572
ACH-000697,-0.2212802411051976
ACH-000699,-0.2773436511019649
ACH-000701,-0.20800973300530384
ACH-000706,-0.4193856128903786
ACH-000711,-0.3088472527628463
ACH-000713,-0.6377316789372415
ACH-000714,0.034063761786743287
ACH-000718,-0.19990449103492505
ACH-000720,-0.22456312423227565
ACH-000721,-0.4381979579345612
ACH-000724,-0.4076150515446231
ACH-000725,-0.8393648834149721
ACH-000732,-0.021738017213419482
ACH-000734,-0.05642838909119595
ACH-000735,-0.2436286491884215
ACH-000736,-0.4224196408242813
ACH-000738,-0.14782119274154645
ACH-000746,-0.3969744927199548
ACH-000747,-0.8415827196275992
ACH-000748,-0.19134273011039896
ACH-000753,-0.6762412527837051
ACH-000756,-0.1031422048865272
ACH-000757,-0.3739114851446376
ACH-000758,-0.3578472876446063
ACH-000760,-0.4156295731578349
ACH-000762,-0.27625304842712284
ACH-000763,-0.6401305664236971
ACH-000764,-0.4042639050040165
ACH-000765,-0.3325374636524196
ACH-000766,-0.4623128401701387
ACH-000767,-0.5136075524854632
ACH-000768,-0.7158773880924855
ACH-000769,-0.28817149415281434
ACH-000770,-0.9033260521449681
ACH-000771,-0.21669215923569896
ACH-000773,-0.6618055118739798
ACH-000776,-0.3122680634213634
ACH-000777,-0.16318481233925886
ACH-000778,-0.18010822322136766
ACH-000781,-0.3437777399283394
ACH-000782,-0.4927166070507621
ACH-000783,-0.4666642459835145
ACH-000784,-0.16654602561347334
ACH-000785,-0.3693971028009225
ACH-000787,-0.30882269454159705
ACH-000788,-0.3666200258260827
ACH-000791,-0.2359135569939184
ACH-000792,-0.1941797727406329
ACH-000794,-0.14641628938336188
ACH-000796,-0.3492145053710829
ACH-000798,0.0012552167232586446
ACH-000799,-0.5926871696653143
ACH-000800,-0.36175227139746735
ACH-000802,-0.1084591114685361
ACH-000804,-0.2159255039208588
ACH-000805,-0.11350415322963205
ACH-000809,-0.06816175529231559
ACH-000810,-0.696588523724799
ACH-000811,-0.3243484323624219
ACH-000817,-1.000165099657207
ACH-000819,-0.15433592797439075
ACH-000820,-0.4764590832936166
ACH-000821,-0.7848509123157461
ACH-000822,-0.5589906260421514
ACH-000823,-0.22685413688698405
ACH-000824,-0.2996611530840529
ACH-000827,-0.5264409207576378
ACH-000829,-0.4874033679802333
ACH-000831,-0.5039674541923795
ACH-000832,-0.252353183889853
ACH-000833,-0.26479277968646064
ACH-000834,-0.26029332640151753
ACH-000835,-0.5221375760077237
ACH-000836,-0.5285515026518619
ACH-000837,-0.544388388497538
ACH-000838,-1.128251902758043
ACH-000839,-0.20204470419787127
ACH-000840,-0.7875590952682185
ACH-000841,-0.4368748743270756
ACH-000843,-0.1700216065152729
ACH-000846,-0.10566487189404247
ACH-000847,-0.2679455936179957
ACH-000848,-0.10113986327815068
ACH-000849,-0.7317094643808041
ACH-000851,-0.9194787215342852
ACH-000855,-0.30125078984902004
ACH-000856,-0.6574681116282687
ACH-000858,-0.21466327868597884
ACH-000859,-0.5362180038261306
ACH-000861,-0.28817939488462685
ACH-000862,-0.090985574795364
ACH-000865,-0.11909488927953008
ACH-000866,-0.601094608288974
ACH-000867,-0.2802471736550073
ACH-000869,-0.05387023849457308
ACH-000872,-0.2625395274467889
ACH-000873,-0.5699946999085175
ACH-000876,-0.5934071459265986
ACH-000878,-0.396580482855894
ACH-000880,-0.5978037190717036
ACH-000881,-0.16879158650609122
ACH-000882,-1.0064583508089204
ACH-000884,-0.5311392776449546
ACH-000885,-0.10585616677500144
ACH-000887,-0.17841628614036986
ACH-000889,-0.370107544361298
ACH-000896,-0.4096618061801013
ACH-000898,-0.3644708800687512
ACH-000900,-0.2635014899079294
ACH-000901,-0.26386529555021915
ACH-000905,-0.1916219252124608
ACH-000906,-0.4560816160147047
ACH-000907,-0.21963877936385395
ACH-000910,-0.5917717720050578
ACH-000911,-0.3252687357823216
ACH-000912,-0.8434293751699916
ACH-000913,-0.3619921413308875
ACH-000915,-0.19519917062142625
ACH-000916,-0.4756466391075301
ACH-000917,-0.33766666239591897
ACH-000920,-0.5009222378514862
ACH-000921,-0.7572091818490697
ACH-000924,-0.17338362220949355
ACH-000926,-0.18988949381710965
ACH-000928,-0.8037691715564089
ACH-000929,-0.29329003475032617
ACH-000932,-0.6213950773588478
ACH-000935,-0.11283484355201352
ACH-000936,-0.2634834379374419
ACH-000937,-0.5879583672496184
ACH-000938,-0.7017534349044257
ACH-000939,-0.13774477122318465
ACH-000941,-0.5659012331616573
ACH-000943,-0.5410817449401862
ACH-000946,-0.002929225564772187
ACH-000947,-0.6756895205756509
ACH-000948,-0.3024777330547167
ACH-000950,-0.2618514834467829
ACH-000953,-0.6228301563554881
ACH-000954,-0.4422654899035632
ACH-000957,-0.7027800435136919
ACH-000958,0.023487397498009925
ACH-000960,-0.7442116047164724
ACH-000963,-0.2259057019572199
ACH-000968,-0.400907010013136
ACH-000969,-0.12805193958962302
ACH-000972,-0.1446519319086737
ACH-000973,-0.3903364705873537
ACH-000974,-0.6086681624069935
ACH-000978,-0.5093671364564414
ACH-000984,-0.3404451522565302
ACH-000986,-0.5679213509167301
ACH-000988,-0.2644476010967477
ACH-000993,-0.36350162005772135
ACH-000994,-0.6230437056872672
ACH-000996,-0.06870287117337205
ACH-001001,-0.02757469829390256
ACH-001020,-0.1341596366204302
ACH-001028,-0.13675520044037295
ACH-001031,-0.1797149402336445
ACH-001038,-0.2950986606534352
ACH-001048,-0.3482321741854743
ACH-001050,-0.6438502605021438
ACH-001053,-0.4851993455446773
ACH-001054,-0.3466533723895889
ACH-001061,-0.20416927484276626
ACH-001067,-0.1067354708412178
ACH-001075,0.09091733793834596
ACH-001096,-0.21379318999401856
ACH-001111,-0.2969389868903014
ACH-001119,-0.3292017244241458
ACH-001128,-0.3971621794048623
ACH-001134,-0.7562848711219026
ACH-001151,-0.1567190044498086
ACH-001163,-0.4948899098452394
ACH-001164,-0.15570560359491606
ACH-001183,-0.21001311964074768
ACH-001192,-0.11329432742672425
ACH-001193,-0.27345218602064697
ACH-001196,-0.6745948146734974
ACH-001197,-0.7915918418606185
ACH-001205,-0.06551534509840345
ACH-001211,-0.4690700504390881
ACH-001212,-0.09388657535773057
ACH-001228,-0.22100444927858648
ACH-001232,-0.2842895286764307
ACH-001239,-0.1945076041603433
ACH-001270,-0.5468724592673111
ACH-001274,-0.4773016402765982
ACH-001275,-0.5031892745646528
ACH-001277,-0.19019847878847165
ACH-001278,0.09874640351442034
ACH-001280,-0.4493687766432672
ACH-001283,-0.195880084186798
ACH-001289,-0.29188365225348784
ACH-001300,-0.07914602151856287
ACH-001301,-0.057635397304331135
ACH-001302,-0.6650214508055091
ACH-001306,-0.18044769556759
ACH-001318,-0.3048377726860603
ACH-001322,-0.16450672502416613
ACH-001328,-0.1196241834769828
ACH-001332,-0.5883802508589137
ACH-001336,-0.18427642953164367
ACH-001346,-0.07249178938505363
