,CENPT (80152)
ACH-001367,-0.7615882107853392
ACH-001368,-0.6009547481950681
ACH-001374,-0.6968375507703825
ACH-001377,-0.7831152210152029
ACH-001380,-0.7423844284848482
ACH-001391,-0.5377413193126476
ACH-001408,-0.7081790197136497
ACH-001430,-0.6158384283690505
ACH-001431,-0.8361018525674293
ACH-001450,-0.4571089505478326
ACH-001496,-0.8504681373896557
ACH-001500,-0.5081236563798371
ACH-001523,-0.7111038374402079
ACH-001532,-0.6627860569926125
ACH-001550,-0.8671063476357678
ACH-001552,-0.7396884379383069
ACH-001554,-0.6326699717035229
ACH-001654,-0.5555832194424748
ACH-001735,-0.7659740012420958
ACH-001736,-0.5654917868278735
ACH-001737,-0.636090150319353
ACH-001740,-0.8278860474960499
ACH-001745,-0.715404865252378
ACH-001765,-0.7482011164570436
