,C3orf67 (200844)
ACH-000950,0.2741950168195965
ACH-000953,0.31017621927879424
ACH-000954,0.4419163742456858
ACH-000957,0.25551974365049546
ACH-000958,0.08368727654619651
ACH-000960,0.1152675035859996
ACH-000963,0.3384365612351797
ACH-000968,0.2791560834016604
ACH-000969,0.16391830657091258
ACH-000972,0.10726490619470154
ACH-000973,0.3192767650803647
ACH-000974,0.0970825735159892
ACH-000978,0.18325038272418148
ACH-000984,0.11721782260158177
ACH-000986,0.16424431633178138
ACH-000988,0.3144395434885288
ACH-000993,0.22047476191178425
ACH-000994,0.3267220881125619
ACH-000996,0.16625515019626
ACH-001001,0.2008935298299236
ACH-001020,0.122361088549195
ACH-001028,0.21677352488567986
ACH-001031,0.22851202777040305
ACH-001038,0.13261475483861104
ACH-001048,0.06255497446334532
ACH-001050,0.20230686261141434
ACH-001053,0.22669134084471265
ACH-001054,0.09033466624852964
ACH-001061,0.1537096775477943
ACH-001067,0.1939501916137306
ACH-001075,0.4501821741605173
ACH-001096,0.21587563168089705
ACH-001111,0.35541009961229203
ACH-001119,0.267371512168339
ACH-001128,0.25313981135224195
ACH-001134,0.24462799360643514
ACH-001151,0.15386901865933733
ACH-001163,0.18620400283176802
ACH-001164,0.2176205768303437
ACH-001183,0.16380229730728915
ACH-001192,0.18440675838406725
ACH-001193,0.15252495683933198
ACH-001196,0.15107462568398464
ACH-001197,-0.04952961090990159
ACH-001205,0.3869610370230925
ACH-001211,0.2183428338418636
ACH-001212,0.576302701723535
ACH-001228,0.008233912022749737
ACH-001232,0.22384379258329726
ACH-001239,0.20836801879540853
ACH-001270,0.2534847143537343
ACH-001274,0.3249766316041211
ACH-001275,-0.026195978092430457
ACH-001277,0.1471408581661631
ACH-001278,0.2316036897466601
ACH-001280,0.047263285029670976
ACH-001283,0.20097170109423154
ACH-001289,0.4743252424451506
ACH-001300,0.09662751176192526
ACH-001301,0.1649189557513827
ACH-001302,0.5684765713203279
ACH-001306,0.09539368399468283
ACH-001318,0.14446627579004748
ACH-001322,0.020601025922625374
ACH-001328,0.198307984100666
ACH-001332,0.3103491242603618
ACH-001336,0.16637208117305752
ACH-001346,0.185157482808148
ACH-001353,0.17648773530220854
ACH-001354,0.0070606061609825846
ACH-001367,-0.13130177999377046
ACH-001368,0.07415506324242828
ACH-001374,0.09138247380985033
ACH-001377,0.2540330709759645
ACH-001380,0.1852810218696117
ACH-001391,0.4168927879225565
ACH-001408,0.18827382938791168
ACH-001430,-0.049218117232346835
ACH-001431,0.32958181627947
ACH-001450,0.24936627339999526
ACH-001496,0.2417457639607199
ACH-001500,0.19139656242474865
ACH-001523,0.10326591556699527
ACH-001532,0.3001988290966087
ACH-001550,0.10948285759792367
ACH-001552,0.19728527836873755
ACH-001554,0.11402304883231727
ACH-001654,0.27822048055861137
ACH-001735,0.21935696633827434
ACH-001736,0.2268844212998464
ACH-001737,-0.2196703056833161
ACH-001740,0.22401398883924795
ACH-001745,0.01991788901064479
ACH-001765,0.06873069286225153
