,SLCO1B1 (10599)
ACH-000974,0.1481697844211774
ACH-000978,0.2306119339567944
ACH-000984,0.1087271824673978
ACH-000986,0.1042369873427322
ACH-000988,0.08596777977426805
ACH-000993,0.05604566369993374
ACH-000994,0.1645221696516541
ACH-000996,0.21602528473739246
ACH-001001,0.09138260751782247
ACH-001020,0.3103841204181553
ACH-001028,0.09238030548903546
ACH-001031,0.1996294539600092
ACH-001038,0.16276245591664046
ACH-001048,0.20902764214868866
ACH-001050,0.1677042325755703
ACH-001053,0.2048631028670212
ACH-001054,0.1211344600924044
ACH-001061,0.1971046048543849
ACH-001067,0.006474341147006082
ACH-001075,0.1781061510059242
ACH-001096,0.2602438260528509
ACH-001111,0.4217613825539256
ACH-001119,0.05492188736500176
ACH-001128,0.15223810962827752
ACH-001134,0.03655523372250531
ACH-001151,0.05888962632135401
ACH-001163,0.11649716616666815
ACH-001164,0.29110698189720585
ACH-001183,0.2121731195768836
ACH-001192,0.19370449348890756
ACH-001193,0.07904850566304628
ACH-001196,0.2313598372760787
ACH-001197,0.18170065822199247
ACH-001205,0.34984901555907544
ACH-001211,0.2858201985234522
ACH-001212,-0.06388132550320183
ACH-001228,0.1402038023976434
ACH-001232,0.20241367258077936
ACH-001239,0.1002169276566818
ACH-001270,0.39510731957780587
ACH-001274,0.13394377607082394
ACH-001275,0.12413566875817092
ACH-001277,0.055757893255651086
ACH-001278,0.15299407478028565
ACH-001280,0.08699344851005285
ACH-001283,0.22193322045812705
ACH-001289,0.06410078707257705
ACH-001300,0.20873318762316068
ACH-001301,0.1249532493444421
ACH-001302,0.21585718402965612
ACH-001306,0.14617193058692418
ACH-001318,0.22104641086814134
ACH-001322,0.2669530036043901
ACH-001328,0.1504106039895926
ACH-001332,0.010591839416456828
ACH-001336,0.2899959553643172
ACH-001346,0.11695961373190693
ACH-001353,0.16614707758852973
ACH-001354,0.3226896205041476
ACH-001367,0.20067474608774435
ACH-001368,0.17402940549368165
ACH-001374,-0.08788148403931192
ACH-001377,0.04030225396038421
ACH-001380,0.3103480734409983
ACH-001391,0.08093237665882623
ACH-001408,0.11760690417180568
ACH-001430,0.16378212091420566
ACH-001431,0.2585681269357104
ACH-001450,0.1944057125866884
ACH-001496,0.09943031976373792
ACH-001500,0.18444120677284076
ACH-001523,0.0011504480537531355
ACH-001532,0.1374619426424898
ACH-001550,0.14601449206270462
ACH-001552,0.16903028763129527
ACH-001554,-0.02498268539827578
ACH-001654,0.22847478415597464
ACH-001735,0.06972650671624775
ACH-001736,0.13295718520840052
ACH-001737,0.1307219056288639
ACH-001740,0.10942250750674257
ACH-001745,0.1269013126789356
ACH-001765,0.23571624822494455
