,TBXAS1 (6916)
ACH-001048,0.051409991403982565
ACH-001050,0.0005703153229234457
ACH-001053,-0.2086117060617896
ACH-001054,-0.033081078261169815
ACH-001061,0.06830668506395825
ACH-001067,0.14601254127794802
ACH-001075,0.2054544389257158
ACH-001096,0.18262813344385406
ACH-001111,-0.098696729217525
ACH-001119,0.11769262410060985
ACH-001128,0.00025695406614815807
ACH-001134,-0.11820338773158433
ACH-001151,0.09611421346120602
ACH-001163,0.033198916036105273
ACH-001164,0.3106634261584161
ACH-001183,0.04956982428905828
ACH-001192,0.05064056402894667
ACH-001193,0.013679067190500528
ACH-001196,0.1539919479571489
ACH-001197,-0.12447698554654985
ACH-001205,0.1250032601245061
ACH-001211,0.05428506405090972
ACH-001212,-0.038140198520908025
ACH-001228,0.0926685015761127
ACH-001232,-0.04481896655466365
ACH-001239,-0.08267456326035988
ACH-001270,0.056743492648837365
ACH-001274,0.1856724185188532
ACH-001275,-0.07783478238805383
ACH-001277,0.18573516354077613
ACH-001278,-0.09099862411652966
ACH-001280,-0.0042596281727615495
ACH-001283,0.030294254405230724
ACH-001289,0.14731011311653555
ACH-001300,0.027147923482644446
ACH-001301,0.0998765261136391
ACH-001302,-0.21264160748634814
ACH-001306,-0.10181164636962167
ACH-001318,0.006118432826031386
ACH-001322,0.044631071135499634
ACH-001328,0.0918849624893164
ACH-001332,-0.11540232622301645
ACH-001336,-0.03006766000759267
ACH-001346,0.11143481058747977
ACH-001353,0.017149329422595446
ACH-001354,0.5526390635457993
ACH-001367,0.13385856051561168
ACH-001368,0.04515506709868659
ACH-001374,0.31677078665329816
ACH-001377,-0.12145094168961637
ACH-001380,0.04294962551878638
ACH-001391,-0.2591621843662137
ACH-001408,-0.02817413986905669
ACH-001430,-0.21855569495835311
ACH-001431,-0.07509864382288317
ACH-001450,-0.2674131184298662
ACH-001496,0.12068582223666292
ACH-001500,0.0628099196270038
ACH-001523,-0.02992013605439924
ACH-001532,-0.04142468077143019
ACH-001550,0.13450719442751394
ACH-001552,-0.0349920361096061
ACH-001554,-0.029988531213011344
ACH-001654,0.12301450502233245
ACH-001735,0.06809173245563124
ACH-001736,0.044595574637511945
ACH-001737,-0.2631574010346821
ACH-001740,0.04314700476269751
ACH-001745,0.0920353877942675
ACH-001765,0.08383716899292097
