,TOMM20 (9804)
ACH-000968,-0.8363664596328614
ACH-000969,-0.6208133150929236
ACH-000972,-0.5753741191372919
ACH-000973,-0.977903048771993
ACH-000974,-0.6024811498805935
ACH-000978,-0.4569575615454893
ACH-000984,-0.622135022310945
ACH-000986,-0.7271591609643503
ACH-000988,-1.0425379918875304
ACH-000993,-0.6702462362065615
ACH-000994,-0.4986972475737194
ACH-000996,-0.6334535396799451
ACH-001001,-0.7364554123595654
ACH-001020,-0.4754363811008809
ACH-001028,-0.81707759121822
ACH-001031,-0.3578357725850594
ACH-001038,-0.7293006272055932
ACH-001048,-0.7418054557613233
ACH-001050,-0.8158767811721686
ACH-001053,-1.0347384923598972
ACH-001054,-0.751785137556269
ACH-001061,-0.8035534412192497
ACH-001067,-0.5669368706703016
ACH-001075,-0.679268940352868
ACH-001096,-0.7075227512290311
ACH-001111,-0.6657826713049914
ACH-001119,-0.7967517662107172
ACH-001128,-0.8739904370334417
ACH-001134,-0.6420345756466805
ACH-001151,-0.7408823188982275
ACH-001163,-0.9142087311887372
ACH-001164,-0.8817624169971834
ACH-001183,-0.6026261616887596
ACH-001192,-0.8469220335205621
ACH-001193,-1.0137659227523943
ACH-001196,-0.7717303522472883
ACH-001197,-0.7449449129749542
ACH-001205,-0.5867851208399937
ACH-001211,-0.35082978533221393
ACH-001212,-0.6729354742080514
ACH-001228,-0.8054985257283588
ACH-001232,-0.8484578682824756
ACH-001239,-0.7396040870738214
ACH-001270,-0.8002141679021271
ACH-001274,-0.6429259337603888
ACH-001275,-0.8334171412763727
ACH-001277,-0.9595084764647644
ACH-001278,-0.7837109160077136
ACH-001280,-0.7699638475093095
ACH-001283,-0.8249508157028168
ACH-001289,-0.750783186843787
ACH-001300,-0.8951218867478928
ACH-001301,-0.629440641268218
ACH-001302,-0.8101254553669075
ACH-001306,-0.9278014111386651
ACH-001318,-0.8569946498257901
ACH-001322,-0.8911332184528378
ACH-001328,-0.7273942016685757
ACH-001332,-0.4962393835821508
ACH-001336,-0.6296917923597088
ACH-001346,-0.7519481530501477
ACH-001353,-0.8275854929354484
ACH-001354,-0.698037527205077
ACH-001367,-0.8148196669151906
ACH-001368,-0.7304965285472947
ACH-001374,-0.9963024780373159
ACH-001377,-0.5650182324196521
ACH-001380,-0.8168521050549028
ACH-001391,-0.6027828895801329
ACH-001408,-0.6814190093866713
ACH-001430,-0.9389909813687624
ACH-001431,-0.793602232402369
ACH-001450,-0.8026774509284699
ACH-001496,-0.856249622331384
ACH-001500,-0.945069801209874
ACH-001523,-0.7363043970610758
ACH-001532,-0.6177401715870491
ACH-001550,-0.7383427810421508
ACH-001552,-0.7160925161588958
ACH-001554,-0.7187493358808995
ACH-001654,-0.7653545126091927
ACH-001735,-0.8204632705612638
ACH-001736,-0.7290663265666011
ACH-001737,-0.8611886782715137
ACH-001740,-0.7866801293342872
ACH-001745,-0.8533626331799933
ACH-001765,-0.7428558910718693
