,ANKRD34B (340120)
ACH-001328,-0.1387395635256093
ACH-001332,0.08363327027007117
ACH-001336,-0.07198515885803054
ACH-001346,-0.08040905736429459
ACH-001353,-0.035083171032555316
ACH-001354,-0.16263932672138615
ACH-001367,-0.18584575857171087
ACH-001368,-0.033227689540017716
ACH-001374,0.03312195718602354
ACH-001377,-0.058342778727142636
ACH-001380,-0.19037831059207333
ACH-001391,-0.06515664818399883
ACH-001408,-0.10775738588119546
ACH-001430,-0.3133266154761772
ACH-001431,-0.040860219780395175
ACH-001450,-0.004921146363686612
ACH-001496,-0.08053074626260917
ACH-001500,-0.11743425741937825
ACH-001523,-0.07068437254834581
ACH-001532,-0.061003970356434324
ACH-001550,-0.1364508340382595
ACH-001552,-0.13707301467891478
ACH-001554,-0.10981417847441888
ACH-001654,-0.10826687519299016
ACH-001735,-0.037862097280737986
ACH-001736,-0.22753633358075484
ACH-001737,-0.28028618100044195
ACH-001740,-0.12661977612950756
ACH-001745,-0.24232856623827606
ACH-001765,-0.009474743151056146
