,RGS7BP (401190)
ACH-001028,-0.038465712998607904
ACH-001031,-0.028969577087306936
ACH-001038,0.02582511786150976
ACH-001048,-0.02901073561733031
ACH-001050,-0.07800903618715413
ACH-001053,0.08874544073560454
ACH-001054,0.1675244038993428
ACH-001061,0.012824298007276556
ACH-001067,0.13783369872533446
ACH-001075,-0.09980273548476078
ACH-001096,-0.02319671031736719
ACH-001111,0.22218939387740266
ACH-001119,-0.02331791138824356
ACH-001128,0.11078929881122256
ACH-001134,-0.057260947580820634
ACH-001151,0.11580232901646982
ACH-001163,0.00027700654997842727
ACH-001164,0.07446824004518883
ACH-001183,-0.17742936553334154
ACH-001192,0.14058485262808312
ACH-001193,-0.0172803831369995
ACH-001196,0.11469159185933114
ACH-001197,0.15029919297771546
ACH-001205,-0.17308757383003892
ACH-001211,-0.17616171204529582
ACH-001212,0.22009391591688307
ACH-001228,0.0629978756190884
ACH-001232,0.07215632301957554
ACH-001239,0.0884080282431554
ACH-001270,-0.008389074081225637
ACH-001274,0.012412860069741974
ACH-001275,0.09088194727580652
ACH-001277,-0.2383933276889277
ACH-001278,0.07000315280715913
ACH-001280,-0.03106757455624085
ACH-001283,-0.027388580624759563
ACH-001289,-0.13715453492293495
ACH-001300,-0.050079306594917765
ACH-001301,0.09564171273462092
ACH-001302,-0.17239545651168756
ACH-001306,0.09063025548071736
ACH-001318,-0.04850022165610352
ACH-001322,-0.11351178227052808
ACH-001328,0.08716777742757648
ACH-001332,0.17820312455958426
ACH-001336,-0.10098648248217053
ACH-001346,0.028865221818174837
ACH-001353,-0.0514085955983482
ACH-001354,0.1612976365277462
ACH-001367,-0.2654538903061609
ACH-001368,0.07508508246110204
ACH-001374,-0.031681813577823195
ACH-001377,0.00776557697111213
ACH-001380,-0.1579574418529536
ACH-001391,-0.04471676724715056
ACH-001408,0.25484027723788066
ACH-001430,0.032504585709225625
ACH-001431,0.11207968268813012
ACH-001450,0.03653543384858017
ACH-001496,0.003620299861130221
ACH-001500,-0.018741238400233264
ACH-001523,0.040017457553973
