,SHC4 (399694)
ACH-000867,-0.12433044589950246
ACH-000869,-0.10415178074763624
ACH-000872,-0.023768950612107025
ACH-000873,-0.28436449059365043
ACH-000876,-0.1578510504045047
ACH-000878,0.02222882359928622
ACH-000880,-0.1965495527052508
ACH-000881,-0.06734420158344262
ACH-000882,-0.11782185905204624
ACH-000884,-0.1925942578810259
ACH-000885,0.041767283285441235
ACH-000887,-0.12886678953928435
ACH-000889,-0.02937655029829715
ACH-000896,-0.2283321287846143
ACH-000898,-0.3033523155484466
ACH-000900,-0.2155511052590152
ACH-000901,-0.08369778674929365
ACH-000905,-0.21280530238171266
ACH-000906,-0.10322772168887323
ACH-000907,-0.1832971489719672
ACH-000910,-0.3066037995262633
ACH-000911,-0.11386230465003724
ACH-000912,-0.15055156800425126
ACH-000913,0.009048326832777162
ACH-000915,-0.1438938611055218
ACH-000916,0.3334122326941233
ACH-000917,-0.06898739868879393
ACH-000920,-0.10170293404540842
ACH-000921,-0.07554949457184419
ACH-000924,-0.18683980842541714
ACH-000926,-0.0552104438069398
ACH-000928,-0.1826610729352357
ACH-000929,-0.10406558069293116
ACH-000932,-0.010558745754896688
ACH-000935,-0.08902089345410966
ACH-000936,-0.012855994001436366
ACH-000937,-0.07351266063962171
ACH-000938,-0.1514918478658208
ACH-000939,0.04409463993864774
ACH-000941,-0.1772838649790606
ACH-000943,-0.15671082240335454
ACH-000946,-0.014283088905194254
ACH-000947,-0.1602699500140082
ACH-000948,-0.1394012673208427
ACH-000950,-0.0892201758815023
ACH-000953,-0.041519689192972914
ACH-000954,0.04215285510172402
ACH-000957,0.012657097649227218
ACH-000958,-0.09884604079769194
ACH-000960,-0.03177033118437651
ACH-000963,-0.09894811343924624
ACH-000968,-0.2348572959577113
ACH-000969,-0.18525225793096808
ACH-000972,-0.255171615937959
ACH-000973,-0.13595883912199475
ACH-000974,-0.08505235072539842
ACH-000978,0.0445779783533743
ACH-000984,-0.192058928826974
ACH-000986,-0.0542958225841052
ACH-000988,-0.34413186530694306
ACH-000993,-0.18855734348236924
ACH-000994,-0.2560393558078905
ACH-000996,0.049924294580435666
ACH-001001,-0.20553075139348134
ACH-001020,-0.20603524303345497
ACH-001028,-0.23770766055840276
ACH-001031,-0.08138204295341296
ACH-001038,-0.188363090024954
ACH-001048,-0.1118980571160594
ACH-001050,-0.18013642735243948
ACH-001053,-0.08425956871243337
ACH-001054,-0.0993248928433152
ACH-001061,-0.14367548674308656
ACH-001067,0.009989418647675524
ACH-001075,-0.3574795084873625
ACH-001096,-0.14858581504700333
ACH-001111,0.0662858376321275
ACH-001119,-0.13984243399444451
ACH-001128,-0.26082509483797545
ACH-001134,-0.2014150839116776
ACH-001151,-0.2600071432455663
ACH-001163,-0.2357713029917043
ACH-001164,0.05228502668937946
ACH-001183,-0.0937927940355872
ACH-001192,-0.04443157343809314
ACH-001193,-0.19396469410070152
ACH-001196,-0.06379943332031132
ACH-001197,0.010752241298431704
ACH-001205,-0.08689515922943736
ACH-001211,0.04452531796583098
ACH-001212,-0.14808865899878307
ACH-001228,-0.08248462933530064
ACH-001232,-0.0535010744452944
ACH-001239,0.0490599230986145
ACH-001270,-0.11006580137445607
ACH-001274,-0.09280938296805254
ACH-001275,-0.0940238462220692
ACH-001277,-0.024938786370301686
ACH-001278,0.13512221042268327
ACH-001280,-0.0893193474732532
ACH-001283,-0.13909069556802456
ACH-001289,0.061239235855478816
ACH-001300,-0.08947037458057341
ACH-001301,-0.15592987336611214
ACH-001302,-0.16339316704913162
ACH-001306,-0.13906807686927578
ACH-001318,-0.20371626750814004
ACH-001322,-0.17578178056737384
ACH-001328,0.010804141395737977
ACH-001332,-0.033797539265980406
ACH-001336,-0.15454645140946904
ACH-001346,-0.12598394015775327
ACH-001353,-0.06395356416640219
ACH-001354,-0.01459724315740686
ACH-001367,-0.1237997174518154
ACH-001368,-0.17539641365597294
ACH-001374,0.042954589314318836
ACH-001377,-0.1420857408355907
ACH-001380,-0.1773370081084219
ACH-001391,-0.2115102886665472
ACH-001408,-0.2503573808199318
ACH-001430,-0.5016179402555154
ACH-001431,-0.1754513019343912
ACH-001450,0.029173190874144807
ACH-001496,-0.09676732504781273
ACH-001500,-0.21219457985549556
ACH-001523,0.003278040092874916
ACH-001532,-0.13191712729634564
ACH-001550,-0.15495081346426906
ACH-001552,-0.042500257173586985
ACH-001554,-0.16852140350072795
ACH-001654,-0.1291860538719287
ACH-001735,-0.12629130806162442
ACH-001736,-0.1316062998723733
ACH-001737,0.2044771388018941
ACH-001740,-0.18109775635434516
ACH-001745,-0.012576938113292323
ACH-001765,-0.21269244906723686
