,TMEM95 (339168)
ACH-000836,-0.06813985564569343
ACH-000837,-0.11217069349770677
ACH-000838,-0.10692043495838834
ACH-000839,-0.1681701642100683
ACH-000840,-0.06922427373640358
ACH-000841,0.10930964798788877
ACH-000843,-0.0461663832879671
ACH-000846,-0.02094019675780926
ACH-000847,-0.12095433603417145
ACH-000848,0.09088383384287764
ACH-000849,-0.008199836375680692
ACH-000851,-0.0658678710425852
ACH-000855,0.11920985429657566
ACH-000856,-0.06777957241679243
ACH-000858,-0.015368850938500588
ACH-000859,-0.08295147429625638
ACH-000861,-0.20982458051197014
ACH-000862,-0.12192541936798725
ACH-000865,-0.0012064622732362196
ACH-000866,-0.044831960466712735
ACH-000867,-0.028510649044160657
ACH-000869,0.03565815421189846
ACH-000872,-0.09833855153679964
ACH-000873,-0.003348919323364685
ACH-000876,0.10719035501989768
ACH-000878,-0.1592776562125236
ACH-000880,0.004323797515020485
ACH-000881,0.05995741545080805
ACH-000882,-0.01823557284314754
ACH-000884,-0.02597905929509532
ACH-000885,-0.07478652078928702
ACH-000887,-0.08460291731519676
ACH-000889,0.14009332654828535
ACH-000896,-0.00180154940729568
ACH-000898,-0.0641232470584351
ACH-000900,-0.0813709155230026
ACH-000901,-0.0821524324013827
ACH-000905,-0.07423082318553513
ACH-000906,-0.04794059219563646
ACH-000907,-0.02058817955803648
ACH-000910,-0.08050924195892291
ACH-000911,-0.05184008691435752
ACH-000912,0.022432033671333087
ACH-000913,0.056031042263046366
ACH-000915,-0.05804662382917335
ACH-000916,-0.2711817704868138
ACH-000917,-0.01651029479165848
ACH-000920,0.09642917927102053
ACH-000921,0.06523306448997332
ACH-000924,-0.029539670618829995
ACH-000926,-0.20543923297953348
ACH-000928,-0.31453285219365906
ACH-000929,0.13042499405486954
ACH-000932,-0.041930264967518345
ACH-000935,0.0807463436072444
ACH-000936,0.06991983653238261
ACH-000937,-0.15859033009268514
ACH-000938,-0.03105717935894045
ACH-000939,-0.17703735942802126
ACH-000941,0.033782375255791884
ACH-000943,-0.01900374471645837
ACH-000946,0.05484925507630844
ACH-000947,0.007898252892131306
ACH-000948,0.005058494002066432
ACH-000950,0.07768837098855058
ACH-000953,-0.1104755875557126
ACH-000954,-0.1360123095606659
ACH-000957,-0.07160329220661303
ACH-000958,-0.1231157664943979
ACH-000960,0.05290256129591708
ACH-000963,0.10688156700985688
ACH-000968,0.038391680150017794
ACH-000969,-0.09883147863173103
ACH-000972,0.08235314425035728
ACH-000973,-0.1070214630386526
ACH-000974,0.011413973655208656
ACH-000978,-0.008377596100253064
ACH-000984,-0.14962006896567873
ACH-000986,-0.14240361851086744
ACH-000988,-0.04233140715624095
ACH-000993,-0.21056599191109493
ACH-000994,-0.07331784339395407
ACH-000996,-0.09511907812193113
ACH-001001,-0.030661932277527087
ACH-001020,0.07637304842605347
ACH-001028,0.008406092934382308
ACH-001031,-0.22157084421512546
ACH-001038,-0.07614110869220099
ACH-001048,0.0010192168541154213
