,POLR2M (81488)
ACH-000946,-0.2521146049871364
ACH-000947,-0.1314014684442243
ACH-000948,-0.5029353929276017
ACH-000950,-0.08211325519373211
ACH-000953,-0.15845726411412964
ACH-000954,-0.3676860481305564
ACH-000957,-0.18004357990977282
ACH-000958,-0.1748389654713727
ACH-000960,0.018425243651920862
ACH-000963,-0.2364495107388175
ACH-000968,-0.01453242246795899
ACH-000969,-0.5272938488489813
ACH-000972,-0.1218709330518728
ACH-000973,-0.18944675497703645
ACH-000974,-0.07158994770626123
ACH-000978,-0.18662718676051807
ACH-000984,-0.3406068745796653
ACH-000986,-0.2773833365793775
ACH-000988,-0.08947958778159515
ACH-000993,-0.1506141749987605
ACH-000994,-0.3038008828362216
ACH-000996,-0.29714935439347256
ACH-001001,-0.24020233579360975
ACH-001020,-0.2820442499526213
ACH-001028,-0.08311944717526991
ACH-001031,0.21249955409411372
ACH-001038,-0.21939081059275853
ACH-001048,-0.11827110993793945
ACH-001050,0.021260329940276882
ACH-001053,0.10697183217038493
ACH-001054,-0.13196172527464478
ACH-001061,-0.1810231118247532
ACH-001067,-0.08415295218821515
ACH-001075,-0.05566388336559855
ACH-001096,-0.23156814113387356
ACH-001111,-0.3958393703279479
ACH-001119,-0.15746613061785456
ACH-001128,-0.2639673009983424
ACH-001134,-0.11498520125495462
ACH-001151,-0.20621990508625976
ACH-001163,-0.21690268539797974
ACH-001164,-0.3322181362019534
ACH-001183,-0.07514864248583486
ACH-001192,-0.13995217296909393
ACH-001193,-0.0767768683137807
ACH-001196,0.012838446723385358
ACH-001197,-0.07669957891164347
ACH-001205,-0.056821163992489265
ACH-001211,0.06503510850129793
ACH-001212,-0.0241184534243105
ACH-001228,-0.5224978502419318
ACH-001232,-0.16987393637991996
ACH-001239,-0.14227228656337376
ACH-001270,0.0937440216893564
ACH-001274,-0.12417661765642095
ACH-001275,-0.07039761643488114
ACH-001277,-0.2569639330298961
ACH-001278,0.08635823124435793
ACH-001280,-0.024269063611252584
ACH-001283,-0.26143598056468353
ACH-001289,-0.24962588488696635
ACH-001300,-0.013585196855894354
ACH-001301,-0.15294178522658555
ACH-001302,-0.2297880417218462
ACH-001306,-0.21182433350001095
ACH-001318,-0.309774058219052
ACH-001322,-0.1100514550063834
ACH-001328,-0.2811771924876312
ACH-001332,-0.3192522142621902
ACH-001336,-0.11923274021668998
ACH-001346,-0.2613101395795925
ACH-001353,-0.12223808824920045
ACH-001354,-0.08756273262188471
ACH-001367,-0.17518454832793026
ACH-001368,-0.1747569324336513
ACH-001374,-0.4327142568102296
ACH-001377,-0.2448422147107323
ACH-001380,-0.21623390435472006
ACH-001391,-0.2800447070922689
ACH-001408,-0.37927686706038427
ACH-001430,-0.010129628707524934
ACH-001431,-0.07366081001502556
ACH-001450,-0.14356329834163942
ACH-001496,-0.40306390119708135
ACH-001500,-0.032256736623528875
ACH-001523,-0.2721286328076271
ACH-001532,-0.2300092606160694
ACH-001550,-0.4152078794971044
ACH-001552,-0.08953756482245434
ACH-001554,-0.08947395079077948
ACH-001654,-0.09256171919524213
ACH-001735,-0.16666304320681793
ACH-001736,-0.031098307656224324
ACH-001737,-0.08871695329169743
ACH-001740,0.015657889980157432
ACH-001745,-0.20508362481601555
ACH-001765,-0.17636266943161386
