,PLD5 (200150)
ACH-001275,0.131324252277122
ACH-001277,0.1208708213938401
ACH-001278,0.14459924404865265
ACH-001280,0.11155498602463453
ACH-001283,0.08193737761950039
ACH-001289,0.18333696000948305
ACH-001300,0.05889628294067875
ACH-001301,0.15301405582892602
ACH-001302,0.049327710820764564
ACH-001306,0.15962980733849133
ACH-001318,0.13618955085092138
ACH-001322,0.008210545724536224
ACH-001328,0.16318165237720575
ACH-001332,0.29955649962235337
ACH-001336,-0.06940475604571583
ACH-001346,0.06369738408150509
ACH-001353,0.08529021046476194
ACH-001354,0.25839451534065666
ACH-001367,0.17603711233481664
ACH-001368,0.07498039938420313
ACH-001374,0.3886080390557209
ACH-001377,0.1704238753015761
ACH-001380,-0.018806938707018158
ACH-001391,0.11718221266928988
ACH-001408,0.2488982597309287
ACH-001430,0.17851881962213267
ACH-001431,0.2540124151423503
ACH-001450,0.05566461563374347
ACH-001496,0.1821197811241636
ACH-001500,0.1602026280384646
ACH-001523,0.1481722418989954
ACH-001532,0.11296823084754498
ACH-001550,0.024321288551453112
ACH-001552,0.1925651720630924
ACH-001554,0.04222502622725599
ACH-001654,0.06970587976575275
ACH-001735,0.12014119013726228
ACH-001736,0.0043797571017354705
ACH-001737,0.1309739075283542
ACH-001740,0.09386003070093027
ACH-001745,0.0928479492942363
ACH-001765,0.0020857174423856415
