,CDH1 (999)
ACH-001232,-0.17417910709905154
ACH-001239,-0.016610836210818394
ACH-001270,-0.3061876539042563
ACH-001274,-0.10782298028381536
ACH-001275,-0.12627640199451662
ACH-001277,-0.12143501343336945
ACH-001278,0.08005613340719259
ACH-001280,0.008496799238218639
ACH-001283,-0.03605474596215568
ACH-001289,-0.12795486005997536
ACH-001300,-0.2633610224620047
ACH-001301,-0.1039135157978138
ACH-001302,-0.009406732757580158
ACH-001306,-0.14840912510986068
ACH-001318,-0.13638908677577538
ACH-001322,-0.08825716353131348
ACH-001328,-0.14782831609100333
ACH-001332,-0.1790719567238527
ACH-001336,-0.1381918699638349
ACH-001346,0.015942314776438402
ACH-001353,-0.3916658934996372
ACH-001354,-0.2461734687765163
ACH-001367,-0.06480870471388839
ACH-001368,-0.026623843853502582
ACH-001374,-0.22280122977312114
ACH-001377,-0.24918628653528765
ACH-001380,-0.11443521251704558
ACH-001391,0.0018293726585446872
ACH-001408,-0.18811507726299853
ACH-001430,-0.17633556994610286
ACH-001431,-0.09912823622487336
ACH-001450,-0.02616635956210937
ACH-001496,0.005778797816139137
ACH-001500,-0.4362568473741767
ACH-001523,-0.11272727583306046
ACH-001532,-0.12147405954162105
ACH-001550,-0.1465747382810786
ACH-001552,-0.3376306696001217
ACH-001554,-0.10624746493620484
ACH-001654,-0.05288789430696457
ACH-001735,-0.19265567353305554
ACH-001736,-0.08227619107163303
ACH-001737,-0.3660473797405023
ACH-001740,-0.07408656290191296
ACH-001745,0.031814986596830186
ACH-001765,-0.0926919694086598
