,IGFN1 (91156)
ACH-000591,0.2493163349890519
ACH-000593,-0.11494942711120094
ACH-000600,-0.002911120455739956
ACH-000601,-0.06869352126227445
ACH-000605,0.009543417074646569
ACH-000606,-0.18339342830137267
ACH-000608,-0.009299781121909894
ACH-000614,0.09305929175804907
ACH-000616,-0.11481932677085673
ACH-000618,-0.08882205299163437
ACH-000619,0.045652792374225634
ACH-000620,-0.004000978819808684
ACH-000621,-0.042618793624147236
ACH-000622,-0.01992457265581041
ACH-000623,0.014839182730740376
ACH-000624,-0.01349571898390152
ACH-000627,-0.04064990528999192
ACH-000630,-0.09339452375725432
ACH-000631,-0.18517444458824112
ACH-000632,0.14360076048243278
ACH-000633,0.05034808354816325
ACH-000637,-0.06405655995075339
ACH-000638,-0.06316307205472982
ACH-000646,0.005089792904195101
ACH-000647,-0.18680971683460065
ACH-000648,-0.23694012624146746
ACH-000649,0.006867345467908334
ACH-000651,-0.0654648062861246
ACH-000652,-0.03249742758065238
ACH-000653,-0.07521837361242598
ACH-000657,-0.04469773844675235
ACH-000658,-0.21637342892977046
ACH-000661,-0.07184911765147378
ACH-000662,0.035902267817667144
ACH-000663,-0.10775142785410463
ACH-000665,-0.036145019903537634
ACH-000671,0.03859035407087088
ACH-000672,0.010427767328207646
ACH-000673,-0.01595327630003049
ACH-000676,-0.20694088518321008
ACH-000677,0.02516293851131244
ACH-000681,-0.056459115852320566
ACH-000683,-0.13971821421630265
ACH-000684,0.15293719506260986
ACH-000688,0.11873362540769017
ACH-000693,-0.08936529667912346
ACH-000694,-0.0278167718704625
ACH-000695,0.03936052811739109
ACH-000696,-0.10074933944694164
ACH-000697,0.1222015606109128
ACH-000699,0.12861833815443613
ACH-000701,-0.06452514103042054
ACH-000706,-0.13330331092430253
ACH-000711,-0.044710246958326975
ACH-000713,-0.24775100587478036
ACH-000714,0.03702953126251138
ACH-000718,-0.055464778229991366
ACH-000720,0.11710561198794164
ACH-000721,0.0669036491156816
ACH-000724,-0.08903795097328142
ACH-000725,-0.13533184516163738
ACH-000732,-0.1299803245473048
ACH-000734,-0.002976797655883452
ACH-000735,-0.1824501867303996
ACH-000736,-0.08771090643611176
ACH-000738,0.02655178888701849
ACH-000746,-0.005275391815267278
ACH-000747,0.0783205999988208
ACH-000748,-0.14251161614914967
ACH-000753,-0.06488216529051469
ACH-000756,0.018301697342760083
ACH-000757,-0.15232243908358634
ACH-000758,0.0706523292495089
ACH-000760,-0.01733435231706444
ACH-000762,0.10546610127878564
ACH-000763,-0.05457152420643312
ACH-000764,0.06955288067677243
ACH-000765,0.02551083207092305
ACH-000766,0.009364042492712185
ACH-000767,-0.029756204764912968
ACH-000768,0.03505271213788802
ACH-000769,-0.15204837612315175
ACH-000770,-0.0761562143258223
ACH-000771,-0.04073156260221982
ACH-000773,-0.10611940326018156
ACH-000776,0.014738213265435706
ACH-000777,-0.15084877356747278
ACH-000778,-0.07488142847239186
ACH-000781,0.007349760012336694
ACH-000782,-0.17530222759411682
ACH-000783,-0.07940150318558914
ACH-000784,-0.035193866066410735
ACH-000785,-0.007849564203232622
ACH-000787,0.01737970905091597
ACH-000788,-0.0053264396807507905
ACH-000791,-0.029547083190486483
ACH-000792,-0.09616068577621953
ACH-000794,-0.01963844088774347
ACH-000796,0.055761423293361416
ACH-000798,-0.2512455101676649
ACH-000799,-0.17111058624135222
ACH-000800,-0.26635005258970146
ACH-000802,-0.0059183932551181906
ACH-000804,-0.24665171704479694
ACH-000805,0.005645762338356393
ACH-000809,0.005971688632807653
ACH-000810,0.09098985144978608
ACH-000811,0.01953013599476541
ACH-000817,0.013352223120916612
ACH-000819,-0.055368403116207936
ACH-000820,-0.3742635553108373
ACH-000821,0.014321463727083645
ACH-000822,0.014063402920916216
ACH-000823,-0.1585185273121853
ACH-000824,-0.017867526261122785
ACH-000827,-0.015557606153042731
ACH-000829,0.188655736854851
ACH-000831,0.038708794646375416
ACH-000832,-0.17455322284117633
ACH-000833,0.16676660222948814
ACH-000834,-0.04087921598247666
ACH-000835,-0.04634844065430002
ACH-000836,-0.09378150108764056
ACH-000837,0.045934127594598376
ACH-000838,-0.16982387375737693
ACH-000839,-0.0613665396787334
ACH-000840,0.00026817105446714416
ACH-000841,0.025986771105045256
ACH-000843,-0.21531647857100653
ACH-000846,-0.02491956522393796
ACH-000847,0.10250924152330973
ACH-000848,0.02003428175849004
ACH-000849,-0.0969208531347772
ACH-000851,-0.09577716247398063
ACH-000855,-0.15152089710171246
ACH-000856,0.04776719615024259
ACH-000858,-0.1168586668505121
ACH-000859,0.1758321530639741
ACH-000861,-0.11420744531149585
ACH-000862,-0.10310294266349047
ACH-000865,-0.060261617500178215
ACH-000866,-0.03610538911940776
ACH-000867,-0.0024933707528593555
ACH-000869,0.03235392310611505
ACH-000872,-0.0867688615584201
ACH-000873,0.07494266281343878
ACH-000876,-0.2105983606209622
ACH-000878,0.051832797401136686
ACH-000880,0.07621411099056355
ACH-000881,0.09060538812410183
ACH-000882,-0.030812196260913492
ACH-000884,-0.11891387836163228
ACH-000885,0.04597478576473198
ACH-000887,-0.011037014235708678
ACH-000889,-0.04415853929624517
ACH-000896,0.023192211980139096
ACH-000898,-0.04792303648496046
ACH-000900,0.12154382319351555
ACH-000901,0.002270739942673562
ACH-000905,-0.07670259828601766
ACH-000906,-0.0953593649054508
ACH-000907,-0.06479465384229642
ACH-000910,-0.11144432620585333
ACH-000911,-0.18108273262609406
ACH-000912,-0.012116560914842636
ACH-000913,0.059828348272356564
ACH-000915,0.055438205764343294
ACH-000916,-0.09784234659797217
ACH-000917,0.015197721420447794
ACH-000920,-0.14698372232423054
ACH-000921,-0.007932734899124386
ACH-000924,-0.0891878915314965
ACH-000926,-0.040260590539296336
ACH-000928,-0.06367811096336408
ACH-000929,0.0755831968156309
ACH-000932,-0.00040586328152657366
ACH-000935,-0.02241344819437489
ACH-000936,-0.08391091144746353
ACH-000937,-0.057839190830200185
ACH-000938,-0.10108726890714352
ACH-000939,-0.0312901894260906
ACH-000941,0.02861805875960765
ACH-000943,0.07037897627914695
ACH-000946,-0.022954888606100756
ACH-000947,-0.06735262139197044
ACH-000948,-0.05147343745129148
ACH-000950,-0.1570163843547791
ACH-000953,0.002393718883180357
ACH-000954,-0.021630722583486917
ACH-000957,0.0866615419377849
ACH-000958,-0.005798444302865926
ACH-000960,0.019514657184434923
ACH-000963,-0.08207606639635824
ACH-000968,-0.04598836553424265
ACH-000969,-0.1297221990385932
ACH-000972,0.012097109257818614
ACH-000973,0.04149356774187777
ACH-000974,0.08273374968045992
ACH-000978,0.00015649886083488583
ACH-000984,-0.10679302618779618
ACH-000986,-0.11960153457572505
ACH-000988,-0.16767470097008774
ACH-000993,-0.007271241197475814
ACH-000994,0.3085342822475778
ACH-000996,-0.3229188543643199
ACH-001001,-0.05170101064439043
ACH-001020,-0.21775674796683744
ACH-001028,-0.04443923232854893
ACH-001031,-0.08504066146675608
ACH-001038,-0.0280917292958814
ACH-001048,-0.012693477541426456
ACH-001050,-0.02124442076613654
ACH-001053,0.14987129531349375
ACH-001054,-0.0822907812780378
ACH-001061,-0.06904811993351287
ACH-001067,-0.01568679086296829
ACH-001075,-0.12485040749573025
ACH-001096,-0.4286344953845146
ACH-001111,0.07863350606165402
ACH-001119,-0.03836331448903452
ACH-001128,-0.09565697262936156
ACH-001134,-0.0364522228886898
ACH-001151,-0.09747482218271583
ACH-001163,-0.016108231222736094
ACH-001164,-0.06943686896017237
ACH-001183,-0.07335273698485424
ACH-001192,0.048588552762076784
ACH-001193,0.20634771751447264
ACH-001196,-0.0905480084938818
ACH-001197,-0.11233271163562968
ACH-001205,-0.07908827267415189
ACH-001211,-0.2440507138495341
ACH-001212,-0.03465104273093004
ACH-001228,-0.18803281085536455
ACH-001232,-0.08771366847743231
ACH-001239,-0.014126684648089975
ACH-001270,-0.059975814047099264
ACH-001274,-0.0335108213273572
ACH-001275,0.11597295884291828
ACH-001277,-0.0867555397246838
ACH-001278,-0.06912877939412539
ACH-001280,-0.0559470505079291
ACH-001283,-0.13117295612067278
ACH-001289,-0.04837422748622208
ACH-001300,0.014826439741705513
ACH-001301,0.08642758127722111
ACH-001302,0.019481068444901325
ACH-001306,-0.07376616189758399
ACH-001318,-0.1696862635344799
ACH-001322,-0.00940902478117539
ACH-001328,-0.07644839361936885
ACH-001332,-0.17349279798139308
