,SPRR1A (6698)
ACH-001332,-0.08888168111019537
ACH-001336,-0.039932071598127734
ACH-001346,0.03249240538732295
ACH-001353,0.049126485997248455
ACH-001354,0.09077090516972504
ACH-001367,0.045588099030447714
ACH-001368,0.05412886808784395
ACH-001374,-0.12074029855235628
ACH-001377,0.05300549149749065
ACH-001380,0.04543388082126973
ACH-001391,-0.014508192853646032
ACH-001408,0.20622085683725166
ACH-001430,0.12984858378089773
ACH-001431,0.2042819871019868
ACH-001450,0.09168783307130478
ACH-001496,0.04737610227678789
ACH-001500,-0.07484539083445622
ACH-001523,0.046158773029723786
ACH-001532,0.15049221711917538
ACH-001550,0.1105198784611686
ACH-001552,0.1191938908934707
ACH-001554,0.13322403832272486
ACH-001654,0.14174047538983786
ACH-001735,-0.041793315763592485
ACH-001736,-0.029031549901645793
ACH-001737,0.08795443011830767
ACH-001740,0.08998151405223524
ACH-001745,0.07816994802877206
ACH-001765,-0.0167892665018018
