,CDRT1 (374286)
ACH-001275,0.19062539060530972
ACH-001277,-0.07841352209648347
ACH-001278,-0.04001881874927586
ACH-001280,0.0953936556555893
ACH-001283,-0.028720514034861932
ACH-001289,0.07871335220682871
ACH-001300,-0.13508441186243167
ACH-001301,0.0726374918836701
ACH-001302,0.03961657382784097
ACH-001306,-0.1201138910016089
ACH-001318,-0.06806387155281296
ACH-001322,-0.17634441708789605
ACH-001328,-0.20614901647260134
ACH-001332,-0.024347483733030792
ACH-001336,0.10772384554361414
ACH-001346,0.04736039766881375
ACH-001353,-0.09875688280217676
ACH-001354,-0.07263777159882315
ACH-001367,0.06657740605128445
ACH-001368,0.043729723466279936
ACH-001374,0.07148804622324224
ACH-001377,-0.09632539943562553
ACH-001380,0.047512490076657914
ACH-001391,-0.12277766872609427
ACH-001408,-0.05069511513089197
ACH-001430,0.006009595624450407
ACH-001431,0.07873110659569102
ACH-001450,0.000697833962766041
ACH-001496,-0.046172458289685914
ACH-001500,0.15282014802899332
ACH-001523,-0.030119554526122583
ACH-001532,-0.0823881086794899
ACH-001550,-0.02323433184820592
ACH-001552,-0.038148005222374014
ACH-001554,-0.04000127284755535
ACH-001654,-0.029991522269333618
ACH-001735,0.053165386855933375
ACH-001736,-0.08091503140011727
ACH-001737,-0.3591550483678025
ACH-001740,0.007489007479040162
ACH-001745,0.06915934610968953
ACH-001765,-0.018657915684788667
