,SCAF4 (57466)
ACH-001367,-0.3559863330769526
ACH-001368,-0.27698584600830795
ACH-001374,-0.19656419268900827
ACH-001377,-0.3267108428348181
ACH-001380,-0.4961877234045455
ACH-001391,-0.28657530326257497
ACH-001408,-0.2029978585288831
ACH-001430,-0.35686361516487225
ACH-001431,-0.5880174792413684
ACH-001450,-0.6650977016575257
ACH-001496,-0.16515960714506694
ACH-001500,-0.4056921838910147
ACH-001523,-0.20716234049207347
ACH-001532,-0.04876527612915143
ACH-001550,-0.21240262352729636
ACH-001552,-0.3863390253470591
ACH-001554,-0.2370796355191585
ACH-001654,0.02928769492611393
ACH-001735,-0.3662315547050733
ACH-001736,-0.006694048876654511
ACH-001737,-0.2111052694147376
ACH-001740,-0.2574740636802716
ACH-001745,-0.3839115595218893
ACH-001765,-0.3471111896051641
