,NXN (64359)
ACH-000673,-0.09210598592574218
ACH-000676,-0.08390681710695817
ACH-000677,-0.004135805897768938
ACH-000681,-0.14657807996442349
ACH-000683,-0.032276598787493685
ACH-000684,0.040625607532681365
ACH-000688,-0.17367972448043945
ACH-000693,-0.1086271288671958
ACH-000694,-0.057713795853291415
ACH-000695,-0.06635076115422027
ACH-000696,-0.0032757128084918087
ACH-000697,-0.13832265823480408
ACH-000699,-0.11851798434250865
ACH-000701,-0.07352618655448033
ACH-000706,-0.15746975385463902
ACH-000711,-0.08541784226024156
ACH-000713,0.00405066046565552
ACH-000714,-0.11999257813081793
ACH-000718,-0.1287976824587997
ACH-000720,0.06862027075075282
ACH-000721,-0.03716998917880575
ACH-000724,-0.04519292840306227
ACH-000725,-0.07283727487145558
ACH-000732,0.02903552287810828
ACH-000734,-0.045676020540999736
ACH-000735,-0.12174080099316564
ACH-000736,0.004065277951981269
ACH-000738,-0.13432423953998718
ACH-000746,-0.17346242216016572
ACH-000747,-0.07657733814134653
ACH-000748,0.11808635226822813
ACH-000753,-0.1228503085785774
ACH-000756,-0.07663309798078001
ACH-000757,-0.03409086292766152
ACH-000758,0.029384216156382925
ACH-000760,-0.024616012455021225
ACH-000762,0.030718988071187312
ACH-000763,-0.12072307916908676
ACH-000764,-0.17672897173515126
ACH-000765,-0.10877491697589804
ACH-000766,-0.11634938779776555
ACH-000767,0.04766254407153602
ACH-000768,0.06514771634513039
ACH-000769,-0.04599647969260027
ACH-000770,-0.041303464641376325
ACH-000771,0.11729721729502067
ACH-000773,-0.06072725972483348
ACH-000776,-0.016962782304534466
ACH-000777,-0.09777327733870657
ACH-000778,0.0382429136207238
ACH-000781,-0.12504254241354926
ACH-000782,-0.0453204394395746
ACH-000783,-0.053930924408241813
ACH-000784,-0.07223941031455405
ACH-000785,-0.052515958314417896
ACH-000787,-0.08355517109747948
ACH-000788,-0.09280660800361308
ACH-000791,0.03830693278662254
ACH-000792,-0.1260009033944335
ACH-000794,-0.03601110160060198
ACH-000796,-0.02519918410966092
ACH-000798,-0.11110703994551924
ACH-000799,0.037978395096488066
ACH-000800,0.08116832729668755
ACH-000802,0.0006090099321690072
ACH-000804,-0.002696945047761125
ACH-000805,0.12806905729688328
ACH-000809,-0.10250485845869334
ACH-000810,-0.05869037241224024
ACH-000811,-0.04295616836974011
ACH-000817,-0.1327789520209673
ACH-000819,-0.17230674789877534
ACH-000820,0.19228273396756046
ACH-000821,0.003352118136700693
ACH-000822,-0.1109675297765103
ACH-000823,-0.05215100824696845
ACH-000824,-0.17056408411247165
ACH-000827,0.04543329574533899
ACH-000829,0.018056014977251702
ACH-000831,-0.013100911230918569
ACH-000832,-0.07903992375810774
ACH-000833,-0.12477626454702233
ACH-000834,0.10841979797085956
ACH-000835,-0.019536121102659187
ACH-000836,0.024541785689076355
ACH-000837,-0.13157698578408844
ACH-000838,-0.1511724219233105
ACH-000839,0.1271430577107864
ACH-000840,-0.0648430817045939
ACH-000841,-0.11603680992211045
ACH-000843,-0.0032472825432058533
ACH-000846,-0.04439423055515209
ACH-000847,-0.15592227158629432
ACH-000848,-0.06300902139821869
ACH-000849,-0.17713542789233294
ACH-000851,-0.0002060774777905276
ACH-000855,0.028075086359039797
ACH-000856,-0.26936566462586914
ACH-000858,-0.02111142810080785
ACH-000859,-0.2431796331270182
ACH-000861,-0.039482291202420416
ACH-000862,-0.17548978762138068
ACH-000865,0.058707875948497135
ACH-000866,0.008412869958073861
ACH-000867,-0.11502372030015785
ACH-000869,-0.04291602422055789
ACH-000872,-0.08882265541737808
ACH-000873,-0.21952555136209967
ACH-000876,-0.1458550632792443
ACH-000878,-0.23427740883341625
ACH-000880,0.028761801821251338
ACH-000881,-0.0197934746574368
ACH-000882,-0.11020011798451892
ACH-000884,-0.06080398287721218
ACH-000885,-0.14343972723410145
ACH-000887,0.028047528668374257
ACH-000889,0.024567981238144902
ACH-000896,0.037954832587080815
ACH-000898,-0.07469718037437298
ACH-000900,0.102225782087043
ACH-000901,-0.11280449311318393
ACH-000905,0.04900796062069408
ACH-000906,-0.061782609479679965
ACH-000907,-0.051817413578086384
ACH-000910,-0.13675876755787372
ACH-000911,0.17569960267406873
ACH-000912,-0.009853828195612457
ACH-000913,-0.043993596956787284
ACH-000915,-0.18337790783364324
ACH-000916,0.15841838189860055
ACH-000917,0.01482066914795625
ACH-000920,-0.18815980693656947
ACH-000921,0.05172245025724172
ACH-000924,-0.0717825212420255
ACH-000926,-0.1804059683878912
ACH-000928,0.10239350061188332
ACH-000929,-0.07644305360200639
ACH-000932,-0.10723029777933103
ACH-000935,-0.12721249866339968
ACH-000936,0.14910338604484685
ACH-000937,0.05779646064396441
ACH-000938,0.004161394305553456
ACH-000939,0.0345670773609372
ACH-000941,-0.005322931176938064
ACH-000943,-0.1146174176944834
ACH-000946,0.09167036095107592
ACH-000947,-0.12734817443624355
ACH-000948,0.049044322113855794
ACH-000950,-0.08642354019093232
ACH-000953,-0.011514465738265638
ACH-000954,0.1646367568185241
ACH-000957,0.08063258087143428
ACH-000958,-0.02495410404605792
ACH-000960,-0.061986611529031864
ACH-000963,-0.00686591341467324
ACH-000968,-0.13824447307180782
ACH-000969,0.06645896485252645
ACH-000972,0.12087415137736712
ACH-000973,-0.08829650775894565
ACH-000974,0.018241872605523127
ACH-000978,0.04988626969990812
ACH-000984,-0.09924237705996294
ACH-000986,-0.0409726068985572
ACH-000988,-0.01924938608578562
ACH-000993,-0.12416527487139263
ACH-000994,-0.015288040798071497
ACH-000996,0.07490701121326518
ACH-001001,0.057481341465703474
ACH-001020,-0.2101921504942937
ACH-001028,-0.05762858861102262
ACH-001031,-0.0025551659864220025
ACH-001038,0.04987430943259625
ACH-001048,-0.12068473151933524
ACH-001050,-0.05897852061821115
ACH-001053,-0.3578205292489608
ACH-001054,-0.06237615866933966
ACH-001061,0.07809633833647114
ACH-001067,-0.13286370619409998
ACH-001075,-0.12176046215009514
ACH-001096,-0.08648309387995781
ACH-001111,-0.14202057313151678
ACH-001119,-0.027112275146025905
ACH-001128,-0.07847953681192807
ACH-001134,-0.030012681238241194
ACH-001151,-0.026455077926226374
ACH-001163,-0.0008858573814668972
ACH-001164,-0.15421182723089766
ACH-001183,0.07811119067436006
ACH-001192,-0.11812249003395932
ACH-001193,-0.04653166305127535
ACH-001196,-0.06129301898012235
ACH-001197,-0.30483236900003685
ACH-001205,-0.1515877782674571
ACH-001211,-0.08232183641490104
ACH-001212,-0.2157320313502425
ACH-001228,-0.16237405595344648
ACH-001232,-0.10407986598365264
ACH-001239,-0.07203299113485884
ACH-001270,0.11512366547442145
ACH-001274,0.11172646184467597
ACH-001275,-0.033506652026571215
ACH-001277,0.06727823474797867
ACH-001278,-0.1675287005550362
ACH-001280,-0.16948609371099824
ACH-001283,-0.08779361777211955
ACH-001289,-0.09012451127730946
ACH-001300,-0.18032168047799774
ACH-001301,-0.11084745106702512
ACH-001302,0.1192082012853472
ACH-001306,-0.02203618489203338
ACH-001318,0.018870231973228516
ACH-001322,-0.24612104186513906
ACH-001328,0.0092474060618411
ACH-001332,-0.08019576662057648
ACH-001336,-0.1818115904425993
ACH-001346,0.11497353002003124
ACH-001353,-0.07505220703027637
ACH-001354,-0.10545925126842677
ACH-001367,0.13037521407559907
ACH-001368,-0.08721289352173422
ACH-001374,-0.14638965716294053
ACH-001377,-0.28054114934300706
ACH-001380,-0.053471578501124266
ACH-001391,-0.1509683955012125
ACH-001408,-0.14803376311062638
ACH-001430,-0.17946072035097355
ACH-001431,-0.0552324762972778
ACH-001450,-0.019989579427070067
ACH-001496,-0.05301170265698493
ACH-001500,-0.08777649866588258
ACH-001523,-0.02609423925732479
ACH-001532,-0.07850893501105545
ACH-001550,-0.13888060836413954
ACH-001552,-0.2095513843053887
ACH-001554,-0.10292063880039484
ACH-001654,-0.0997030933456729
ACH-001735,-0.11712013218203245
ACH-001736,-0.011193509278857938
ACH-001737,-0.09706852328883944
ACH-001740,-0.09697700672224244
ACH-001745,-0.028109755953709663
ACH-001765,-0.12284498222829593
