,MLN (4295)
ACH-000948,0.18155137067077345
ACH-000950,-0.14991695319829326
ACH-000953,0.14634758012104634
ACH-000954,-0.0025773012729147144
ACH-000957,0.24329696643315502
ACH-000958,0.022482359856623512
ACH-000960,0.03421938515284643
ACH-000963,0.15819339164319585
ACH-000968,0.08930307926151296
ACH-000969,0.06948902447015116
ACH-000972,0.0011680802774449539
ACH-000973,0.05068217657902364
ACH-000974,0.1966724572114675
ACH-000978,0.2056032618806332
ACH-000984,0.13097748884002847
ACH-000986,0.21119059040245391
ACH-000988,0.04802042410948873
ACH-000993,-0.0992392852669122
ACH-000994,0.012846272830180364
ACH-000996,0.17630286502702033
ACH-001001,0.08019556007046492
ACH-001020,-0.3322941015080337
ACH-001028,0.01831411174218081
ACH-001031,0.0761367832757071
ACH-001038,0.10289614690903397
ACH-001048,0.03311154915253765
ACH-001050,0.13183126644069929
ACH-001053,0.08316022551458725
ACH-001054,0.15774627455048862
ACH-001061,0.244514854903742
ACH-001067,-0.023120323933883174
ACH-001075,-0.055161880294930514
ACH-001096,0.1197811568577227
ACH-001111,0.3441515662134357
ACH-001119,0.16746271101315469
ACH-001128,0.2970945231121201
ACH-001134,0.08677714330979933
ACH-001151,0.05701309271579854
ACH-001163,0.06761193016961006
ACH-001164,-0.36027591054776914
ACH-001183,0.06712806355480018
ACH-001192,0.011761623144202564
ACH-001193,0.08781897985629107
ACH-001196,0.10188628305465326
ACH-001197,-0.16784673618056067
ACH-001205,0.04424128423466242
ACH-001211,0.1737334844501533
ACH-001212,0.1460245993716123
ACH-001228,0.4482039448069988
ACH-001232,0.11032180910925267
ACH-001239,0.06514441162887781
ACH-001270,-0.047104843708142934
ACH-001274,0.07738883575491036
ACH-001275,0.10230999707058078
ACH-001277,-0.00532401314772952
ACH-001278,0.18115432878907653
ACH-001280,0.0630986137211802
ACH-001283,0.08850231400479079
ACH-001289,0.1822058882391018
ACH-001300,0.02083243567120548
ACH-001301,0.11672060560028875
ACH-001302,0.1364241287292696
ACH-001306,0.09352270644882077
ACH-001318,0.18611374274867207
ACH-001322,-0.045226107785631
ACH-001328,0.04802706847075152
ACH-001332,-0.05876131452442299
ACH-001336,0.013849900145593636
ACH-001346,0.04428784945699627
ACH-001353,0.07346159356065288
ACH-001354,0.17251173434302494
ACH-001367,0.3044962051815763
ACH-001368,0.093156492511319
ACH-001374,0.3159332517296458
ACH-001377,0.05086287948154262
ACH-001380,0.0977583880406977
ACH-001391,0.22021134057106434
ACH-001408,0.03164031974763299
ACH-001430,0.05304081236817672
ACH-001431,-0.14363810759180387
ACH-001450,0.1574344561997137
ACH-001496,0.04625511059525192
ACH-001500,0.08073377446486707
ACH-001523,0.1719779059744426
ACH-001532,0.13515886024744467
ACH-001550,0.1221123395926938
ACH-001552,0.2861883873729822
ACH-001554,0.05701508562490438
ACH-001654,0.11467460585099795
ACH-001735,0.028841862434646457
ACH-001736,0.041345971049994434
ACH-001737,-0.18505114415250914
ACH-001740,0.13376659414806188
ACH-001745,0.06700591557629099
ACH-001765,-0.11907914808571078
