,LZTS1 (11178)
ACH-000968,0.05014214066244363
ACH-000969,-0.06391170922653068
ACH-000972,-0.04378984946946715
ACH-000973,-0.016505174177336834
ACH-000974,-0.10611278688959837
ACH-000978,0.12135704525243045
ACH-000984,-0.1290243249974467
ACH-000986,-0.28450229883160955
ACH-000988,-0.016667880480828564
ACH-000993,-0.010637361781953696
ACH-000994,-0.19060710674352688
ACH-000996,-0.11924685425237
ACH-001001,-0.05284427129196481
ACH-001020,0.1728983438553525
ACH-001028,-0.046595480946854964
ACH-001031,-0.11599344040170725
ACH-001038,-0.0027302889034898567
ACH-001048,-0.02759426831022934
ACH-001050,-0.11535396644939712
ACH-001053,0.048189405233762014
ACH-001054,-0.10232699263664162
ACH-001061,0.04966033540467533
ACH-001067,0.06988200924018828
ACH-001075,-0.051759885128906495
ACH-001096,0.025672944973146518
ACH-001111,0.039950976194808314
ACH-001119,-0.019710436552453737
ACH-001128,0.6769834696598906
ACH-001134,0.0908093553983038
ACH-001151,-0.1911694058041757
ACH-001163,-0.09442097748424133
ACH-001164,-0.15382009275040734
ACH-001183,-0.1957522520678877
ACH-001192,-0.18217006461657875
ACH-001193,0.0989074203040598
ACH-001196,-0.058588143198132325
ACH-001197,-0.19556479576874536
ACH-001205,-0.3198008098489689
ACH-001211,0.20889941350277894
ACH-001212,-0.10469509969459384
ACH-001228,-0.14117008204740472
ACH-001232,-0.033239708335789486
ACH-001239,0.038788706687477616
ACH-001270,0.13843464898933552
ACH-001274,0.05121768829654613
ACH-001275,-0.25282572162768585
ACH-001277,0.04960164041404853
ACH-001278,-0.15360133513585378
ACH-001280,-0.07636244418628535
ACH-001283,-0.1212417116068012
ACH-001289,-0.06743695351924163
ACH-001300,0.008156669875998404
ACH-001301,-0.13606035053413842
ACH-001302,-0.13799703704919886
ACH-001306,0.019743423691986433
ACH-001318,-0.021917921715026455
ACH-001322,0.012292710120886577
ACH-001328,-0.11363180264978795
ACH-001332,-0.16059020362524776
ACH-001336,0.021736110612856897
ACH-001346,-0.19866170093983493
ACH-001353,-0.0760041856674556
ACH-001354,0.049161357115807214
ACH-001367,-0.20772341673707764
ACH-001368,0.014571309258373568
ACH-001374,0.3695593233391655
ACH-001377,-0.062345136772108324
ACH-001380,0.003442911448598763
ACH-001391,-0.11455547915196185
ACH-001408,-0.1177720905726798
ACH-001430,-0.15371595222781348
ACH-001431,-0.17352336458020798
ACH-001450,-0.02420484665101609
ACH-001496,0.06651688903487067
ACH-001500,0.09218976393846587
ACH-001523,0.02337363222435525
ACH-001532,-0.06357627702891397
ACH-001550,0.2587687199126392
ACH-001552,-0.08069497194921879
ACH-001554,0.02994011980367173
ACH-001654,-0.10462812164148114
ACH-001735,-0.08311489957279096
ACH-001736,-0.020693381330214616
ACH-001737,0.1036475440431437
ACH-001740,-0.0018091256554154734
ACH-001745,-0.09850897337426484
ACH-001765,0.09469907064133487
