,NPB (256933)
ACH-000819,-0.5429734107368488
ACH-000820,-0.4435429212477872
ACH-000821,-0.14022400041012142
ACH-000822,-0.4648829307874612
ACH-000823,-0.6024162830754959
ACH-000824,-0.564231297675491
ACH-000827,-0.4997919086188446
ACH-000829,-0.3200467913375414
ACH-000831,-0.4673136664425676
ACH-000832,-0.2990485127515337
ACH-000833,-0.4237355510206773
ACH-000834,-0.3959506598083434
ACH-000835,-0.4261670810636803
ACH-000836,-0.4524059654520646
ACH-000837,-0.3840971010687672
ACH-000838,-0.24581219609394706
ACH-000839,-0.6462744053082038
ACH-000840,-0.4527522949363654
ACH-000841,-0.32971548181530697
ACH-000843,-0.5595221483039509
ACH-000846,-0.6790202589641561
ACH-000847,-0.5063954695166603
ACH-000848,-0.2734737400221135
ACH-000849,-0.4156598049911059
ACH-000851,-0.4473739001662741
ACH-000855,-0.6143814208924242
ACH-000856,-0.4216200800841344
ACH-000858,-0.2849183441051032
ACH-000859,-0.5781277879137671
ACH-000861,-0.5673921111487518
ACH-000862,-0.5041609770835893
ACH-000865,-0.4564449900627489
ACH-000866,-0.3785628253483676
ACH-000867,-0.3754762954082607
ACH-000869,-0.1703760465182665
ACH-000872,-0.4796261532024861
ACH-000873,-0.5558591183029501
ACH-000876,-0.3661878893711224
ACH-000878,-0.14005485050869831
ACH-000880,-0.4513038029693711
ACH-000881,-0.5030540065260476
ACH-000882,-0.3252334775086598
ACH-000884,-0.5121461127663771
ACH-000885,-0.3778609269752752
ACH-000887,-0.3902380314499989
ACH-000889,-0.3475299319026035
ACH-000896,-0.4120547576003517
ACH-000898,-0.5617102976710527
ACH-000900,-0.3403485294211964
ACH-000901,-0.3889068972137152
ACH-000905,-0.398847352840523
ACH-000906,-0.3936928737485556
ACH-000907,-0.3763838979704409
ACH-000910,-0.5299112630434426
ACH-000911,-0.434917078658258
ACH-000912,-0.4131416576467807
ACH-000913,-0.3692191264632808
ACH-000915,-0.4662771719462027
ACH-000916,-0.1860300045949337
ACH-000917,-0.28884481488751
ACH-000920,-0.483384501340194
ACH-000921,-0.5589496875711166
ACH-000924,-0.3936782078837677
ACH-000926,-0.3132107615907657
ACH-000928,-0.235990545256358
ACH-000929,-0.5548183759788218
ACH-000932,-0.387913742636277
ACH-000935,-0.6574955902091373
ACH-000936,-0.4913487445905987
ACH-000937,-0.4084254755690429
ACH-000938,-0.4052463300966006
ACH-000939,-0.40724914863659
ACH-000941,-0.22551147765585786
ACH-000943,-0.4150045486808741
ACH-000946,-0.4016241361534717
ACH-000947,-0.3475171933311117
ACH-000948,-0.4147510441564164
ACH-000950,-0.4779383709651757
ACH-000953,-0.5016694937530527
ACH-000954,0.16474937444590276
ACH-000957,-0.336533984686549
ACH-000958,-0.34628762209940234
ACH-000960,-0.37654865303027135
ACH-000963,-0.5372281514393584
ACH-000968,-0.34864580606945306
ACH-000969,-0.5368376163147398
ACH-000972,-0.5417417935732428
ACH-000973,-0.4293287073303669
ACH-000974,-0.4482611842887106
ACH-000978,-0.2908572416584292
ACH-000984,-0.3320423546834484
ACH-000986,-0.4604026819236505
ACH-000988,-0.3646780654378494
ACH-000993,-0.6361550799296687
ACH-000994,-0.2532319265986678
ACH-000996,-0.4550846682341369
ACH-001001,-0.4838264488598455
ACH-001020,-0.29210674109630835
ACH-001028,-0.4575023739039555
ACH-001031,-0.5123480405245167
ACH-001038,-0.4040223451581072
ACH-001048,-0.5307769983228439
ACH-001050,-0.5480013493154402
ACH-001053,-0.5685906113310406
ACH-001054,-0.5294691236730417
ACH-001061,-0.2622950935593485
ACH-001067,-0.5033639372032189
ACH-001075,-0.3972600367218664
ACH-001096,-0.7071468581350244
ACH-001111,-0.13538521619957194
ACH-001119,-0.38255192477666417
ACH-001128,-0.3432026314318306
ACH-001134,-0.3289093895814686
ACH-001151,-0.33346023431178284
ACH-001163,-0.5023469538480481
ACH-001164,-0.6983139030620007
ACH-001183,-0.5517117681954475
ACH-001192,-0.42243615286691855
ACH-001193,-0.27991833721982146
ACH-001196,-0.2963260390441019
ACH-001197,-0.5916429602640991
ACH-001205,-0.459795883467207
ACH-001211,-0.33411883715291457
ACH-001212,-0.34239059362870955
ACH-001228,-0.4063859629621097
ACH-001232,-0.4645901989258393
ACH-001239,-0.547458849135583
ACH-001270,-0.016130549133464244
ACH-001274,-0.5586737633509368
ACH-001275,-0.6507934963202919
ACH-001277,-0.6386985005990801
ACH-001278,-0.31581877124619084
ACH-001280,-0.4571996440426783
ACH-001283,-0.5625413447295198
ACH-001289,-0.2545746458478972
ACH-001300,-0.3234294499474014
ACH-001301,-0.7223736359474803
ACH-001302,-0.4414900307176628
ACH-001306,-0.21219645332444206
ACH-001318,-0.3321447835854927
ACH-001322,-0.5848287637163329
ACH-001328,-0.6643084911415722
ACH-001332,-0.5328685954135077
ACH-001336,-0.3092574831217049
ACH-001346,-0.4393660388613815
ACH-001353,-0.470947246502451
ACH-001354,-0.6521796040523596
ACH-001367,-0.7442692771712366
ACH-001368,-0.4649609503130416
ACH-001374,-0.8360399018888578
ACH-001377,-0.42637673962570255
ACH-001380,-0.44925899120561824
ACH-001391,-0.33516970029307674
ACH-001408,-0.5539548666655916
ACH-001430,-0.6078516368964557
ACH-001431,-0.4952209437650455
ACH-001450,-0.5513150016552664
ACH-001496,-0.4456936395564704
ACH-001500,-0.4514490347821244
ACH-001523,-0.4829975344002145
ACH-001532,-0.5765461772006291
ACH-001550,-0.5920329055533866
ACH-001552,-0.5710641083501127
ACH-001554,-0.4425762198110039
ACH-001654,-0.5574687821944838
ACH-001735,-0.5041259607572867
ACH-001736,-0.7227711357486832
ACH-001737,-0.2910812150482757
ACH-001740,-0.3136490817129793
ACH-001745,-0.5055574830141312
ACH-001765,-0.28341024070994103
