,OR52K1 (390036)
ACH-000958,0.06629318629420926
ACH-000960,-0.00887769442634397
ACH-000963,-0.17520831087043318
ACH-000968,-0.2087253268177992
ACH-000969,0.1351656977883774
ACH-000972,0.23779753657358746
ACH-000973,-0.05857593990880764
ACH-000974,0.05468042686707315
ACH-000978,0.0970160263810472
ACH-000984,0.035091252480842154
ACH-000986,-0.044927439777127084
ACH-000988,-0.1318987769168941
ACH-000993,-0.01898702186245932
ACH-000994,-0.031872227872536206
ACH-000996,0.010312636048284944
ACH-001001,0.010811472971300369
ACH-001020,0.01988163062363212
ACH-001028,-0.010914133637014118
ACH-001031,0.1116108684590455
ACH-001038,0.06545789782307786
ACH-001048,-0.08851904025203387
ACH-001050,0.1385592962035456
ACH-001053,-0.10885680402364327
ACH-001054,-0.049282109173713215
ACH-001061,0.012172854818499482
ACH-001067,0.14113161518727727
ACH-001075,5.277433768863441e-05
ACH-001096,-0.09139269201259274
ACH-001111,-0.007068531162211836
ACH-001119,0.3121282281998672
ACH-001128,0.09460854242491892
ACH-001134,-0.13329516498281568
ACH-001151,0.0024304836508333393
ACH-001163,0.0686497158222784
ACH-001164,0.0453969976475403
ACH-001183,0.09626009278120523
ACH-001192,0.09845078292386816
ACH-001193,0.07113385395007729
ACH-001196,0.1882080785684318
ACH-001197,-0.10027054405725626
ACH-001205,0.008118729318378978
ACH-001211,0.09201748835393714
ACH-001212,0.0745347058664573
ACH-001228,0.036649592574243994
ACH-001232,0.051259331130160034
ACH-001239,-0.002014479167638132
ACH-001270,-0.05324822642115694
ACH-001274,-0.13950785001967544
ACH-001275,0.05116881840474862
ACH-001277,0.03177164344755355
ACH-001278,0.16141503180319852
ACH-001280,0.08791801890510201
ACH-001283,0.005816102254404197
ACH-001289,0.049336423708304177
ACH-001300,0.20139450249786586
ACH-001301,-0.06858001813731954
ACH-001302,0.18486149789777592
ACH-001306,0.017492575049350017
ACH-001318,-0.04183031989557781
ACH-001322,0.2378947523380975
ACH-001328,0.05301762957551378
ACH-001332,0.1349588610634312
ACH-001336,-0.06094882592181671
ACH-001346,0.010383215148139712
ACH-001353,-0.04853936319949869
ACH-001354,-0.038280114836046264
ACH-001367,0.26294319791024995
ACH-001368,0.08003874506544602
ACH-001374,0.20482535416650333
ACH-001377,0.061890374833639565
ACH-001380,0.12645850643426987
ACH-001391,-0.0822712470963704
ACH-001408,-0.1107305465026503
ACH-001430,0.2282214770280221
ACH-001431,0.027200533840977682
ACH-001450,-0.2955795272069361
ACH-001496,0.11528932844600312
ACH-001500,0.0946529919240924
ACH-001523,0.03325377657760338
ACH-001532,0.04066079980621635
ACH-001550,-0.002048217775408902
ACH-001552,0.27390988969111923
ACH-001554,0.039909726612591616
ACH-001654,0.12082663684330422
ACH-001735,-0.09988435183850414
ACH-001736,0.08174096930544952
ACH-001737,-0.2851036912354307
ACH-001740,0.15254074488941774
ACH-001745,0.05750660605164505
ACH-001765,-0.03736550914439552
