,CORO7 (79585)
ACH-000911,-0.1756718609387858
ACH-000912,0.010468133691393705
ACH-000913,-0.05516895630978027
ACH-000915,-0.05958005601681032
ACH-000916,-0.2257426987578852
ACH-000917,-0.15918281536090412
ACH-000920,-0.20573424201791984
ACH-000921,0.09843344914613376
ACH-000924,-0.06512445167738902
ACH-000926,-0.2029759684962518
ACH-000928,-0.3395513859896497
ACH-000929,-0.2262560450022156
ACH-000932,-0.09947754689933347
ACH-000935,-0.04455409758886969
ACH-000936,-0.15241233693115402
ACH-000937,-0.039255938514413294
ACH-000938,0.01864932258920116
ACH-000939,-0.2874517245146831
ACH-000941,-0.2898638306877748
ACH-000943,-0.10662180528376833
ACH-000946,-0.12060253202257926
ACH-000947,-0.03152881215086285
ACH-000948,-0.08598745700320645
ACH-000950,0.05970053563513274
ACH-000953,-0.0909004085163794
ACH-000954,0.06703091956085262
ACH-000957,-0.03698919397145789
ACH-000958,-0.1917658586103093
ACH-000960,-0.14623581605543495
ACH-000963,-0.02048404515684015
ACH-000968,-0.09492285560320997
ACH-000969,-0.08056528736032774
ACH-000972,-0.2098108958923276
ACH-000973,-0.09078688027984956
ACH-000974,-0.08951419983830264
ACH-000978,-0.15952421506066186
ACH-000984,-0.02735805883981171
ACH-000986,-0.14681601297139846
ACH-000988,-0.043514219321421854
ACH-000993,-0.14940408045695155
ACH-000994,-0.12793468443754408
ACH-000996,-0.30258640873278264
ACH-001001,-0.10425004336876076
ACH-001020,-0.11740811456632624
ACH-001028,-0.08920210457554659
ACH-001031,-0.10622137460588546
ACH-001038,-0.14010839908685854
ACH-001048,-0.12076382230540553
ACH-001050,-0.1927425090252907
ACH-001053,-0.07548394956493128
ACH-001054,-0.12473390673872126
ACH-001061,-0.014232597225510204
ACH-001067,-0.1464507778678835
ACH-001075,-0.10852669767462153
ACH-001096,-0.07667326180763256
ACH-001111,-0.13869288046223047
ACH-001119,-0.1900317165188128
ACH-001128,-0.5144947814175425
ACH-001134,0.014580876848213256
ACH-001151,-0.06641952843158619
ACH-001163,-0.08954274496880284
ACH-001164,0.016752768106703425
ACH-001183,-0.2038472377308384
ACH-001192,0.02309734644235851
ACH-001193,-0.13450884737623706
ACH-001196,-0.1358068215254934
ACH-001197,-0.2973710145789384
ACH-001205,0.01743311879559693
ACH-001211,-0.17169762256083088
ACH-001212,-0.18203949134257266
ACH-001228,-0.1133912008668049
ACH-001232,-0.18513066552178176
ACH-001239,-0.08456894034884413
ACH-001270,-0.20456571469441012
ACH-001274,-0.149933253878641
ACH-001275,-0.005706770214645676
ACH-001277,0.04757308028105088
ACH-001278,-0.17724829705052786
ACH-001280,-0.16958118279576356
ACH-001283,-0.048290375951732495
ACH-001289,-0.16405510936686007
ACH-001300,-0.09057833202968316
ACH-001301,-0.10503512447673947
ACH-001302,-0.2413693626706466
ACH-001306,-0.1339562121563048
ACH-001318,-0.18789191981632436
ACH-001322,-0.08093998190047637
ACH-001328,-0.0906695686706942
