,CALB2 (794)
ACH-000620,0.22941732235631795
ACH-000621,0.14449089560768988
ACH-000622,0.3607463370105008
ACH-000623,0.21013818920869545
ACH-000624,0.22947146359126536
ACH-000627,0.3187126439488972
ACH-000630,0.2359140212464797
ACH-000631,0.19089635414150866
ACH-000632,0.17553966299872514
ACH-000633,0.09251060516916246
ACH-000637,0.08494464515277657
ACH-000638,0.22576417898314274
ACH-000646,0.06819172836802814
ACH-000647,0.2068199267564536
ACH-000648,0.3166080135327537
ACH-000649,0.3322103555974145
ACH-000651,-0.07176321391538
ACH-000652,0.2408821017546835
ACH-000653,0.17800514439187226
ACH-000657,0.22373291617330796
ACH-000658,0.2367427995275273
ACH-000661,0.17013285233345254
ACH-000662,-0.044751249150363256
ACH-000663,0.16945348862171433
ACH-000665,0.2517008391301612
ACH-000671,0.2841782864968709
ACH-000672,0.11582270527787154
ACH-000673,0.2128886392370503
ACH-000676,0.20644043548191984
ACH-000677,0.2913119718293328
ACH-000681,0.1407839922177271
ACH-000683,0.25200114428634635
ACH-000684,0.2587897177150404
ACH-000688,0.3293706405690477
ACH-000693,0.2777016589022177
ACH-000694,0.20546783286048972
ACH-000695,0.3823108955601335
ACH-000696,0.32519033781719026
ACH-000697,0.1987933480010188
ACH-000699,0.11831173491451932
ACH-000701,0.37198401621093785
ACH-000706,0.2293603437795293
ACH-000711,0.27338934836038625
ACH-000713,0.16295851791651586
ACH-000714,0.16730987963760385
ACH-000718,0.21273434179610964
ACH-000720,0.16130144920512166
ACH-000721,0.29319971233029674
ACH-000724,0.19173518397621767
ACH-000725,0.16885383796653688
ACH-000732,0.4096698476786289
ACH-000734,0.22397605746070387
ACH-000735,0.3270992641225756
ACH-000736,0.08054901063895822
ACH-000738,0.1609489924358332
ACH-000746,0.2352525812972111
ACH-000747,0.348513781213891
ACH-000748,0.26158214994101525
ACH-000753,0.21790308252183974
ACH-000756,0.3251218811913153
ACH-000757,0.1488676186211323
ACH-000758,0.2603586090092697
ACH-000760,0.14515261641299027
ACH-000762,0.3480815735713019
ACH-000763,0.15577499298318787
ACH-000764,0.2665315888613953
ACH-000765,0.38208117178239503
ACH-000766,0.3174122121847253
ACH-000767,0.13068436628701288
ACH-000768,0.2274167593735211
ACH-000769,0.4566613658746691
ACH-000770,0.2925082871763937
ACH-000771,0.2702941143813521
ACH-000773,0.2869586736573245
ACH-000776,0.38740285661934026
ACH-000777,0.25040750502396264
ACH-000778,0.22521006530634186
ACH-000781,0.2662833927275204
ACH-000782,0.20918283075077024
ACH-000783,0.15360780934520926
ACH-000784,0.2457780778670475
ACH-000785,0.10349573901194688
ACH-000787,0.2459866875441829
ACH-000788,0.2560457496235105
ACH-000791,0.2536455807405942
ACH-000792,0.26250884516204
ACH-000794,0.2917210368108382
ACH-000796,0.2449075421163029
ACH-000798,0.3459070984451844
ACH-000799,0.2622842502473484
ACH-000800,0.25876286623702355
ACH-000802,0.16292598559728358
ACH-000804,0.24455819774117346
ACH-000805,0.3396035664794508
ACH-000809,0.2962642949874257
ACH-000810,0.33441593614315906
ACH-000811,0.23394527127579504
ACH-000817,0.17756990919999702
ACH-000819,0.3132946177306018
ACH-000820,0.02344024177406277
ACH-000821,0.2521977186781172
ACH-000822,0.3044420102963536
ACH-000823,0.23184180736650545
ACH-000824,0.19729771266681492
ACH-000827,0.2641121107857836
ACH-000829,0.20283086277668397
ACH-000831,0.1018857168560518
ACH-000832,0.32771955949082693
ACH-000833,0.17741372226526642
ACH-000834,0.17544308057087796
ACH-000835,0.2314243522831379
ACH-000836,0.2637368932218759
ACH-000837,0.2876611985193549
ACH-000838,0.3848526892040044
ACH-000839,0.30508368728014695
ACH-000840,0.10020076060839826
ACH-000841,0.20640190677257653
ACH-000843,0.3198798251873227
ACH-000846,0.16406241804565105
ACH-000847,0.30059005501628183
ACH-000848,0.2302373949558099
ACH-000849,0.2325859916940917
ACH-000851,0.220011910803136
ACH-000855,0.2685977850363397
ACH-000856,0.2855664285082953
ACH-000858,0.3069929902086185
ACH-000859,0.2701107712017706
ACH-000861,0.2585567016633277
ACH-000862,0.19057510330058114
ACH-000865,0.2768565289227597
ACH-000866,0.18508741175030155
ACH-000867,0.23073212645445998
ACH-000869,0.08984094013742909
ACH-000872,0.337563277828234
ACH-000873,0.2434419467460382
ACH-000876,0.22982031622850524
ACH-000878,0.2632168399408467
ACH-000880,0.3311933271028133
ACH-000881,0.2128397034105341
ACH-000882,0.2975844351313888
ACH-000884,0.24391495220981715
ACH-000885,0.27653937022052755
ACH-000887,0.20396162577457527
ACH-000889,0.2474108553703472
ACH-000896,0.22509261692226806
ACH-000898,0.1910076929060676
ACH-000900,0.2293912447298285
ACH-000901,0.2621149613979326
ACH-000905,0.20683922713051348
ACH-000906,0.26552563321325245
ACH-000907,0.19437078209223066
ACH-000910,0.2213794518310257
ACH-000911,0.2361021327654312
ACH-000912,0.25429245257807914
ACH-000913,0.20158778075949785
ACH-000915,0.1741312793686024
ACH-000916,0.3025041663178587
ACH-000917,0.3966926122717683
ACH-000920,0.14925605259231345
ACH-000921,0.020964673298336664
ACH-000924,0.16094793208585614
ACH-000926,0.24271375484968505
ACH-000928,0.0973993517980474
ACH-000929,0.12385746595591515
ACH-000932,0.22093558855030565
ACH-000935,0.2994569944248385
ACH-000936,0.16965097143721386
ACH-000937,0.2762707361817749
ACH-000938,0.30142107987437805
ACH-000939,0.13195307990127653
ACH-000941,0.25598615025234506
ACH-000943,0.2344998054722781
ACH-000946,0.19056023910905726
ACH-000947,0.1979249984213348
ACH-000948,0.2331516663593431
ACH-000950,0.2323166705319767
ACH-000953,0.25785235048809546
ACH-000954,-0.003310333972449173
ACH-000957,0.07617482427513919
ACH-000958,0.22733555963526025
ACH-000960,0.3318232728422749
ACH-000963,0.2587772859751577
ACH-000968,0.14048006552410525
ACH-000969,0.2239741272333364
ACH-000972,0.20394901790702052
ACH-000973,0.13091329578691466
ACH-000974,0.20279495394397265
ACH-000978,0.04274323952022367
ACH-000984,0.2399776510132421
ACH-000986,0.27393682748305703
ACH-000988,0.15584073493546707
ACH-000993,0.1307820629246783
ACH-000994,0.108310591272782
ACH-000996,0.30437373997387
ACH-001001,0.2927632440506276
ACH-001020,0.09138202646893384
ACH-001028,0.20587627322232552
ACH-001031,0.10823437790396433
ACH-001038,0.2851881482424713
ACH-001048,0.19196353805536426
ACH-001050,0.0669369298982023
ACH-001053,0.24945652308873315
ACH-001054,0.18194094805193733
ACH-001061,0.2666012493145606
ACH-001067,0.22476911525642496
ACH-001075,0.19016428467427315
ACH-001096,0.1490870844345269
ACH-001111,0.25043209305046715
ACH-001119,0.4246732296743553
ACH-001128,0.06949554808484677
ACH-001134,0.2849669419654021
ACH-001151,0.18576226253295444
ACH-001163,0.263110396464784
ACH-001164,0.3139059184662261
ACH-001183,0.2529171247234641
ACH-001192,0.2858769680817048
ACH-001193,0.3255519080727717
ACH-001196,0.15426285556744046
ACH-001197,0.29130444850371096
ACH-001205,0.30061807132411233
ACH-001211,0.30301697006198275
ACH-001212,0.2938341553430462
ACH-001228,0.04981679980390944
ACH-001232,0.23371282811857724
ACH-001239,0.20757985779488905
ACH-001270,0.1350439584237948
ACH-001274,0.28138048214977
ACH-001275,0.2549251457715721
ACH-001277,0.2169424741227888
ACH-001278,0.2225654055729777
ACH-001280,0.3162987726091953
ACH-001283,0.31158066200186285
ACH-001289,0.25679991188227685
ACH-001300,0.2702754776604199
ACH-001301,0.07712822984457603
ACH-001302,0.3746933929328351
ACH-001306,0.19427643779297507
ACH-001318,0.2522579135142955
ACH-001322,0.09563306480592676
ACH-001328,0.3326062369402607
ACH-001332,0.4799766826579655
ACH-001336,0.3615850220803044
ACH-001346,0.2104557966833176
ACH-001353,0.17917427850237572
ACH-001354,0.3573829403178683
ACH-001367,0.1363954963304061
ACH-001368,0.23465140745083696
ACH-001374,0.3431460761569335
ACH-001377,0.058636092822709526
ACH-001380,0.2390432901636907
ACH-001391,0.12441962033045413
ACH-001408,0.12338569400090164
ACH-001430,0.3830457765251883
ACH-001431,0.34949403222339864
ACH-001450,-0.002281296496378865
ACH-001496,0.23166616613706484
ACH-001500,0.24453409110070976
ACH-001523,0.22297797607314845
ACH-001532,0.19819302679589493
ACH-001550,0.14870268525333322
ACH-001552,0.2809724086664189
ACH-001554,0.13214125315979047
ACH-001654,0.21090964907077786
ACH-001735,0.2113470132657084
ACH-001736,0.1991712794087771
ACH-001737,0.5575615640670919
ACH-001740,0.390666044870992
ACH-001745,0.2351068865364159
ACH-001765,0.241634555997995
