,SIGLEC15 (284266)
ACH-001368,-0.03158245143377879
ACH-001374,-0.22021112105646032
ACH-001377,0.02280704897164383
ACH-001380,-0.04319327135536053
ACH-001391,-0.11207456373850284
ACH-001408,0.101502991812788
ACH-001430,-0.11165647911435084
ACH-001431,0.09095921260501748
ACH-001450,-0.05083573536576585
ACH-001496,-0.12556605715213132
ACH-001500,0.08381445168637185
ACH-001523,-0.09124036853198936
ACH-001532,-0.004690168028952651
ACH-001550,-0.07274771872571734
ACH-001552,-0.03891235346378804
ACH-001554,-0.03625139774369817
ACH-001654,-0.04794111011957415
ACH-001735,-0.03086417284379817
ACH-001736,-0.03455335424691835
ACH-001737,-0.14223919030316662
ACH-001740,0.060251320381524975
ACH-001745,0.022876324236341016
ACH-001765,-0.057635287394227776
