,TAF15 (8148)
ACH-001038,-0.12088367729301512
ACH-001048,0.04735296421269068
ACH-001050,-0.08451276126765395
ACH-001053,0.3042984133949576
ACH-001054,0.10904064656706966
ACH-001061,-0.12437426733287635
ACH-001067,-0.11095987045081998
ACH-001075,0.4519149500611238
ACH-001096,0.06858976787839795
ACH-001111,0.2469075767044193
ACH-001119,0.0548023134932763
ACH-001128,-0.33056073957916604
ACH-001134,-0.03122178580472372
ACH-001151,0.09600397229359177
ACH-001163,-0.12843690310348585
ACH-001164,0.1052156764731002
ACH-001183,0.0907658564316952
ACH-001192,-0.007910861243166006
ACH-001193,-0.045693706215922315
ACH-001196,0.12496450049455828
ACH-001197,-0.2758541230642038
ACH-001205,0.1630059903540175
ACH-001211,-0.028747570709582924
ACH-001212,-0.1998967576179473
ACH-001228,-0.16948041921516827
ACH-001232,0.06966505017339429
ACH-001239,-0.11908086363217962
ACH-001270,-0.16594558899463244
ACH-001274,-0.13581619406992526
ACH-001275,0.1478647699308996
ACH-001277,0.18286505287834334
ACH-001278,-0.02716764845258773
ACH-001280,-0.11134947723916594
ACH-001283,0.10379695240270463
ACH-001289,0.0014783326695434278
ACH-001300,0.023546066670162367
ACH-001301,0.18544931398267184
ACH-001302,-0.06041288762876005
ACH-001306,0.08774418346404418
ACH-001318,0.043864348875709655
ACH-001322,0.17629860217263754
ACH-001328,0.038791988121373966
ACH-001332,0.0524850990787522
ACH-001336,0.12138561384150776
ACH-001346,-0.15779088375771538
ACH-001353,-0.1015289305191811
ACH-001354,0.1759349687175336
ACH-001367,0.2525319001355075
ACH-001368,-0.04010209843782552
ACH-001374,0.016659729950390945
ACH-001377,0.09366231916279956
ACH-001380,0.01032605251164925
ACH-001391,0.10999624558934123
ACH-001408,0.03526540032771906
ACH-001430,0.1700982579582051
ACH-001431,0.08667346897907054
ACH-001450,-0.17374871360427974
ACH-001496,-0.03770975851497415
ACH-001500,-0.0693884646089389
ACH-001523,-0.020807939414358347
ACH-001532,-0.12796740386030858
ACH-001550,0.053933049060563
ACH-001552,-0.04674525387017737
ACH-001554,0.1066169653641315
ACH-001654,0.053668387199859946
ACH-001735,-0.13336575464448985
ACH-001736,-0.04229397801664783
ACH-001737,-0.08242136628084605
ACH-001740,0.13543710805442413
ACH-001745,0.08676677378117845
ACH-001765,0.051647842654872315
