,CNNM4 (26504)
ACH-000973,-0.030754083906089018
ACH-000974,-0.05532179791272408
ACH-000978,0.038554551129624304
ACH-000984,-0.12131314989078873
ACH-000986,-0.0773660303077232
ACH-000988,-0.01883810045572941
ACH-000993,0.010429094357503284
ACH-000994,-0.21181862613811475
ACH-000996,-0.2087948965793572
ACH-001001,0.0033788253128393233
ACH-001020,0.0009648117813917939
ACH-001028,-0.08844344758946815
ACH-001031,-0.09418944375404954
ACH-001038,0.0015236113302064002
ACH-001048,-0.14128292206423132
ACH-001050,-0.027694384808520982
ACH-001053,-0.14082197399938226
ACH-001054,-0.05862328051527031
ACH-001061,-0.09503580653177172
ACH-001067,0.0201215727118438
ACH-001075,-0.028451628809779632
ACH-001096,0.08887670670849926
ACH-001111,-0.10405128886506304
ACH-001119,0.08644098157918934
ACH-001128,-0.1876015549487427
ACH-001134,0.014868112745598369
ACH-001151,0.0037774844844734117
ACH-001163,-0.14880767221534197
ACH-001164,-0.11990531832624525
ACH-001183,0.07401264215914433
ACH-001192,-0.01211721254901026
ACH-001193,-0.16712425829702346
ACH-001196,-0.03287845766773822
ACH-001197,-0.12497208890995842
ACH-001205,0.11129681568046576
ACH-001211,-0.01648252744318864
ACH-001212,-0.21815003180696274
ACH-001228,-0.041507988386510895
ACH-001232,-0.10562425946839392
ACH-001239,-0.09808574334986456
ACH-001270,-0.10276756365018823
ACH-001274,-0.13358575487851318
ACH-001275,0.04831905026851936
ACH-001277,0.2003445213115701
ACH-001278,0.015649055936259402
ACH-001280,-0.01350039700959882
ACH-001283,-0.025903612870591862
ACH-001289,-0.06880710381043817
ACH-001300,-0.10098948935259844
ACH-001301,-0.008715966018610367
ACH-001302,-0.0034936270906585284
ACH-001306,-0.15705907108739292
ACH-001318,-0.24485067600481406
ACH-001322,-0.1267607587172768
ACH-001328,-0.010966946521791131
ACH-001332,-0.3823620719308747
ACH-001336,-0.07271615491678528
ACH-001346,-0.04701114915160416
ACH-001353,0.00419333839611902
ACH-001354,-0.1667082009421953
ACH-001367,-0.08949509652476148
ACH-001368,-0.034689422992623814
ACH-001374,0.18940989157767946
ACH-001377,-0.00019561705162165932
ACH-001380,-0.16734605392059934
ACH-001391,-0.019381417302741056
ACH-001408,-0.1811069101568433
ACH-001430,0.09490126077124283
ACH-001431,-0.03614947314261949
ACH-001450,-0.2447189725141281
ACH-001496,0.07939324227004216
ACH-001500,-0.14970292525157528
ACH-001523,-0.057611704404557214
ACH-001532,0.06536431658359745
ACH-001550,-0.14642262388830307
ACH-001552,-0.14509698384544728
ACH-001554,-0.05036899134428575
ACH-001654,-0.03035188938544342
ACH-001735,-0.03845999674183154
ACH-001736,-0.15935826281119633
ACH-001737,0.03611059891976697
ACH-001740,-0.0832852187146815
ACH-001745,0.02000371182442845
ACH-001765,-0.05115595206149973
