,CYP4F12 (66002)
ACH-000947,-0.006072013040181968
ACH-000948,-0.035928680264484175
ACH-000950,0.07871923708835629
ACH-000953,-0.07927510995973958
ACH-000954,0.5574085891572018
ACH-000957,-0.15950047281793175
ACH-000958,0.071110677104067
ACH-000960,-0.19265191314393104
ACH-000963,0.0036654609262507594
ACH-000968,0.14285654436416426
ACH-000969,-0.1278488864125393
ACH-000972,-0.14211796948064645
ACH-000973,0.03682338424368607
ACH-000974,-0.03452224690164485
ACH-000978,-0.13408793253955625
ACH-000984,-0.015611615633948438
ACH-000986,0.0808114404086211
ACH-000988,-0.015781479072815043
ACH-000993,0.008509248959973173
ACH-000994,-0.1310092597016056
ACH-000996,0.03893666134551915
ACH-001001,-0.09346461371373993
ACH-001020,-0.12345472900263894
ACH-001028,-0.12714790167802004
ACH-001031,0.07974050466810516
ACH-001038,0.015987185169940524
ACH-001048,-0.08702443753165405
ACH-001050,-0.08667861364886491
ACH-001053,0.047859026730489466
ACH-001054,-0.04875068569659633
ACH-001061,-0.1070488855336518
ACH-001067,-0.05377176151251993
ACH-001075,-0.03771663982375824
ACH-001096,-0.011980194780037036
ACH-001111,-0.2868437476255245
ACH-001119,-0.03931339234337181
ACH-001128,-0.1991915357200124
ACH-001134,0.11381977804329148
ACH-001151,0.011754707087185763
ACH-001163,0.21480775096466234
ACH-001164,-0.11753620412314746
ACH-001183,-0.11430903576216303
ACH-001192,-0.05062716717173616
ACH-001193,0.02262308067814541
ACH-001196,-0.003919407536696921
ACH-001197,-0.15572335337271742
ACH-001205,0.01965129115672401
ACH-001211,0.08248552970348047
ACH-001212,-0.14909325796868245
ACH-001228,-0.28918475052216364
ACH-001232,0.09883986778460732
ACH-001239,-0.004282658604734115
ACH-001270,0.14510153273574494
ACH-001274,0.0507456393019732
ACH-001275,0.007479681134107397
ACH-001277,-0.11518824297136425
ACH-001278,-0.0532140140321152
ACH-001280,0.07470374628832797
ACH-001283,0.04060593878120294
ACH-001289,0.13370450800518166
