,FANCC (2176)
ACH-000847,-0.14920281990576156
ACH-000848,-0.3065194425199912
ACH-000849,-0.3197558863293063
ACH-000851,-0.11559894760392025
ACH-000855,-0.2464952362289535
ACH-000856,-0.2745669104182093
ACH-000858,-0.28123386946810713
ACH-000859,-0.13031466224689564
ACH-000861,-0.2499785495951401
ACH-000862,-0.2435210175337977
ACH-000865,-0.4029193354596399
ACH-000866,-0.08291872628346253
ACH-000867,-0.12204904252545287
ACH-000869,-0.16868770778570535
ACH-000872,-0.24735467601791275
ACH-000873,-0.3884312925453901
ACH-000876,-0.1359511094748662
ACH-000878,-0.13486602574200546
ACH-000880,-0.2692750128373212
ACH-000881,-0.17611200624345744
ACH-000882,-0.2802289612035017
ACH-000884,-0.32999519675817995
ACH-000885,-0.22322177645210167
ACH-000887,-0.2071533748311952
ACH-000889,-0.19596913204739236
ACH-000896,-0.17687564259962732
ACH-000898,-0.08916996711087212
ACH-000900,-0.2249102622200749
ACH-000901,-0.13941776513688786
ACH-000905,-0.2677755289652348
ACH-000906,-0.3677844762243533
ACH-000907,-0.4946811544404488
ACH-000910,-0.18163997863715495
ACH-000911,-0.17349124163030802
ACH-000912,-0.2382955599517495
ACH-000913,-0.31125050049324404
ACH-000915,-0.06085053440347049
ACH-000916,-0.1185117394724355
ACH-000917,-0.3610053301757301
ACH-000920,-0.07553773826612596
ACH-000921,-0.28346807145929664
ACH-000924,-0.09091478889042974
ACH-000926,-0.18952213362132347
ACH-000928,-0.23011354337277345
ACH-000929,-0.1931842687635685
ACH-000932,-0.22555764734750897
ACH-000935,-0.24334058803993985
ACH-000936,-0.1863178601586844
ACH-000937,-0.1472457122946187
ACH-000938,-0.2583319016125156
ACH-000939,-0.13679097441276794
ACH-000941,-0.21968248601150914
ACH-000943,-0.11416183120626933
ACH-000946,-0.4088154320191965
ACH-000947,-0.4131561804891974
ACH-000948,-0.2701855206001069
ACH-000950,-0.1559702763960439
ACH-000953,0.026676877648073475
ACH-000954,0.02255252978015217
ACH-000957,-0.22517364638075715
ACH-000958,-0.2255828584143728
ACH-000960,-0.24359479992936825
ACH-000963,-0.09684411008360257
ACH-000968,-0.11633156461258555
ACH-000969,-0.2023661299657516
ACH-000972,-0.12966938295030458
ACH-000973,-0.15645385883600127
ACH-000974,-0.5203181842148327
ACH-000978,-0.195583671311916
ACH-000984,-0.2986164616610661
ACH-000986,-0.22222554774464967
ACH-000988,-0.35196644136740035
ACH-000993,-0.3092719659475732
ACH-000994,-0.24319816990469334
ACH-000996,-0.050839051526688696
ACH-001001,-0.3921128869519386
ACH-001020,-0.20282395528396954
ACH-001028,-0.2796156591688446
ACH-001031,-0.16511303582925185
ACH-001038,-0.12710107338612114
ACH-001048,-0.13131803734692002
ACH-001050,-0.11455931574096655
ACH-001053,-0.2565557977838364
ACH-001054,-0.29740796590643664
ACH-001061,-0.09724278849009074
ACH-001067,-0.2719910663859408
ACH-001075,-0.18247900482274207
ACH-001096,-0.36650324532158896
ACH-001111,-0.4682001519134335
ACH-001119,-0.3591095780647015
ACH-001128,-0.3008491997067851
ACH-001134,-0.2861754388617461
ACH-001151,-0.22002762982411356
ACH-001163,-0.2003393425242099
ACH-001164,-0.3103408193244939
ACH-001183,-0.29121756274600336
ACH-001192,-0.22027496650628792
ACH-001193,-0.4231863076799733
ACH-001196,-0.1849743063089728
ACH-001197,-0.3153690384152653
ACH-001205,-0.15464021862315389
ACH-001211,-0.07186132037377962
ACH-001212,-0.3087964735541127
ACH-001228,-0.3086128056636845
ACH-001232,-0.16087175553241062
ACH-001239,-0.25607284081115755
ACH-001270,-0.1498602617207633
ACH-001274,-0.2573874424600651
ACH-001275,-0.2889718847399263
ACH-001277,-0.4354099175817954
ACH-001278,-0.27597585536157365
ACH-001280,-0.3307664465784985
ACH-001283,-0.26465855612633993
ACH-001289,-0.3860456100148679
ACH-001300,-0.1745469428049479
ACH-001301,-0.04928056994853376
ACH-001302,-0.2727687535918639
ACH-001306,-0.11425577232048376
ACH-001318,-0.3114392909140055
ACH-001322,-0.2885340220999168
ACH-001328,-0.15170706499013722
ACH-001332,-0.46689678932159795
ACH-001336,-0.3860188781877146
ACH-001346,-0.34259064528772737
ACH-001353,-0.27246244752985044
ACH-001354,-0.61370066903735
ACH-001367,-0.4689931216623191
ACH-001368,-0.20496694368755566
ACH-001374,-0.05223950014325165
ACH-001377,-0.2369714058204705
ACH-001380,-0.2902697407363508
ACH-001391,-0.08855025653248859
ACH-001408,-0.5779160114427635
ACH-001430,-0.18939649591192506
ACH-001431,-0.14558626536224015
ACH-001450,-0.11539386527362196
ACH-001496,-0.08723244638524576
ACH-001500,-0.23572278261410964
ACH-001523,-0.3038740143861777
ACH-001532,-0.4755448871360726
ACH-001550,-0.15119189447513176
ACH-001552,-0.3602326674936461
ACH-001554,-0.12859765558148814
ACH-001654,-0.22266621681074195
ACH-001735,-0.31977289727127883
ACH-001736,-0.52576898070738
ACH-001737,0.17578936142647367
ACH-001740,-0.4677535290940149
ACH-001745,-0.2917514866807594
ACH-001765,-0.5266530843978744
