,SMYD5 (10322)
ACH-000937,-0.295703859324
ACH-000938,-0.086524539714
ACH-000939,0.041687001081800006
ACH-000941,0.0025452083588000003
ACH-000943,-0.176816444864
ACH-000946,-0.30794278123700003
ACH-000947,-0.113682228164
ACH-000948,-0.0977002896621
ACH-000950,-0.0959122684439
ACH-000953,-0.37581722358900005
ACH-000957,-0.281488037242
ACH-000958,-0.344497390748
ACH-000960,-0.19047531480000002
ACH-000963,-0.520119232867
ACH-000968,0.06475294356030001
ACH-000969,-0.052608475363099996
ACH-000973,-0.115460039294
ACH-000974,-0.16428812185699998
ACH-000975,-0.283068106851
ACH-000976,-0.139948954901
ACH-000978,-0.103867055054
ACH-000980,-0.309076322127
ACH-000984,-0.09311920703960001
ACH-000986,-0.166982509041
ACH-000988,-0.195397332976
ACH-000993,-0.0544588547815
ACH-000994,-0.227817177291
ACH-000996,-0.29537831034
ACH-001001,-0.10668249961100001
ACH-001020,0.121856548024
ACH-001028,-0.149284331458
ACH-001031,-0.295424319648
ACH-001038,-0.333125540314
ACH-001048,-0.046814959366
ACH-001050,-0.103997727647
ACH-001053,0.004396930452229999
ACH-001054,-0.356157190444
ACH-001061,-0.299756558715
ACH-001067,-0.374359843885
ACH-001075,0.165499586959
ACH-001096,-0.0749354914564
ACH-001128,0.6882033122490001
ACH-001134,-0.0892355029843
ACH-001151,-0.16131499953700001
ACH-001163,-0.12971530489299998
ACH-001164,-0.216350738284
ACH-001173,-0.220706107885
ACH-001183,-0.0760115057801
ACH-001184,-0.10812525314999999
ACH-001190,-0.221169992582
ACH-001192,-0.5633118615280001
ACH-001193,-0.144918578731
ACH-001196,-0.340856190149
ACH-001197,-0.314729348897
ACH-001205,-0.154337222664
ACH-001211,-0.0466439161527
ACH-001212,-0.290862865465
ACH-001228,-0.112624680683
ACH-001232,-0.202683076978
ACH-001239,-0.007479083355359999
ACH-001274,-0.121847662118
ACH-001275,-0.351350181824
ACH-001277,-0.282004102968
ACH-001278,-0.127211082969
ACH-001280,-0.0827820224988
ACH-001283,-0.751005792888
ACH-001289,-0.16357660652
ACH-001295,-0.12888249319
ACH-001300,-0.0264037768273
ACH-001301,-0.220355100123
ACH-001302,0.164243713436
ACH-001303,-0.000774861925849
ACH-001306,-0.32597129996199997
ACH-001318,-0.06713253746469999
ACH-001322,-0.10897033686100001
ACH-001328,-0.19182485909000002
ACH-001332,-0.6292864048899999
ACH-001333,-0.456171605493
ACH-001336,-0.164040653767
ACH-001340,-0.31043723139699997
ACH-001346,-0.109611012802
ACH-001353,-0.163121965244
ACH-001354,-0.397991620564
ACH-001367,-0.0624595561101
ACH-001368,-0.150391889177
ACH-001374,-0.201601826439
ACH-001375,-0.310315941562
ACH-001377,-0.113871334441
ACH-001380,-0.186911079328
ACH-001391,-0.0973279846624
ACH-001407,0.194143428847
ACH-001408,-0.336368842896
ACH-001413,-0.42266802383599994
ACH-001430,-0.23772497296
ACH-001431,-0.104251760089
ACH-001450,-0.0372240982212
ACH-001496,-0.0948767995182
ACH-001500,-0.053760796828100005
ACH-001521,-0.32123263273
ACH-001523,-0.358171447997
ACH-001532,-0.16634916799000002
ACH-001536,-0.265809647834
ACH-001550,0.0307931201164
ACH-001552,-0.0926463299062
ACH-001554,-0.200254919787
ACH-001645,0.035606654037
ACH-001654,-0.166346353297
ACH-001715,0.125993980049
ACH-001735,-0.223558017824
ACH-001736,-0.26505330517
ACH-001737,-0.224276513974
ACH-001740,-0.162984021714
ACH-001745,-0.277153659432
ACH-001750,-0.252645878975
ACH-001765,-0.267147243334
ACH-001956,-0.113425841339
ACH-001957,-0.023403734369
