,AP1S3 (130340)
ACH-000937,-0.163875655189
ACH-000938,-0.189421190449
ACH-000939,0.11706123775999999
ACH-000941,-0.0369342676565
ACH-000943,-0.119928795032
ACH-000946,-0.27723184309099996
ACH-000947,-0.235970566297
ACH-000948,-0.36187288348499996
ACH-000950,-0.268950467399
ACH-000953,-0.248891228848
ACH-000957,0.14550684280999998
ACH-000958,-0.271201506345
ACH-000960,-0.204760621525
ACH-000963,-0.477684102607
ACH-000968,-0.23362640375799998
ACH-000969,-0.36567311295599997
ACH-000973,-0.286342801754
ACH-000974,-0.29759854543200004
ACH-000975,-0.352387113807
ACH-000976,-0.09013568611469999
ACH-000978,-0.256907756144
ACH-000980,-0.230838152186
ACH-000984,-0.3257385383
ACH-000986,-0.30229241395100004
ACH-000988,-0.265819968631
ACH-000993,0.00587943811306
ACH-000994,-0.0952744044697
ACH-000996,-0.36594740151
ACH-001001,-0.339737230203
ACH-001020,-0.30571927321
ACH-001028,-0.327737146499
ACH-001031,0.057774714058499994
ACH-001038,-0.129086381367
ACH-001048,-0.375016109907
ACH-001050,-0.18457847494000001
ACH-001053,-0.337983554312
ACH-001054,-0.38665179598800004
ACH-001061,-0.192902287323
ACH-001067,-0.21396696015799999
ACH-001075,-0.177632595332
ACH-001096,-0.230267488745
ACH-001128,-0.10681678931800001
ACH-001134,-0.139531556724
ACH-001151,-0.328120665895
ACH-001163,-0.139653920185
ACH-001164,-0.165896122649
ACH-001173,-0.183390815066
ACH-001183,-0.006650436671149999
ACH-001184,-0.39744975689900003
ACH-001190,-0.274679928751
ACH-001192,-0.422216864073
ACH-001193,-0.422776002494
ACH-001196,-0.372093893322
ACH-001197,-0.166126799706
ACH-001205,-0.280810012474
ACH-001211,-0.211954023305
ACH-001212,-0.298143734198
ACH-001228,-0.22932663072599999
ACH-001232,-0.238460004527
ACH-001239,-0.165157717565
ACH-001274,-0.35166562516800004
ACH-001275,-0.312713489296
ACH-001277,-0.149534172663
ACH-001278,-0.246531201656
ACH-001280,-0.123275626825
ACH-001283,-0.221837204552
ACH-001289,-0.121485422378
ACH-001295,-0.28820719747699997
ACH-001300,0.0162243027917
ACH-001301,-0.50606440476
ACH-001302,-0.010661607543
ACH-001303,-0.396886997508
ACH-001306,-0.0829053961658
ACH-001318,-0.263280965603
ACH-001322,-0.24988048011599998
ACH-001328,-0.10375215193600001
ACH-001332,-0.30728522628000005
ACH-001333,-0.0418230456315
ACH-001336,-0.09864574184589998
ACH-001340,-0.263609269742
ACH-001346,-0.139987896513
ACH-001353,-0.283922945373
ACH-001354,-0.179387827419
ACH-001367,-0.37815175672
ACH-001368,-0.259114506418
ACH-001374,-0.17746752622499998
ACH-001375,-0.18781405057999997
ACH-001377,-0.07172350239860001
ACH-001380,-0.30448669680199997
ACH-001391,-0.39331764358800003
ACH-001407,-0.208350224606
ACH-001408,-0.10695168351800001
ACH-001413,-0.101115262829
ACH-001430,0.0449725132764
