,CYP26C1 (340665)
ACH-001368,-0.0175359906463
ACH-001374,-0.108021889757
ACH-001375,-0.0407616500737
ACH-001377,-0.159934127015
ACH-001380,-0.261373143721
ACH-001391,-0.0253357109014
ACH-001407,-0.335830581378
ACH-001408,-0.28222141104000004
ACH-001413,-0.32498028931999995
ACH-001430,-0.409947602094
ACH-001431,-0.222235651575
ACH-001450,-0.20786385866999998
ACH-001496,-0.18382282021899998
ACH-001500,-0.119924772057
ACH-001521,-0.279572141987
ACH-001523,-0.333766125402
ACH-001532,-0.11410016810200001
ACH-001536,-0.206822031191
ACH-001550,-0.233101283524
ACH-001552,-0.208240113771
ACH-001554,-0.262143694996
ACH-001645,-0.262620986118
ACH-001654,-0.191037137541
ACH-001715,-0.525460849847
ACH-001735,-0.23075161489999998
ACH-001736,-0.175239482122
ACH-001737,-0.607107206804
ACH-001740,-0.216571710453
ACH-001745,-0.054310210638
ACH-001750,-0.219140295703
ACH-001765,-0.265001951616
ACH-001956,-0.24840344355500002
ACH-001957,-0.309990006233
