,SYNDIG1L (646658)
ACH-000748,-0.10407228925699999
ACH-000753,-0.16225834419000001
ACH-000756,-0.015652748897500002
ACH-000757,0.0814693778312
ACH-000758,-0.20833613026999998
ACH-000760,-0.24415554537099998
ACH-000763,-0.159500100153
ACH-000764,-0.27127205159
ACH-000765,-0.0944619242542
ACH-000766,-0.108034340383
ACH-000767,-0.0392576374426
ACH-000768,-0.17238073825300002
ACH-000769,-0.0755121751576
ACH-000770,-0.167136134703
ACH-000771,-0.086300782454
ACH-000773,-0.132027925272
ACH-000776,-0.19708881115
ACH-000777,-0.235513530249
ACH-000778,-0.207094938442
ACH-000781,-0.11491462683499999
ACH-000782,-0.0896093466673
ACH-000783,-0.110888111052
ACH-000784,-0.0269193761965
ACH-000785,0.167555328281
ACH-000787,-0.190602200072
ACH-000788,-0.17397306648299998
ACH-000791,0.06773096566430001
ACH-000792,-0.0669647333657
ACH-000794,-0.248158644032
ACH-000796,-0.195348110162
ACH-000799,-0.200816436435
ACH-000800,-0.0232332489071
ACH-000802,-0.0303896616498
ACH-000804,-0.0840729455308
ACH-000805,-0.204709165966
ACH-000809,-0.116252178643
ACH-000810,-0.29622811252799996
ACH-000811,-0.118379111888
ACH-000817,-0.293918809342
ACH-000819,-0.135376032803
ACH-000820,-0.211372419712
ACH-000821,0.143101640823
ACH-000822,0.00958868233931
ACH-000823,-0.210593389146
ACH-000824,-0.132728003201
ACH-000827,-0.21792188967700002
ACH-000829,-0.46217788728799997
ACH-000831,-0.0282147294869
ACH-000832,-0.23777988569400002
ACH-000833,-0.38472208713399997
ACH-000834,-0.004556673616510001
ACH-000835,-0.0886363034684
ACH-000836,-0.153572679506
ACH-000837,-0.0614001812598
ACH-000838,0.0436675676554
ACH-000839,-0.20467890084899998
ACH-000840,-0.27608738395
ACH-000841,0.0568298808958
ACH-000843,-0.00925455076002
ACH-000846,-0.142720957602
ACH-000847,-0.114917216263
ACH-000848,-0.310163145121
ACH-000849,-0.222325402044
ACH-000851,-0.22504589738000003
ACH-000855,0.11782026957999998
ACH-000856,-0.19366347687
ACH-000858,-0.12213176267300001
ACH-000859,0.0373649904896
ACH-000861,-0.152816364458
ACH-000862,-0.0810006220331
ACH-000865,-0.178987245138
ACH-000866,-0.11956582942600001
ACH-000867,-0.108224155074
ACH-000869,-0.09982229756560002
ACH-000872,-0.07657349478589999
ACH-000873,-0.17925824745000002
ACH-000876,-0.236985186435
ACH-000878,0.09353781674049999
ACH-000880,-0.10321942493999998
ACH-000881,-0.234857145487
ACH-000882,-0.106264978094
ACH-000884,0.0242216110403
ACH-000885,-0.166405027191
ACH-000887,-0.10115090790100001
ACH-000888,-0.10943977975199999
ACH-000889,-0.174465128579
ACH-000890,-0.174566587814
ACH-000896,-0.150766118324
ACH-000898,0.08581942874469999
ACH-000900,-0.16489581821399998
ACH-000901,-0.21365435811
ACH-000905,-0.140776487453
ACH-000906,-0.0386803376435
ACH-000907,-0.259745126135
ACH-000910,-0.10608615337999999
ACH-000911,-0.09695819604839999
ACH-000912,-0.135402756405
ACH-000913,-0.0591566397485
ACH-000915,-0.0467051039451
ACH-000916,0.171394720027
ACH-000917,-0.100404695941
ACH-000921,-0.28902300885800003
ACH-000924,-0.157697210979
ACH-000926,0.040624365111599996
ACH-000928,-0.31873495712
ACH-000929,-0.0661748821065
ACH-000932,-0.081947889245
ACH-000935,-0.14302621003799998
ACH-000936,-0.0682048035745
ACH-000937,-0.062034400519699995
ACH-000938,-0.172202538905
ACH-000939,-0.13777035356200001
ACH-000941,-0.09295336259580002
ACH-000943,-0.035039098354
ACH-000946,-0.043866092610200004
ACH-000947,-0.124474755868
ACH-000948,-0.0951932355195
ACH-000950,-0.19653366693399998
ACH-000953,-0.0559798984832
ACH-000957,-0.17903365418499997
ACH-000958,-0.177542780626
ACH-000960,-0.0025696710396
ACH-000963,-0.18647826662500003
ACH-000968,0.10574746001
ACH-000969,0.073186136079
ACH-000973,-0.17443494508299998
ACH-000974,-0.038766392657800006
ACH-000975,-0.021593928119799998
ACH-000976,-0.37533646542099997
ACH-000978,-0.104192988518
ACH-000980,-0.0775533512901
ACH-000984,-0.22867343434999998
ACH-000986,-0.103911614453
ACH-000988,-0.123444419824
ACH-000993,-0.17488875993500003
ACH-000994,-0.12453491900999998
ACH-000996,-0.144346584921
ACH-001001,-0.248084750818
ACH-001020,-0.21432635875
ACH-001028,-0.0444946364712
ACH-001031,-0.18721471174499998
ACH-001038,-0.15454634075999998
ACH-001048,-0.0803753198126
ACH-001050,-0.163227395134
ACH-001053,0.135985782129
ACH-001054,-0.16502013507899999
ACH-001061,-0.19659435449299997
ACH-001067,-0.21875545422899997
ACH-001075,-0.0993609529719
ACH-001096,-0.0726754507218
ACH-001128,0.0517447271585
ACH-001134,-0.152241833922
ACH-001151,-0.0790673819585
ACH-001163,-0.035525818502000005
ACH-001164,-0.21964199694800002
ACH-001173,-0.0875971310412
ACH-001183,-0.0741891463616
ACH-001184,-0.0937318078008
ACH-001190,-0.176137590904
ACH-001192,-0.116081458661
ACH-001193,-0.159015234734
ACH-001196,-0.28750405478
ACH-001197,-0.230168164739
ACH-001205,-0.16564795405899999
ACH-001211,-0.21050164850400002
ACH-001212,-0.448130382109
ACH-001228,0.00445803189947
ACH-001232,-0.10152390454600001
ACH-001239,-0.149008352113
ACH-001274,-0.039376013193099996
ACH-001275,-0.103232512753
ACH-001277,-0.137466011435
ACH-001278,-0.17440463009799997
ACH-001280,0.133137091767
ACH-001283,-0.0429917899753
ACH-001289,-0.23553247939199998
ACH-001295,-0.156152285271
ACH-001300,-0.0842927948001
ACH-001301,0.19030024228300002
ACH-001302,-0.08425033102469999
ACH-001303,0.120114741512
ACH-001306,-0.15278568491900002
ACH-001318,0.0744489177493
ACH-001322,-0.0935297224642
ACH-001328,-0.233785891845
ACH-001332,-0.134740362562
ACH-001333,-0.24752489639000003
ACH-001336,-0.17947064113400002
ACH-001340,-0.198504497121
ACH-001346,0.0195067131654
ACH-001353,-0.30795502108600004
ACH-001354,0.221436587032
ACH-001367,-0.166402320461
ACH-001368,-0.0891691597287
ACH-001374,-0.09782649089130001
ACH-001375,-0.11084903074699999
ACH-001377,0.010393013892799998
ACH-001380,-0.12492641491699999
ACH-001391,-0.183690253928
ACH-001407,-0.122911441887
ACH-001408,-0.20536226608
ACH-001413,-0.227262351568
ACH-001430,-0.08725381383960001
ACH-001431,-0.146070761074
ACH-001450,-0.0481175487273
ACH-001496,-0.0692254253875
ACH-001500,-0.106984926161
ACH-001521,-0.306573582742
ACH-001523,-0.210051155821
ACH-001532,-0.15904463150599998
ACH-001536,-0.308469677436
ACH-001550,-0.08738891240350001
ACH-001552,-0.0136442642829
ACH-001554,-0.115420086731
ACH-001645,-0.033878948464000004
ACH-001654,-0.11281609660599999
ACH-001715,-0.263288577063
ACH-001735,-0.101507806745
ACH-001736,-0.15278981322899998
ACH-001737,-0.218987427335
ACH-001740,-0.0324920367425
ACH-001745,-0.024659943162700003
ACH-001750,-0.131983030614
ACH-001765,-0.135602336567
ACH-001956,-0.109004284667
ACH-001957,-0.0597592960898
