,ATP6V1D (51382)
ACH-000932,-0.659832169959
ACH-000935,-0.608025162108
ACH-000936,-0.69430094654
ACH-000937,-0.806620536778
ACH-000938,-0.61780509559
ACH-000939,-0.843051514754
ACH-000941,-1.08184263765
ACH-000943,-0.775929840888
ACH-000946,-0.861758504194
ACH-000947,-0.511806202451
ACH-000948,-0.79906342201
ACH-000950,-0.909486006546
ACH-000953,-0.9687698458499999
ACH-000957,-0.808554206065
ACH-000958,-0.635922576913
ACH-000960,-1.02503448534
ACH-000963,-1.26748142295
ACH-000968,-0.760642496889
ACH-000969,-0.8785302588089999
ACH-000973,-0.724717232816
ACH-000974,-0.46784068963
ACH-000975,-0.698937974257
ACH-000976,-0.647595859761
ACH-000978,-0.544689625894
ACH-000980,-0.5967147305830001
ACH-000984,-0.7890860206710001
ACH-000986,-1.04126322052
ACH-000988,-0.599697067219
ACH-000993,-0.771655673493
ACH-000994,-0.6864823147300001
ACH-000996,-0.799830187998
ACH-001001,-0.793738819707
ACH-001020,-1.23583230347
ACH-001028,-0.7727793612199999
ACH-001031,-0.939779194742
ACH-001038,-0.7425825793999999
ACH-001048,-1.18040024314
ACH-001050,-0.852534306778
ACH-001053,-0.7938454523999999
ACH-001054,-0.7582250526000001
ACH-001061,-0.799101461267
ACH-001067,-0.965487207499
ACH-001075,-0.902716499224
ACH-001096,-0.7577312170909999
ACH-001128,-0.815235919438
ACH-001134,-0.945621025354
ACH-001151,-0.898274614403
ACH-001163,-0.9665860962459999
ACH-001164,-0.635548771812
ACH-001173,-0.692493844897
ACH-001183,-0.7503304622229999
ACH-001184,-0.625720842664
ACH-001190,-1.25503083611
ACH-001192,-0.807624903225
ACH-001193,-0.244247775815
ACH-001196,-0.928199103257
ACH-001197,-0.944995008694
ACH-001205,-0.774087787324
ACH-001211,-0.30268285246
ACH-001212,-0.5922387907500001
ACH-001228,-0.628237564289
ACH-001232,-0.8787149047759999
ACH-001239,-0.567669175329
ACH-001274,-0.766627723203
ACH-001275,-0.597914500684
ACH-001277,-0.885193759102
ACH-001278,-0.795603675607
ACH-001280,-0.7637622863819999
ACH-001283,-0.635562191908
ACH-001289,-0.40299778544799997
ACH-001295,-0.578276295917
ACH-001300,-0.48172667463200003
ACH-001301,-0.638876546091
ACH-001302,-0.347167354163
ACH-001303,-0.7172922906389999
ACH-001306,-0.8948043416689999
ACH-001318,-0.6350382804029999
ACH-001322,-0.9445009894140001
ACH-001328,-0.940961244363
ACH-001332,-0.674594125579
ACH-001333,-0.361347917356
ACH-001336,-0.628799709466
ACH-001340,-1.1205896678899998
ACH-001346,-0.9482049749220001
ACH-001353,-1.34112723966
ACH-001354,-1.13494872875
ACH-001367,-0.923644754063
ACH-001368,-0.814652835203
ACH-001374,-0.9049357876540001
ACH-001375,-0.602070025853
ACH-001377,-0.58618096042
ACH-001380,-0.788551857807
ACH-001391,-0.840633225896
ACH-001407,-1.0141257906
ACH-001408,-0.732074131434
ACH-001413,-1.15721813803
ACH-001430,-0.912133410593
ACH-001431,-0.6468323490810001
ACH-001450,-0.492462474914
ACH-001496,-0.9431147472879999
ACH-001500,-0.591784028199
ACH-001521,-1.1923263721200001
ACH-001523,-0.968798856112
ACH-001532,-0.9309042769779999
ACH-001536,-0.8953315672930001
ACH-001550,-0.614130616429
ACH-001552,-0.47078107485299997
ACH-001554,-0.951651850794
ACH-001645,-0.788139763377
ACH-001654,-0.7937220484999999
ACH-001715,-0.8487960749660001
ACH-001735,-0.8254032980399999
ACH-001736,-0.6497528578339999
ACH-001737,-1.15942457946
ACH-001740,-0.528999325388
ACH-001745,-0.831329144342
ACH-001750,-0.545392892368
ACH-001765,-0.68896556103
ACH-001956,-0.734086236883
ACH-001957,-1.21874194157
