,MARK4 (57787)
ACH-000839,-0.231242670315
ACH-000840,-0.0580033911195
ACH-000841,0.009310671208680002
ACH-000843,-0.09516969601880002
ACH-000846,-0.161940568356
ACH-000847,-0.0520512428345
ACH-000848,-0.030154689155599997
ACH-000849,-0.00533855137239
ACH-000851,-0.0121355498036
ACH-000855,-0.0469251415768
ACH-000856,-0.08531465057849999
ACH-000858,-0.141132043629
ACH-000859,-0.0283784702642
ACH-000861,-0.259931013948
ACH-000862,-0.10255535576500001
ACH-000865,-0.155168578211
ACH-000866,-0.04359360254430001
ACH-000867,-0.121569086924
ACH-000869,-0.0275681313183
ACH-000872,-0.0658064133123
ACH-000873,-0.14969830262
ACH-000876,-0.102965527454
ACH-000878,0.0337727442212
ACH-000880,-0.330663390534
ACH-000881,-0.13073131003
ACH-000882,-4.679587857399999e-05
ACH-000884,-0.152301331066
ACH-000885,-0.0603076664056
ACH-000887,-0.00350955763446
ACH-000888,-0.048597991687400005
ACH-000889,-0.135749220577
ACH-000890,-0.0264479919365
ACH-000896,-0.164187236575
ACH-000898,0.0263475689843
ACH-000900,-0.09206559095789998
ACH-000901,-0.242021333616
ACH-000905,-0.18366205479800002
ACH-000906,-0.156335543446
ACH-000907,-0.0071363035277700005
ACH-000910,0.033179480156900004
ACH-000911,-0.0390590752858
ACH-000912,-0.438687919711
ACH-000913,-0.304773171271
ACH-000915,-0.15144101722
ACH-000916,-0.297002252237
ACH-000917,-0.206128867625
ACH-000921,0.0124701011999
ACH-000924,-0.16819343470400003
ACH-000926,-0.0459497679481
ACH-000928,-0.0058398405968199995
ACH-000929,-0.15547947287900002
ACH-000932,-0.239862505304
ACH-000935,-0.0836495032632
ACH-000936,-0.21673173785100003
ACH-000937,-0.209910317007
ACH-000938,-0.187594155491
ACH-000939,-0.142956156451
ACH-000941,-0.335122119324
ACH-000943,-0.155886559679
ACH-000946,-0.185267622467
ACH-000947,-0.140448570489
ACH-000948,-0.125936598672
ACH-000950,-0.045134949442699995
ACH-000953,-0.104315966473
ACH-000957,-0.0424457540206
ACH-000958,-0.100230256333
ACH-000960,-0.200224366529
ACH-000963,0.161664182987
ACH-000968,-0.0165437071615
ACH-000969,-0.213637205675
ACH-000973,-0.134083740767
ACH-000974,-0.0779064367644
ACH-000975,-0.07293146703
ACH-000976,-0.0886372237527
ACH-000978,-0.368587549999
ACH-000980,-0.174197245634
ACH-000984,-0.188500093283
ACH-000986,-0.0329800402928
ACH-000988,-0.21650939333500002
ACH-000993,-0.184810649863
ACH-000994,-0.0976344713359
ACH-000996,-0.0706740046562
ACH-001001,-0.233778866404
ACH-001020,-0.09815846063389999
ACH-001028,-0.016118151248
ACH-001031,-0.0768620730337
ACH-001038,-0.0732540101757
ACH-001048,-0.109537626104
ACH-001050,-0.111384073972
ACH-001053,-0.13833032758400002
ACH-001054,0.09377615485410001
ACH-001061,-0.049948087826899995
ACH-001067,0.0013526557197699998
ACH-001075,-0.20935559901599998
ACH-001096,-0.0667764942676
ACH-001128,-0.21317911536400003
ACH-001134,-0.0033689812855100002
ACH-001151,-0.158705832083
ACH-001163,-0.140041340509
ACH-001164,0.0106579134604
ACH-001173,-0.338417882539
ACH-001183,-0.12956655948100002
ACH-001184,0.0189169628903
ACH-001190,-0.134479945076
ACH-001192,0.09886938317989999
ACH-001193,-0.375772776752
ACH-001196,-0.0761630825322
ACH-001197,-0.41584800708700004
ACH-001205,-0.202568799932
ACH-001211,-0.0406066989748
ACH-001212,-0.129079955232
ACH-001228,-0.368342296615
ACH-001232,-0.161097057891
ACH-001239,0.032950710987999995
ACH-001274,-0.150037867018
ACH-001275,-0.225232358144
ACH-001277,-0.0935519711486
ACH-001278,-0.0483623463557
ACH-001280,-0.221132576348
ACH-001283,-0.237223115933
ACH-001289,0.019692225023199998
ACH-001295,-0.0777303736755
ACH-001300,-0.0626649475869
ACH-001301,-0.144063121126
ACH-001302,-0.0110752845251
ACH-001303,-0.14338577568900002
ACH-001306,0.0151229036246
ACH-001318,0.0077130246132299995
ACH-001322,-0.22821368175
ACH-001328,-0.151630893676
ACH-001332,-0.258011371063
ACH-001333,-0.15976903044399998
ACH-001336,-0.0625116750133
ACH-001340,-0.0921851565008
ACH-001346,-0.0800804747608
ACH-001353,-0.245234515937
ACH-001354,-0.31900889472399996
ACH-001367,-0.225424805948
ACH-001368,-0.010220236713600001
ACH-001374,-0.290844720832
ACH-001375,-0.122363814858
ACH-001377,-0.0290478996577
ACH-001380,-0.125667690714
ACH-001391,-0.0589280402089
ACH-001407,-0.131261004491
ACH-001408,-0.19840203073899998
ACH-001413,-0.27312793357500004
ACH-001430,-0.0500080479662
ACH-001431,-0.168639275522
ACH-001450,0.12308276264200001
ACH-001496,-0.100638838575
ACH-001500,-0.29424956631099997
ACH-001521,-0.32823432633099997
ACH-001523,-0.161945997073
ACH-001532,-0.0006656192697860001
ACH-001536,-0.13090115126
ACH-001550,-0.0279560534836
ACH-001552,-0.265489778854
ACH-001554,0.0355340172783
ACH-001645,-0.0644189265757
ACH-001654,-0.29594500017700004
ACH-001715,0.00431548682862
ACH-001735,-0.26439235982299997
ACH-001736,-0.146416373092
ACH-001737,-0.234549205836
ACH-001740,-0.165989719574
ACH-001745,-0.12700792810699998
ACH-001750,-0.219194510271
ACH-001765,-0.162240120902
ACH-001956,-0.18825890011500002
ACH-001957,-0.101057754159
