,IL1RL1 (9173)
ACH-000832,-0.0141871188052
ACH-000833,0.018572091493
ACH-000834,-0.00218120515023
ACH-000835,0.0954524786402
ACH-000836,0.0615992106942
ACH-000837,-0.0274014230655
ACH-000838,0.258905420697
ACH-000839,0.274926628337
ACH-000840,0.0401224169756
ACH-000841,-0.0498412257173
ACH-000843,0.194616842294
ACH-000846,0.13386254431800002
ACH-000847,0.19789352587
ACH-000848,0.17933933973000002
ACH-000849,0.15440471634199998
ACH-000851,-0.0557149611506
ACH-000855,0.252352342759
ACH-000856,0.083928684703
ACH-000858,0.17494932553599998
ACH-000859,-0.100536837749
ACH-000861,0.0206639364403
ACH-000862,0.144896498821
ACH-000865,0.125313774786
ACH-000866,0.172047395196
ACH-000867,0.169048591833
ACH-000869,0.06318440953719999
ACH-000872,0.0516401460439
ACH-000873,0.234431625905
ACH-000876,0.0307778445602
ACH-000878,0.166894775099
ACH-000880,0.123025272093
ACH-000881,0.120998767078
ACH-000882,0.17596933283900001
ACH-000884,0.176182988315
ACH-000885,0.19457688376499999
ACH-000887,0.0917325308623
ACH-000888,0.137147152973
ACH-000889,0.0772963630442
ACH-000890,0.122198310519
ACH-000896,0.115539575766
ACH-000898,0.06932940159
ACH-000900,0.05383207314209999
ACH-000901,0.0974881493066
ACH-000905,0.0895908226984
ACH-000906,0.13983589068900001
ACH-000907,0.0927102491817
ACH-000910,0.0319780903071
ACH-000911,0.156611770039
ACH-000912,0.128985569755
ACH-000913,0.0668899476221
ACH-000915,0.125079864561
ACH-000916,-0.151965909382
ACH-000917,0.12405391953299999
ACH-000921,0.09827085533610001
ACH-000924,0.0691187042975
ACH-000926,0.181152048495
ACH-000928,0.0602885059368
ACH-000929,0.084350671917
ACH-000932,0.0912493528065
ACH-000935,0.155994682007
ACH-000936,-0.046469174937100004
ACH-000937,0.126921668366
ACH-000938,0.36741846770900005
ACH-000939,-0.0012100213739100001
ACH-000941,-0.0306919022975
ACH-000943,-0.0202573224709
ACH-000946,-0.0638596872497
ACH-000947,0.142346375216
ACH-000948,0.11337146875999998
ACH-000950,0.122615813083
ACH-000953,0.193552404245
ACH-000957,-0.0355599288422
ACH-000958,0.23231059249400002
ACH-000960,0.16029823282800001
ACH-000963,0.04580288291640001
ACH-000968,0.0911891361283
ACH-000969,0.0193942802988
ACH-000973,0.183617311378
ACH-000974,0.0681676947152
ACH-000975,0.067271184453
ACH-000976,0.120300927497
ACH-000978,0.392244812512
ACH-000980,0.21956798283300002
ACH-000984,0.20543966204599998
ACH-000986,0.101552596381
ACH-000988,0.20560505550500002
ACH-000993,0.21205634071600002
ACH-000994,0.195051719799
ACH-000996,0.250981358265
ACH-001001,0.116710964167
ACH-001020,0.004352669839859999
ACH-001028,0.0757348765283
ACH-001031,0.120604318026
ACH-001038,0.030817036787099995
ACH-001048,0.17068461942699997
ACH-001050,0.107048894794
ACH-001053,0.15923798487500002
ACH-001054,0.077478399778
ACH-001061,0.139385775996
ACH-001067,0.07840768270910001
ACH-001075,0.057278309048499995
ACH-001096,0.129179626405
ACH-001128,0.0826113607642
ACH-001134,0.0736511465041
ACH-001151,0.11506447558499999
ACH-001163,0.0142500480449
ACH-001164,0.12238062318399999
ACH-001173,0.066841930867
ACH-001183,0.191006564106
ACH-001184,0.00393205756743
ACH-001190,0.014592486939399999
ACH-001192,0.0581595678489
ACH-001193,-0.0162208874543
ACH-001196,0.15843971579000002
ACH-001197,0.019297084452500002
ACH-001205,0.131898229446
ACH-001211,0.20262510682
ACH-001212,0.17377623114399998
ACH-001228,-0.0313250250581
ACH-001232,0.115065796893
ACH-001239,0.233017912793
ACH-001274,0.0059678153319
ACH-001275,0.224671840048
ACH-001277,0.13893327678300002
ACH-001278,0.265322481584
ACH-001280,0.0782548309754
ACH-001283,0.09788375305430001
ACH-001289,0.135819890294
ACH-001295,0.15834784280300002
ACH-001300,0.175195958
ACH-001301,0.178250707976
ACH-001302,0.055864155567100005
ACH-001303,0.135313256223
ACH-001306,0.151318007706
ACH-001318,0.00710421150668
