,DHTKD1 (55526)
ACH-000683,0.09772152584039999
ACH-000684,0.183363072623
ACH-000688,0.260463667039
ACH-000693,0.267828891574
ACH-000694,0.122527503679
ACH-000695,0.189069656334
ACH-000696,0.0954406621648
ACH-000697,-0.0248618601256
ACH-000699,0.257767228867
ACH-000701,0.0461794605277
ACH-000706,0.24419357173300002
ACH-000711,0.171104626765
ACH-000713,0.33994017739699994
ACH-000714,0.199525975873
ACH-000718,0.332338513484
ACH-000720,0.197252462373
ACH-000721,0.184401924796
ACH-000724,0.369478017624
ACH-000725,-0.0166995828164
ACH-000732,-0.10258273406400001
ACH-000734,0.196939007652
ACH-000735,0.31789643035799997
ACH-000736,0.32168836799
ACH-000738,0.04950537658530001
ACH-000746,0.0342146361887
ACH-000747,0.0995964932626
ACH-000748,0.23711361781800003
ACH-000753,0.14558992013
ACH-000756,0.302049812932
ACH-000757,0.185824997172
ACH-000758,0.222618799912
ACH-000760,0.13566748536599998
ACH-000763,0.22405675727
ACH-000764,-0.132025471404
ACH-000765,0.34339225992600003
ACH-000766,0.0822720984969
ACH-000767,0.19822805771699997
ACH-000768,0.315670996263
ACH-000769,0.236822056998
ACH-000770,0.1486518473
ACH-000771,0.332648637147
ACH-000773,0.211937676838
ACH-000776,0.322028118874
ACH-000777,0.24331988907299998
ACH-000778,0.315855341947
ACH-000781,0.164634539881
ACH-000782,-0.104394200766
ACH-000783,0.188964292707
ACH-000784,0.31479151815699996
ACH-000785,0.16084575033
ACH-000787,0.209015469718
ACH-000788,0.179895853858
ACH-000791,0.0744791595007
ACH-000792,0.16423032789
ACH-000794,0.12651803833900002
ACH-000796,0.232576934221
ACH-000799,0.0607485498874
ACH-000800,0.322327077762
ACH-000802,0.284709046205
ACH-000804,0.183704813419
ACH-000805,0.246811683417
ACH-000809,0.230506400903
ACH-000810,-0.24869788547
ACH-000811,0.193552220012
ACH-000817,0.283020647996
ACH-000819,0.312118996399
ACH-000820,0.0420903214739
ACH-000821,0.5663872000410001
ACH-000822,0.115955233992
ACH-000823,0.206845523871
ACH-000824,0.176659833913
ACH-000827,0.0813744845522
ACH-000829,0.245339050223
ACH-000831,0.225266657471
ACH-000832,0.160727969026
ACH-000833,0.10910164713500001
ACH-000834,0.23390830596200002
ACH-000835,0.30878981127300004
ACH-000836,0.378850012527
ACH-000837,0.165193886985
ACH-000838,0.275908039831
ACH-000839,0.27160609008299996
ACH-000840,0.0260990204151
ACH-000841,0.212165763112
ACH-000843,0.237344012094
ACH-000846,0.276290176004
ACH-000847,0.21476030449
ACH-000848,0.137471771185
ACH-000849,0.08083936063569999
ACH-000851,0.28414253119399996
ACH-000855,0.13376432454700002
ACH-000856,0.27648149597399996
ACH-000858,0.129253215659
ACH-000859,0.30970289787599997
ACH-000861,0.0400536368736
ACH-000862,0.175850533843
ACH-000865,0.192434995832
ACH-000866,0.207593115082
ACH-000867,0.137323126951
ACH-000869,0.16098298448599999
ACH-000872,0.236852102458
ACH-000873,0.21792060138099997
ACH-000876,0.150882815868
ACH-000878,0.274061166699
ACH-000880,0.175992906098
ACH-000881,0.22570790076400002
ACH-000882,0.192418982866
ACH-000884,0.058559582329099996
ACH-000885,0.0728919222374
ACH-000887,0.226493677161
ACH-000888,0.202887360652
ACH-000889,0.238816801495
ACH-000890,0.16239818099099998
ACH-000896,0.303170961179
ACH-000898,0.250494590633
ACH-000900,0.147714295488
ACH-000901,0.151432510705
ACH-000905,0.013843706454799999
ACH-000906,0.302347800053
ACH-000907,0.29351191763
ACH-000910,0.215193428938
ACH-000911,0.11021011174699999
ACH-000912,0.1557609452
ACH-000913,0.135953436665
ACH-000915,0.27511534965100004
ACH-000916,0.0369914190294
ACH-000917,0.0268196565585
ACH-000921,0.464534105659
ACH-000924,0.117716060273
ACH-000926,0.30328797121
ACH-000928,0.0926519215868
ACH-000929,0.06927861024130001
ACH-000932,0.173050035328
ACH-000935,0.44923144788099995
ACH-000936,0.09554294986060001
ACH-000937,0.19974287310699998
ACH-000938,0.06688186097439999
ACH-000939,0.5296929430699999
ACH-000941,0.17157117711
ACH-000943,0.138482219651
ACH-000946,0.173403856271
ACH-000947,0.035883083743
ACH-000948,0.07348004063869999
ACH-000950,0.216952240631
ACH-000953,0.049011219631000004
ACH-000957,0.252217984377
ACH-000958,0.169758091521
ACH-000960,0.0900992514765
ACH-000963,0.49100437972800004
ACH-000968,0.351464941274
ACH-000969,0.0499274829165
ACH-000973,0.26584228730099996
ACH-000974,-0.019149002385200002
ACH-000975,0.25579475938499996
ACH-000976,0.08398286308939999
ACH-000978,-0.103496649225
ACH-000980,0.209161064095
ACH-000984,-0.034818694287400004
ACH-000986,0.11917273908399999
ACH-000988,0.434552692871
ACH-000993,0.28634379340300004
ACH-000994,0.0356471978923
ACH-000996,0.22944868072799998
ACH-001001,0.184548757564
ACH-001020,0.42010712442599996
ACH-001028,0.19606869966899998
ACH-001031,0.269731295649
ACH-001038,0.287504765462
ACH-001048,0.22207834033799997
ACH-001050,0.24878010814800003
ACH-001053,0.132408180467
