,TANGO6 (79613)
ACH-000984,-1.34559676966
ACH-000986,-1.15671100292
ACH-000988,-1.5801088566200001
ACH-000993,-1.6247918751700001
ACH-000994,-1.3568640532299998
ACH-000996,-1.23489797785
ACH-001001,-1.03358332501
ACH-001020,-1.8138547305200001
ACH-001028,-1.27827620407
ACH-001031,-1.11484630942
ACH-001038,-1.4759064735799998
ACH-001048,-1.0357996196200001
ACH-001050,-1.3252396219
ACH-001053,-1.00430970837
ACH-001054,-1.27587689932
ACH-001061,-1.3819059963
ACH-001067,-1.1766304812100001
ACH-001075,-1.31744683151
ACH-001096,-1.26806204835
ACH-001128,-1.3092096260500001
ACH-001134,-1.16179193654
ACH-001151,-1.44851756448
ACH-001163,-1.2015696786599999
ACH-001164,-1.08450410738
ACH-001173,-1.1829953505
ACH-001183,-1.3834480039500001
ACH-001184,-1.26487486471
ACH-001190,-1.38121271879
ACH-001192,-1.4563382118500001
ACH-001193,-1.3366034244399998
ACH-001196,-1.70912052355
ACH-001197,-1.30253050264
ACH-001205,-1.46391738477
ACH-001211,-1.3659165528
ACH-001212,-1.38626254333
ACH-001228,-1.5776815010499998
ACH-001232,-1.43743597029
ACH-001239,-1.32227284301
ACH-001274,-0.955305983653
ACH-001275,-1.21551657934
ACH-001277,-1.3913026487399998
ACH-001278,-1.24686091442
ACH-001280,-1.68765114229
ACH-001283,-1.07228701311
ACH-001289,-1.38223453832
ACH-001295,-1.37086584699
ACH-001300,-1.32125320113
ACH-001301,-1.37102254876
ACH-001302,-1.17542248171
ACH-001303,-1.3140043083
ACH-001306,-1.34648206374
ACH-001318,-1.18437101342
ACH-001322,-1.0165109995700001
ACH-001328,-1.2532074522799999
ACH-001332,-1.04886873508
ACH-001333,-1.21116927009
ACH-001336,-1.1826579738299998
ACH-001340,-1.6025314416799998
ACH-001346,-1.16262502658
ACH-001353,-1.30090107598
ACH-001354,-1.3704228729700003
ACH-001367,-1.30654402875
ACH-001368,-1.39327109963
ACH-001374,-0.956979739771
ACH-001375,-1.43414042801
ACH-001377,-1.40755280463
ACH-001380,-1.3926173228299998
ACH-001391,-1.3867407034600001
ACH-001407,-1.2500146326700001
ACH-001408,-1.37533780894
ACH-001413,-1.3830265623700002
ACH-001430,-1.5112261835799998
ACH-001431,-1.64758715967
ACH-001450,-1.0273251485100001
ACH-001496,-1.341175303
ACH-001500,-1.24296486211
ACH-001521,-1.56743058299
ACH-001523,-1.40608737314
ACH-001532,-1.27164709153
ACH-001536,-1.00276017592
ACH-001550,-1.4851285796200002
ACH-001552,-1.50708419628
ACH-001554,-1.31841599232
ACH-001645,-1.47596048131
ACH-001654,-1.24981036288
ACH-001715,-1.0379233016399998
ACH-001735,-1.27628950461
ACH-001736,-1.22001588405
ACH-001737,-1.37591587135
ACH-001740,-1.03122870179
ACH-001745,-1.20172019343
ACH-001750,-1.19741776745
ACH-001765,-1.2710569197
ACH-001956,-1.2554346469700002
ACH-001957,-1.56491458143
