,IFIT1B (439996)
ACH-000307,0.00439125053316
ACH-000308,-0.030029384266699998
ACH-000310,-0.146638789498
ACH-000311,0.0151414415925
ACH-000312,-0.0973845955874
ACH-000315,-0.030124290146
ACH-000316,-0.012133100901899998
ACH-000317,-0.151590749613
ACH-000318,-0.20762475177
ACH-000319,-0.166744106672
ACH-000320,-0.271900274833
ACH-000322,-0.007536409454689999
ACH-000323,-0.186784332176
ACH-000324,-0.056455713519800006
ACH-000329,-0.0499825657685
ACH-000330,-0.160778518978
ACH-000331,-0.026376540311500003
ACH-000332,0.0141970170116
ACH-000334,0.08417993994110001
ACH-000335,-0.0748288234681
ACH-000336,-0.043089103434699995
ACH-000337,-0.19633661350200002
ACH-000339,-0.008770678322469999
ACH-000341,-0.119724113295
ACH-000348,-0.0945168039678
ACH-000350,0.052860596442
ACH-000352,-0.128674894426
ACH-000356,0.00146611955697
ACH-000361,-0.0737351035393
ACH-000362,-0.020665671370999998
ACH-000363,0.132435713374
ACH-000364,0.0169777605487
ACH-000365,-0.09738569186610001
ACH-000366,-0.148171591992
ACH-000368,0.0629497978277
ACH-000374,-0.08375082165289999
ACH-000375,0.05226408446269999
ACH-000376,-0.06507090420469999
ACH-000381,-0.058709130094699996
ACH-000383,0.021100114481200003
ACH-000387,-0.0618372136768
ACH-000389,-0.0535513918144
ACH-000390,-0.0349377623212
ACH-000393,-0.0385159177109
ACH-000395,-0.0439320320428
ACH-000397,-0.0523818071852
ACH-000401,-0.127926278353
ACH-000402,-0.009730178623290002
ACH-000403,-0.075731310198
ACH-000404,-0.020575758068799996
ACH-000406,-0.043250006575699995
ACH-000407,-0.0927180792873
ACH-000408,-0.199677275065
ACH-000410,-0.0503390661933
ACH-000411,-0.137733290422
ACH-000414,-0.10143680891000001
ACH-000415,-0.19133991938499997
ACH-000416,-0.0554154549725
ACH-000420,-0.104774969933
ACH-000421,-0.09060768320800001
ACH-000424,-0.10406547899499999
ACH-000425,-0.116179832121
ACH-000426,0.111841401854
ACH-000427,-0.0640257142224
ACH-000433,-0.0906953535516
ACH-000436,-0.131136713458
ACH-000444,-0.032581963945299997
ACH-000445,-0.202828932471
ACH-000448,0.0700558481823
ACH-000450,-0.118393746057
ACH-000452,-0.148776176787
ACH-000454,-0.0907631971063
ACH-000458,-0.10932243244899999
ACH-000459,0.142872151993
ACH-000460,-0.016378397628799998
ACH-000461,0.16146575292
ACH-000463,-0.128402625057
ACH-000464,0.0048943679252299995
ACH-000466,-0.0870529371352
ACH-000467,0.054009282029
ACH-000468,0.0118577744585
ACH-000469,-0.00034645807625000003
ACH-000470,0.240346450962
ACH-000471,0.057988728848400006
ACH-000472,-0.138853315799
ACH-000473,0.0243061741686
ACH-000475,-0.011244183416600002
ACH-000476,-0.144796677863
ACH-000477,-0.04762120548769999
ACH-000480,0.206579806374
ACH-000481,-0.153035266646
ACH-000483,-0.10994376881100001
ACH-000484,-0.213998176616
ACH-000485,-0.022816114018999998
ACH-000486,-0.097237232939
ACH-000487,-0.130531750834
ACH-000488,0.0179572700319
ACH-000490,0.100099831333
ACH-000491,-0.11452550238399999
ACH-000495,0.06698694044919999
ACH-000496,-0.173341959857
ACH-000499,-0.215401166723
ACH-000500,0.157791035001
ACH-000502,0.008256087792229999
ACH-000503,-0.12983898833
ACH-000505,0.042324380635699994
ACH-000507,-0.019502996728000002
ACH-000510,-0.08475934663529999
ACH-000511,-0.08485947792189999
ACH-000512,-0.08238932095200001
ACH-000516,0.0184704232186
