,ZBTB16 (7704)
ACH-000887,-0.0136621808414
ACH-000888,0.15645866041
ACH-000889,0.17507577684300002
ACH-000890,0.384423157686
ACH-000896,0.111506339212
ACH-000898,0.34096523636
ACH-000900,0.0725930699282
ACH-000901,0.252156874822
ACH-000905,0.24019859040199998
ACH-000906,0.167979309657
ACH-000907,0.212786906548
ACH-000910,0.07699341870519999
ACH-000911,0.12775718613099998
ACH-000912,0.0649555894973
ACH-000913,0.15070435553099998
ACH-000915,0.130969287868
ACH-000916,0.227574306814
ACH-000917,0.09526610022330001
ACH-000921,0.25879284649
ACH-000924,0.17684789135200002
ACH-000926,0.0974067257521
ACH-000928,0.047030695293
ACH-000929,0.39367115695
ACH-000932,0.112994459487
ACH-000935,-0.0127171278059
ACH-000936,-0.14504799961
ACH-000937,0.112146459169
ACH-000938,0.0750731222952
ACH-000939,0.801914137464
ACH-000941,-0.00758608998964
ACH-000943,0.248791688825
ACH-000946,0.15865097827
ACH-000947,0.14358988404200002
ACH-000948,0.0600449396983
ACH-000950,0.047137309921300004
ACH-000953,0.0819974238568
ACH-000957,0.22681353817400002
ACH-000958,-0.0153129866254
ACH-000960,0.113302871842
ACH-000963,0.132145087455
ACH-000968,0.20757839962000002
ACH-000969,0.325341778368
ACH-000973,0.07910018558239999
ACH-000974,0.029432042998
ACH-000975,0.194926841875
ACH-000976,0.413691601042
ACH-000978,0.0578080776223
ACH-000980,0.156582710665
ACH-000984,-0.027190947908
ACH-000986,0.293228617142
ACH-000988,0.0737726930661
ACH-000993,-0.037296321322599996
ACH-000994,0.0047010976673900005
ACH-000996,0.048746017557600003
ACH-001001,0.181534976217
ACH-001020,0.654456477044
ACH-001028,0.19811241464
ACH-001031,0.022725339243799998
ACH-001038,0.0657031241237
ACH-001048,0.16603822420800002
ACH-001050,0.09391218698110002
ACH-001053,0.019114745971799997
ACH-001054,0.0773301464588
ACH-001061,0.0994747171983
ACH-001067,0.13012454089199998
ACH-001075,0.395984000799
ACH-001096,-0.0207856882229
ACH-001128,1.59929161127
ACH-001134,0.141661027747
ACH-001151,0.19299798940000001
ACH-001163,0.105031720616
ACH-001164,-0.10726739104800001
ACH-001173,0.0900057007422
ACH-001183,0.14500968533800002
ACH-001184,0.20925881334899998
ACH-001190,0.31345290460299996
ACH-001192,-0.0017769927199
ACH-001193,0.027342792250799997
ACH-001196,0.18676501661699998
ACH-001197,-0.05533649977440001
ACH-001205,0.139104931475
ACH-001211,0.306312297452
ACH-001212,0.504103459495
ACH-001228,0.155505744735
ACH-001232,0.304220026176
ACH-001239,0.149149978864
ACH-001274,0.132349828871
ACH-001275,0.29917919035
ACH-001277,-0.25038829579300004
ACH-001278,0.061491900227
ACH-001280,0.277779072988
ACH-001283,-0.0693499662246
ACH-001289,0.23646397306999997
ACH-001295,0.059145620341999994
ACH-001300,-0.0695547522202
ACH-001301,0.0980671523911
ACH-001302,0.089520382509
ACH-001303,-0.0562982645409
ACH-001306,0.0013235078499000002
ACH-001318,0.255013108727
ACH-001322,0.10183633560699999
ACH-001328,0.142786634857
ACH-001332,-0.24716614649500002
ACH-001333,0.023396898805900002
ACH-001336,0.0991076822952
ACH-001340,0.22006917218400002
ACH-001346,0.029709963498499997
ACH-001353,0.0334284854534
ACH-001354,0.292082548678
ACH-001367,0.39348298151699995
ACH-001368,0.174517587754
ACH-001374,0.309314436367
ACH-001375,0.0416636373634
ACH-001377,0.1965410659
ACH-001380,-0.098098666486
ACH-001391,0.17036422115
ACH-001407,0.16760178277100002
ACH-001408,-0.000599873929226
ACH-001413,0.137670320448
ACH-001430,-0.21530826390299998
ACH-001431,0.0178173902559
ACH-001450,0.145402876849
ACH-001496,0.376610860158
ACH-001500,0.43373263464199996
ACH-001521,0.16365183089500002
ACH-001523,0.222409221893
ACH-001532,-0.011282192874700002
ACH-001536,0.0265594922528
ACH-001550,0.666743503123
ACH-001552,0.13304120821499998
ACH-001554,0.15723851139599998
ACH-001645,0.0903880867492
ACH-001654,0.0893430222246
ACH-001715,0.248932534718
ACH-001735,0.048973638004
ACH-001736,0.19792560333700002
ACH-001737,0.513246226985
ACH-001740,0.0543544051302
ACH-001745,-0.010619760651499999
ACH-001750,0.19758440204
ACH-001765,0.24675666146400002
ACH-001956,0.175454441583
ACH-001957,0.140718107068
