,FGGY (55277)
ACH-001038,0.19636586168099998
ACH-001048,0.035100202349400006
ACH-001050,-0.09252892436429999
ACH-001053,0.237062213256
ACH-001054,0.154398231426
ACH-001061,0.10894240439099999
ACH-001067,0.0517377982907
ACH-001075,0.17365671182
ACH-001096,0.114024099997
ACH-001128,0.049996170692499994
ACH-001134,0.256089672243
ACH-001151,0.09245566042189998
ACH-001163,0.13309725377
ACH-001164,0.238381825312
ACH-001173,0.138537297129
ACH-001183,0.134722996665
ACH-001184,0.292298202457
ACH-001190,0.184999135773
ACH-001192,0.158523949742
ACH-001193,0.11527985596899999
ACH-001196,0.0858656588978
ACH-001197,0.117035039565
ACH-001205,0.0189398833072
ACH-001211,0.058144597793800004
ACH-001212,0.26859231655
ACH-001228,0.0672975961372
ACH-001232,0.0951878521159
ACH-001239,0.167506704723
ACH-001274,0.12356459729699999
ACH-001275,0.15672265609400002
ACH-001277,0.0500433819053
ACH-001278,0.182602291497
ACH-001280,0.147718837208
ACH-001283,0.041488859413800004
ACH-001289,0.27903699997
ACH-001295,0.130173431284
ACH-001300,-0.153323992094
ACH-001301,0.0856071081362
ACH-001302,0.18089956538199997
ACH-001303,0.22905942762899997
ACH-001306,0.11330619496500001
ACH-001318,-0.00147433484848
ACH-001322,0.147580838725
ACH-001328,0.100294631019
ACH-001332,0.154939976883
ACH-001333,0.135847720349
ACH-001336,-0.0324060479755
ACH-001340,0.127512446083
ACH-001346,0.14329483807399998
ACH-001353,0.10525915542400001
ACH-001354,0.287015493499
ACH-001367,0.12497687534600001
ACH-001368,0.12447902155400001
ACH-001374,0.14962581682
ACH-001375,0.172567144818
ACH-001377,-0.00427949120463
ACH-001380,0.09164324750530001
ACH-001391,-0.200411273198
ACH-001407,0.00636501434917
ACH-001408,0.13210882095100002
ACH-001413,0.149668158047
ACH-001430,0.201846291673
ACH-001431,-0.0552386274281
ACH-001450,0.157067527711
ACH-001496,0.10394503859
ACH-001500,0.0558474552076
ACH-001521,0.196498170957
ACH-001523,-0.012885614072
ACH-001532,0.0824275915212
ACH-001536,0.197734513539
ACH-001550,0.157738260804
ACH-001552,0.00411537503751
ACH-001554,0.0775448778056
ACH-001645,0.22090806516699998
ACH-001654,0.10043422165799999
ACH-001715,0.19995086746100002
ACH-001735,0.18349398410599999
ACH-001736,0.194051577141
ACH-001737,0.120134433235
ACH-001740,0.13255146637700002
ACH-001745,0.0689689985409
ACH-001750,0.0757746942699
ACH-001765,0.111308380036
ACH-001956,0.192151081776
ACH-001957,0.109486879965
