,LPPR5 (163404)
ACH-000867,-0.172904774831
ACH-000869,-0.384657073509
ACH-000872,-0.32254991721500004
ACH-000873,-0.390588485074
ACH-000876,-0.205907085603
ACH-000878,0.106296688113
ACH-000880,-0.0590464418879
ACH-000881,-0.08634544886579999
ACH-000882,-0.12187420090999998
ACH-000884,-0.0527615664982
ACH-000885,-0.28000546179900004
ACH-000887,-0.31578803168999997
ACH-000888,-0.223975217997
ACH-000889,-0.07496478941439999
ACH-000890,-0.134880843319
ACH-000896,-0.0699178187522
ACH-000898,0.0825309709693
ACH-000900,-0.0410546902954
ACH-000901,-0.185636070347
ACH-000905,-0.187775111201
ACH-000906,-0.212849514111
ACH-000907,-0.3802219029300001
ACH-000910,-0.061013312916400005
ACH-000911,-0.392702410388
ACH-000912,-0.30982926294
ACH-000913,-0.059391766277800004
ACH-000915,-0.256335095203
ACH-000916,-0.24053674208200002
ACH-000917,-0.0820095724261
ACH-000921,-0.40141123395800005
ACH-000924,-0.19616860274300002
ACH-000926,-0.213469154278
ACH-000928,-0.21852562750100002
ACH-000929,-0.20899471557799998
ACH-000932,-0.17449949208299997
ACH-000935,-0.117401568528
ACH-000936,-0.250283212425
ACH-000937,-0.096026536184
ACH-000938,-0.130791951505
ACH-000939,-0.328246183653
ACH-000941,-0.115331934594
ACH-000943,-0.23651630933499998
ACH-000946,-0.240969626206
ACH-000947,-0.118222730135
ACH-000948,-0.166069823706
ACH-000950,-0.138070497658
ACH-000953,-0.37042172731899997
ACH-000957,-0.270472241352
ACH-000958,0.012510883682999999
ACH-000960,-0.18567544527399998
ACH-000963,-0.018457625370599997
ACH-000968,-0.10132070072699999
ACH-000969,-0.23631907249499998
ACH-000973,-0.146513922554
ACH-000974,-0.22917399471500002
ACH-000975,-0.359104789788
ACH-000976,-0.17767167604800002
ACH-000978,-0.413192116075
ACH-000980,-0.17085216585299998
ACH-000984,-0.3451929763
ACH-000986,-0.17636493506200002
ACH-000988,-0.035460870602599996
ACH-000993,-0.172682926638
ACH-000994,-0.22750816399999998
ACH-000996,-0.407996998159
ACH-001001,-0.30625569870700003
ACH-001020,0.122338159177
ACH-001028,-0.193344791469
ACH-001031,-0.020659413296
ACH-001038,-0.08715505198010001
ACH-001048,-0.07057828963330001
ACH-001050,-0.25969416470199996
ACH-001053,0.0483696604921
ACH-001054,-0.349552066096
ACH-001061,-0.114211332814
ACH-001067,-0.245205845513
ACH-001075,-0.192923385017
ACH-001096,-0.07031756180030001
ACH-001128,-0.536309454926
ACH-001134,0.100658598433
ACH-001151,-0.175186291655
ACH-001163,-0.14806721346100002
ACH-001164,-0.373590109239
ACH-001173,-0.133923786559
ACH-001183,0.006367067604029999
ACH-001184,-0.292148997829
ACH-001190,-0.44130955397200006
ACH-001192,-0.28175087149
ACH-001193,0.133228823551
ACH-001196,-0.301009159528
ACH-001197,0.0329909926743
ACH-001205,-0.236861637564
ACH-001211,-0.279613529696
ACH-001212,0.12313716367699999
ACH-001228,-0.175713434363
ACH-001232,-0.371042640905
ACH-001239,-0.311831276208
ACH-001274,-0.125650503246
ACH-001275,-0.216056591796
ACH-001277,-0.0774839372839
ACH-001278,-0.059815507821899996
ACH-001280,-0.164142377427
ACH-001283,-0.254132055628
ACH-001289,-0.06796771297040001
ACH-001295,-0.129026851621
ACH-001300,-0.0777179541005
ACH-001301,-0.369012685526
ACH-001302,-0.551181438335
ACH-001303,-0.18251835117100002
ACH-001306,-0.223326657527
ACH-001318,-0.035348744013400005
ACH-001322,-0.188383525158
ACH-001328,-0.23343926448000002
ACH-001332,-0.295467353852
ACH-001333,-0.170188844206
ACH-001336,-0.158258421707
ACH-001340,-0.111846985543
ACH-001346,-0.353691721683
ACH-001353,-0.316588532975
ACH-001354,-0.7891659855609999
ACH-001367,-0.12005182830700001
ACH-001368,-0.152163288974
ACH-001374,-0.273096793904
ACH-001375,-0.226838450151
ACH-001377,-0.193171017783
ACH-001380,-0.290548759054
ACH-001391,-0.149743386044
ACH-001407,-0.14601647931199999
ACH-001408,-0.115801896143
ACH-001413,-0.251192470707
ACH-001430,0.05945690439569999
ACH-001431,-0.202504414117
ACH-001450,-0.272488567967
ACH-001496,-0.12734117248
ACH-001500,-0.129795431505
ACH-001521,-0.19096088003199999
ACH-001523,-0.20238309688499997
ACH-001532,-0.178777326708
ACH-001536,-0.417752604508
ACH-001550,-0.25759137203899996
ACH-001552,-0.17010030444899998
ACH-001554,-0.130637608022
ACH-001645,-0.423408540551
ACH-001654,-0.211724978716
ACH-001715,-0.221499426348
ACH-001735,-0.0356902158146
ACH-001736,-0.154560882842
ACH-001737,-0.286944050731
ACH-001740,-0.11089520860999999
ACH-001745,-0.155503318776
ACH-001750,-0.300494259203
ACH-001765,-0.13854226417
ACH-001956,-0.08739708334860001
ACH-001957,-0.07714061999810001
