,ABCG2 (9429)
ACH-001067,0.0535838809272
ACH-001075,0.0879458944788
ACH-001096,0.290229306313
ACH-001128,0.13474224457
ACH-001134,0.242948602914
ACH-001151,0.093371376562
ACH-001163,0.14262937800699999
ACH-001164,0.10377104603199999
ACH-001173,0.175816457893
ACH-001183,0.130698046349
ACH-001184,0.06289843834480001
ACH-001190,0.0506354442008
ACH-001192,0.114616672337
ACH-001193,0.428480044622
ACH-001196,0.214965488414
ACH-001197,0.166719689431
ACH-001205,-0.00291758848602
ACH-001211,0.300664380935
ACH-001212,0.283760052375
ACH-001228,0.258388440805
ACH-001232,0.188261801989
ACH-001239,0.2059716922
ACH-001274,0.134624401084
ACH-001275,0.224973203372
ACH-001277,0.137169361118
ACH-001278,0.0651841124067
ACH-001280,0.232976966963
ACH-001283,0.057409203993800006
ACH-001289,0.262487196836
ACH-001295,0.108701612324
ACH-001300,0.05158962868
ACH-001301,0.165408643473
ACH-001302,0.0839368581659
ACH-001303,0.261074553546
ACH-001306,0.205809826977
ACH-001318,-0.0672721547337
ACH-001322,0.0291550780724
ACH-001328,0.178396361277
ACH-001332,0.08936723973060001
ACH-001333,0.27920589355500003
ACH-001336,0.0645521148936
ACH-001340,0.062981220855
ACH-001346,0.055920186646800006
ACH-001353,0.144264682265
ACH-001354,0.122050097971
ACH-001367,0.182944505735
ACH-001368,0.205554389201
ACH-001374,0.446502314766
ACH-001375,0.144090253232
ACH-001377,0.19453373184599998
ACH-001380,0.173030244578
ACH-001391,0.114289212375
ACH-001407,0.038283838629099995
ACH-001408,0.10331639317399999
ACH-001413,0.216444352424
ACH-001430,0.07359499926910001
ACH-001431,0.059657383925
ACH-001450,0.0960214970751
ACH-001496,0.152939183271
ACH-001500,0.0469685071407
ACH-001521,0.104071641154
ACH-001523,0.0939516539667
ACH-001532,0.108645489713
ACH-001536,0.05793339229569999
ACH-001550,0.23598547382100002
ACH-001552,-0.193023718059
ACH-001554,0.13740970884099998
ACH-001645,0.200755585122
ACH-001654,0.273024688003
ACH-001715,0.08984317224829999
ACH-001735,0.126257655525
ACH-001736,-0.076656955015
ACH-001737,0.293632332816
ACH-001740,0.0406320829251
ACH-001745,0.0999397228607
ACH-001750,0.10300663079500001
ACH-001765,0.150026653184
ACH-001956,0.175344104458
ACH-001957,0.34925038044100004
