,IL12RB2 (3595)
ACH-001128,-0.278636611756
ACH-001134,-0.132963698359
ACH-001151,-0.30876595565299997
ACH-001163,-0.321631545271
ACH-001164,-0.199664520213
ACH-001173,-0.240218862929
ACH-001183,-0.264502159091
ACH-001184,-0.500963925026
ACH-001190,-0.443479823194
ACH-001192,-0.303720862504
ACH-001193,-0.43393540130900005
ACH-001196,-0.25269363855
ACH-001197,-0.699752050699
ACH-001205,-0.33827263190800005
ACH-001211,-0.397975599458
ACH-001212,-0.267694219891
ACH-001228,-0.257920268636
ACH-001232,-0.395185178682
ACH-001239,-0.441936443707
ACH-001274,-0.334859187493
ACH-001275,-0.21001892928399998
ACH-001277,-0.0947143919265
ACH-001278,-0.325726399564
ACH-001280,-0.504014125928
ACH-001283,-0.178267017477
ACH-001289,-0.285693165736
ACH-001295,-0.518029192099
ACH-001300,-0.1697321142
ACH-001301,-0.171448088778
ACH-001302,-0.469772855941
ACH-001303,-0.456757632567
ACH-001306,-0.36122161104199996
ACH-001318,-0.30352628177200003
ACH-001322,-0.37013254845700005
ACH-001328,-0.424292838603
ACH-001332,-0.295514445748
ACH-001333,-0.21664943160999997
ACH-001336,-0.39383991168000004
ACH-001340,-0.515161203103
ACH-001346,-0.43484717654
ACH-001353,-0.33151341982099997
ACH-001354,-0.533624186797
ACH-001367,-0.6161220836219999
ACH-001368,-0.28960421723499996
ACH-001374,-0.047879991524099996
ACH-001375,-0.218214067014
ACH-001377,-0.16857229041400001
ACH-001380,-0.32931826270799996
ACH-001391,-0.489897541944
ACH-001407,-0.299046975906
ACH-001408,-0.43743933988600003
ACH-001413,-0.628949460105
ACH-001430,-0.340598933317
ACH-001431,-0.285060914575
ACH-001450,-0.41898276825900005
ACH-001496,-0.36474948933799994
ACH-001500,-0.279145757375
ACH-001521,-0.360252130511
ACH-001523,-0.406023023518
ACH-001532,-0.44682729544699995
ACH-001536,-0.285327667342
ACH-001550,-0.38299565601499996
ACH-001552,-0.5626312789
ACH-001554,-0.324809923524
ACH-001645,-0.448611401566
ACH-001654,-0.252975244641
ACH-001715,-0.44532119386200003
ACH-001735,-0.257039684969
ACH-001736,-0.216785031406
ACH-001737,-0.347649501426
ACH-001740,-0.289986905362
ACH-001745,-0.254294844307
ACH-001750,-0.146921735902
ACH-001765,-0.143542328487
ACH-001956,-0.303436847412
ACH-001957,-0.336384964883
