,MUM1 (84939)
ACH-001554,-0.0233765914212
ACH-001645,0.0185150920168
ACH-001654,-0.024155210449
ACH-001715,0.0456747167327
ACH-001735,0.0677892005042
ACH-001736,0.0439159742815
ACH-001737,0.20177221084600003
ACH-001740,-0.00722606911235
ACH-001745,-0.134583357259
ACH-001750,-0.00214158758354
ACH-001765,-0.0263888984174
ACH-001956,-0.09506505743629999
ACH-001957,0.062495113909099995
