,TTL (150465)
ACH-000846,-0.0788982673514
ACH-000847,-0.248025728222
ACH-000848,-0.008076223862580001
ACH-000849,-0.0626936621659
ACH-000851,-0.269254333487
ACH-000855,-0.222912789023
ACH-000856,-0.0417345792045
ACH-000858,-0.0182455885147
ACH-000859,-0.27799871905400003
ACH-000861,-0.239819529217
ACH-000862,0.00390337189611
ACH-000865,-0.0416529597464
ACH-000866,-0.07246634971560001
ACH-000867,-0.05272284512630001
ACH-000869,-0.14990458475
ACH-000872,-0.23398006925200002
ACH-000873,-0.0257460273183
ACH-000876,-0.11692100302899999
ACH-000878,-0.054645045244399996
ACH-000880,-0.0256914738031
ACH-000881,-0.16335762447000002
ACH-000882,-0.11299974117999999
ACH-000884,-0.0441131832079
ACH-000885,-0.11910317356799999
ACH-000887,-0.14470827265
ACH-000888,-0.11187659621200001
ACH-000889,-0.11124216761700001
ACH-000890,-0.10738770021600001
ACH-000896,-0.241463071711
ACH-000898,0.0320103318266
ACH-000900,-0.181503499348
ACH-000901,-0.178018284394
ACH-000905,-0.297314879396
ACH-000906,-0.055422382495
ACH-000907,-0.17081927252
ACH-000910,0.0371661579662
ACH-000911,-0.241263111099
ACH-000912,-0.0697370373994
ACH-000913,-0.200684865097
ACH-000915,-0.14447385775399998
ACH-000916,0.24699619641999998
ACH-000917,-0.0911288470847
ACH-000921,-0.0753774388044
ACH-000924,0.0105313241215
ACH-000926,-0.136083355346
ACH-000928,-0.14897154577500002
ACH-000929,-0.056418872827000005
ACH-000932,0.0154729725749
ACH-000935,-0.022689508219400002
ACH-000936,-0.154621379404
ACH-000937,-0.04772765256730001
ACH-000938,-0.10238326325
ACH-000939,-0.10693367124
ACH-000941,-0.307326030825
ACH-000943,-0.0644775018925
ACH-000946,-0.220254866764
ACH-000947,-0.132289199462
ACH-000948,-0.092685028642
ACH-000950,-0.36801775458400005
ACH-000953,0.0213022754314
ACH-000957,-0.0915639741285
ACH-000958,0.0269849800184
ACH-000960,-0.09315786324650001
ACH-000963,-0.463730646577
ACH-000968,-0.0262375748459
ACH-000969,-0.0692654193704
ACH-000973,-0.172301186141
ACH-000974,-0.147080666286
ACH-000975,-0.191061696961
ACH-000976,-0.0586186557905
ACH-000978,-0.0659623562473
ACH-000980,-0.115453871821
ACH-000984,-0.147696187357
ACH-000986,-0.0307542688337
ACH-000988,-0.162480015975
ACH-000993,-0.23767701263500002
ACH-000994,-0.17423897217599998
ACH-000996,-0.244511690717
ACH-001001,-0.187503964037
ACH-001020,-0.0753335644255
ACH-001028,-0.17672987737399998
ACH-001031,-0.194069348084
ACH-001038,-0.115629049299
ACH-001048,-0.20049743719799998
ACH-001050,-0.28083075154
ACH-001053,-0.09940129882750001
ACH-001054,-0.0864128829544
ACH-001061,-0.100676859516
ACH-001067,-0.0955355837136
ACH-001075,0.13909010531899998
ACH-001096,-0.35304005844
ACH-001128,-0.174098616501
ACH-001134,-0.18100008537
ACH-001151,-0.034063447756500005
ACH-001163,-0.07437809413480001
ACH-001164,-0.26218409539
ACH-001173,-0.165647616217
ACH-001183,-0.06270868490749999
ACH-001184,-0.33890005342699997
ACH-001190,-0.219015476763
ACH-001192,-0.359782373601
ACH-001193,-0.00759126947662
ACH-001196,-0.005747391106970001
ACH-001197,0.109827119121
ACH-001205,-0.18176605086300002
ACH-001211,-0.09101909938580001
ACH-001212,-0.238113185066
ACH-001228,0.0214523383219
ACH-001232,-0.059131170440600005
ACH-001239,-0.0681902613793
ACH-001274,-0.27041556526099997
ACH-001275,-0.319665702043
ACH-001277,-0.176831865283
ACH-001278,-0.09271812262
ACH-001280,0.0746452313425
ACH-001283,-0.0025751846458499997
ACH-001289,-0.09184805832689999
ACH-001295,-0.0756282727085
ACH-001300,-0.182424819947
ACH-001301,-0.28307994009599996
ACH-001302,0.01151280048
ACH-001303,-0.135642966466
ACH-001306,-0.11253858948699999
ACH-001318,-0.26903799064100004
ACH-001322,-0.40424983344099996
ACH-001328,-0.07569674987439999
ACH-001332,-0.18212040947500002
ACH-001333,0.13616887603299999
ACH-001336,-0.248938872606
ACH-001340,-0.257135133356
ACH-001346,-0.04648910966659999
ACH-001353,-0.13197595506100002
ACH-001354,-0.135543029149
ACH-001367,0.10839996953400001
ACH-001368,-0.06032214519259999
ACH-001374,-0.00695965306626
ACH-001375,-0.116409768685
ACH-001377,-0.179833172163
ACH-001380,-0.0597514808915
ACH-001391,-0.20427578151999998
ACH-001407,0.0844633809101
ACH-001408,-0.232450943711
ACH-001413,0.0262643512563
ACH-001430,-0.428305089648
ACH-001431,-0.148184119648
ACH-001450,0.10200738448100001
ACH-001496,-0.0367796196925
ACH-001500,-0.046396813696300006
ACH-001521,-0.303784831563
ACH-001523,-0.032802337292
ACH-001532,-0.128575343268
ACH-001536,-0.38297830644599995
ACH-001550,-0.151317428458
ACH-001552,-0.094230664987
ACH-001554,-0.029275387955
ACH-001645,0.0102662559267
ACH-001654,-0.168105959309
ACH-001715,-0.344455006774
ACH-001735,0.14201742672
ACH-001736,0.024103225833400004
ACH-001737,0.250724016556
ACH-001740,-0.5557311344820001
ACH-001745,-0.280361553705
ACH-001750,-0.0876363542427
ACH-001765,-0.15352479258500001
ACH-001956,0.020451406049400003
ACH-001957,-0.122462674225
