,GBX2 (2637)
ACH-000835,-0.011402963138099999
ACH-000836,-0.172554927316
ACH-000837,0.0068011154743899994
ACH-000838,-0.127992199898
ACH-000839,-0.036517670287900005
ACH-000840,-0.12182737675899999
ACH-000841,0.11229712677100001
ACH-000843,0.0413800347348
ACH-000846,0.0358225012165
ACH-000847,-0.0110124072792
ACH-000848,0.024470501933200002
ACH-000849,-0.11021741865800001
ACH-000851,0.043958851174900004
ACH-000855,0.0632162068867
ACH-000856,-0.0204747720736
ACH-000858,-0.0056328610579300005
ACH-000859,-0.145319037688
ACH-000861,-0.0422621789095
ACH-000862,0.0757691227106
ACH-000865,0.026775926151200002
ACH-000866,-0.0613923315422
ACH-000867,-0.11817964459899999
ACH-000869,0.15246222091199998
ACH-000872,0.015057065641100001
ACH-000873,0.018754137237099996
ACH-000876,-0.10066292550799999
ACH-000878,-0.100910106151
ACH-000880,0.00167374470106
ACH-000881,-0.152457589405
ACH-000882,-0.116281403564
ACH-000884,-0.03595107032580001
ACH-000885,0.0640110372272
ACH-000887,-0.049028563213999996
ACH-000888,-0.140598404674
ACH-000889,-0.0673685985903
ACH-000890,0.0117280091031
ACH-000896,-0.127072445774
ACH-000898,0.16466265235400002
ACH-000900,0.11079458911599999
ACH-000901,-0.058877866517000006
ACH-000905,0.0172806631371
ACH-000906,-0.115905527332
ACH-000907,-0.16855155811099998
ACH-000910,-0.05683682564280001
ACH-000911,0.019213015019
ACH-000912,-0.0862288423746
ACH-000913,-0.135289598903
ACH-000915,0.15715339592900002
ACH-000916,-0.277757202786
ACH-000917,-0.033047406055400005
ACH-000921,-0.236691447612
ACH-000924,-0.17809681908799999
ACH-000926,-0.0464427683744
ACH-000928,-0.21111037625100001
ACH-000929,-0.294416518771
ACH-000932,-0.0472326286076
ACH-000935,0.0305611726305
ACH-000936,0.113415757612
ACH-000937,-0.233676402421
ACH-000938,-0.056271238144899996
ACH-000939,-0.0121015771075
ACH-000941,-0.00987724655833
ACH-000943,-0.021158441937599998
ACH-000946,-0.07785030872439999
ACH-000947,-0.04307381041259999
ACH-000948,0.015885176378600003
ACH-000950,0.0644740868989
ACH-000953,-0.129917021172
ACH-000957,-0.17751144392
ACH-000958,-0.07140781842039999
ACH-000960,-0.0565761394878
ACH-000963,-0.236676933797
ACH-000968,0.011134543420500001
ACH-000969,0.033715884076099996
ACH-000973,-0.0757792334258
ACH-000974,-0.120040307
ACH-000975,-0.126268944737
ACH-000976,-0.0627419493796
ACH-000978,-0.38605261360299997
ACH-000980,-0.113592729933
ACH-000984,-0.10371924079
ACH-000986,0.0169243130002
ACH-000988,-0.0950217118947
ACH-000993,-0.277639320645
ACH-000994,-0.138219980105
ACH-000996,0.006033976836850001
ACH-001001,-0.195497062183
ACH-001020,-0.133562307841
ACH-001028,-0.218486896252
ACH-001031,-0.0689826537103
ACH-001038,-0.123070303598
ACH-001048,-0.0979984454275
ACH-001050,-0.203992192925
ACH-001053,-0.11239871873299999
ACH-001054,0.0140178817896
ACH-001061,-0.061937082971099996
ACH-001067,-0.12363324861500001
ACH-001075,-0.0529274977121
ACH-001096,-0.147860283338
ACH-001128,-0.280252443242
ACH-001134,-0.0570488910226
ACH-001151,-0.108761037037
ACH-001163,-0.209444243066
ACH-001164,-0.040812591683
ACH-001173,-0.104813864699
ACH-001183,-0.0351438183311
ACH-001184,-0.347561912923
ACH-001190,-0.163579741847
ACH-001192,-0.28482535318700003
ACH-001193,-0.0257599614964
ACH-001196,-0.23512274246
ACH-001197,0.124298843696
ACH-001205,-0.251713622084
ACH-001211,-0.140366263473
ACH-001212,0.109677547784
ACH-001228,-0.00776853055023
ACH-001232,-0.162272051454
ACH-001239,-0.136826818248
ACH-001274,-0.0651692844817
ACH-001275,-0.08673082332939999
ACH-001277,-0.0666550183134
ACH-001278,0.166017554689
ACH-001280,-0.321985824459
ACH-001283,-0.16345022517000002
ACH-001289,-0.182970121791
ACH-001295,-0.20417636590799998
ACH-001300,-0.17327998329100003
ACH-001301,-0.170948699133
ACH-001302,-0.331627213637
ACH-001303,-0.0885374712877
ACH-001306,-0.153590851185
ACH-001318,0.029083067922900004
ACH-001322,-0.10111134415300001
ACH-001328,-0.10457806581399999
ACH-001332,-0.159255025106
ACH-001333,-0.11419460607899999
ACH-001336,-0.13433684146299998
ACH-001340,-0.0764362963208
ACH-001346,-0.0658751081091
ACH-001353,-0.146198439992
ACH-001354,-0.384696575894
ACH-001367,0.0122706792769
ACH-001368,-0.0799164526166
ACH-001374,-0.367389223411
ACH-001375,-0.214043581558
ACH-001377,-0.048688648559099997
ACH-001380,-0.105620437657
ACH-001391,0.0165279336687
ACH-001407,-0.138067354595
ACH-001408,-0.0431879529942
ACH-001413,-0.12612045636
ACH-001430,-0.15788870808900002
ACH-001431,-0.269742484464
ACH-001450,-0.33786167440700005
ACH-001496,-0.011988648608999999
ACH-001500,0.129120194085
ACH-001521,-0.201266427156
ACH-001523,-0.053479144325400005
ACH-001532,-0.042352128626499994
ACH-001536,-0.0283128053817
ACH-001550,-0.107111107806
ACH-001552,-0.35344923585500004
ACH-001554,-0.145473414396
ACH-001645,-0.0682020886334
ACH-001654,-0.16623410340800002
ACH-001715,-0.0767293072678
ACH-001735,-0.10059990624500001
ACH-001736,-0.162062404612
ACH-001737,0.266722380361
ACH-001740,-0.19823743552499998
ACH-001745,-0.0323793939562
ACH-001750,0.014660661564
ACH-001765,-0.0912269460021
ACH-001956,-0.11581410517000001
ACH-001957,-0.145243912925
