,COL25A1 (84570)
ACH-001431,-0.182848741316
ACH-001450,0.0865264854656
ACH-001496,-0.006592411425420001
ACH-001500,-0.23323057445300002
ACH-001521,-0.29022502266600003
ACH-001523,-0.122348199279
ACH-001532,-0.147522049352
ACH-001536,-0.18635271336
ACH-001550,-0.136656415071
ACH-001552,-0.253715083567
ACH-001554,-0.26118474198
ACH-001645,-0.15578905144000002
ACH-001654,-0.123411225519
ACH-001715,-0.331067542074
ACH-001735,-0.160113804562
ACH-001736,-0.0729410234969
ACH-001737,-0.0637658562754
ACH-001740,-0.254393838551
ACH-001745,-0.094421133736
ACH-001750,-0.11784514940400001
ACH-001765,-0.218064770213
ACH-001956,-0.109505798325
ACH-001957,-0.0675628059238
