,BMF (90427)
ACH-000928,0.15609432939999998
ACH-000929,-0.275269288237
ACH-000932,-0.0670321962276
ACH-000935,-0.475971612302
ACH-000936,-0.225481945396
ACH-000937,-0.150649466783
ACH-000938,-0.111463066251
ACH-000939,-0.41120760542199997
ACH-000941,-0.112643624898
ACH-000943,-0.18798575928300001
ACH-000946,-0.105718692071
ACH-000947,-0.0216011529963
ACH-000948,-0.185730512858
ACH-000950,-0.0126513393734
ACH-000953,0.0409520192036
ACH-000957,-0.29927025975099997
ACH-000958,-0.341809995107
ACH-000960,-0.122784066911
ACH-000963,-0.49344542578699996
ACH-000968,-0.148950351721
ACH-000969,-0.34565988247100005
ACH-000973,-0.12154708688200001
ACH-000974,-0.195792007414
ACH-000975,-0.212763163724
ACH-000976,-0.102726494416
ACH-000978,-0.430211161193
ACH-000980,-0.225612759939
ACH-000984,-0.315247466717
ACH-000986,-0.509789653267
ACH-000988,-0.43426275683300003
ACH-000993,-0.232956338736
ACH-000994,-0.328938492518
ACH-000996,-0.269954332779
ACH-001001,-0.383410996332
ACH-001020,-0.18186577121300002
ACH-001028,-0.2015452453
ACH-001031,-0.17081331807100003
ACH-001038,-0.144085698811
ACH-001048,-0.166139850365
ACH-001050,-0.178169098574
ACH-001053,-0.182729339299
ACH-001054,-0.283049152692
ACH-001061,-0.328323491477
ACH-001067,-0.420297651055
ACH-001075,-0.24044300095499999
ACH-001096,-0.210126692917
ACH-001128,-0.312293907326
ACH-001134,-0.246159155799
ACH-001151,-0.17055780590199998
ACH-001163,-0.3222370483
ACH-001164,-0.495234132909
ACH-001173,-0.136715522921
ACH-001183,-0.0834779878791
ACH-001184,-0.26430433800299996
ACH-001190,-0.245865043611
ACH-001192,-0.0696375444095
ACH-001193,-0.129726029364
ACH-001196,-0.33310701272
ACH-001197,-0.36522600143
ACH-001205,-0.09361667690989998
ACH-001211,-0.243588085711
ACH-001212,-0.17906104642700002
ACH-001228,-0.011984101732100001
ACH-001232,-0.14924554852900002
ACH-001239,-0.081288741495
ACH-001274,-0.0579430348664
ACH-001275,0.08568527344630002
ACH-001277,-0.136086023804
ACH-001278,-0.190885069593
ACH-001280,-0.117759111408
ACH-001283,0.338749957491
ACH-001289,-0.300780881341
ACH-001295,-0.256786587956
ACH-001300,-0.23226371057599998
ACH-001301,-0.34794150701
ACH-001302,0.106875142121
ACH-001303,0.125288308547
ACH-001306,-0.119720973105
ACH-001318,-0.20642013368
ACH-001322,-0.242247767368
ACH-001328,-0.24546564181699998
ACH-001332,-0.12127711094799999
ACH-001333,-0.14060583678
ACH-001336,-0.27524909989199997
ACH-001340,-0.325904877434
ACH-001346,-0.20790697422600002
ACH-001353,-0.31948088796199997
ACH-001354,-0.143952538146
ACH-001367,-0.084217997601
ACH-001368,-0.213957212029
ACH-001374,-0.027780449119000003
ACH-001375,-0.0957545196369
ACH-001377,-0.258424575246
ACH-001380,-0.342879304191
ACH-001391,-0.0682258474077
ACH-001407,-0.341528546786
ACH-001408,-0.206047516831
ACH-001413,-0.22278405497499998
ACH-001430,-0.22174743865200003
ACH-001431,0.202008070531
ACH-001450,-0.07352753156820001
ACH-001496,-0.17032291999899998
ACH-001500,-0.11891366503699999
ACH-001521,-0.153649644754
ACH-001523,-0.198143093717
ACH-001532,-0.232874006865
ACH-001536,-0.17302257528099999
ACH-001550,-0.28770664404699997
ACH-001552,-0.0403005108964
ACH-001554,-0.209533847446
ACH-001645,-0.08646617411900001
ACH-001654,-0.18444310592
ACH-001715,0.0333369977182
ACH-001735,-0.10420205486800001
ACH-001736,-0.0600243520486
ACH-001737,0.11585796708799999
ACH-001740,-0.302502614454
ACH-001745,-0.16732321499000002
ACH-001750,-0.140133621254
ACH-001765,-0.216330290823
ACH-001956,-0.240003565119
ACH-001957,-0.21783450579799998
