,CACNB1 (782)
ACH-000935,-0.0422935324862
ACH-000936,-0.223843221248
ACH-000937,-0.309703877849
ACH-000938,-0.232992100561
ACH-000939,-0.24185965802200002
ACH-000941,-0.18193248681899998
ACH-000943,-0.310621505125
ACH-000946,-0.356664632555
ACH-000947,-0.217604231864
ACH-000948,-0.21837643469700002
ACH-000950,-0.237613193509
ACH-000953,-0.239579334065
ACH-000957,-0.0684366691685
ACH-000958,-0.045885472225599994
ACH-000960,-0.178089040905
ACH-000963,-0.126977955998
ACH-000968,-0.22799232154100002
ACH-000969,-0.14155647031500002
ACH-000973,-0.211230156538
ACH-000974,-0.336981891987
ACH-000975,-0.222607337414
ACH-000976,-0.383352472076
ACH-000978,0.154321851684
ACH-000980,-0.214623207897
ACH-000984,-0.345106247603
ACH-000986,-0.0636823904907
ACH-000988,-0.347182611554
ACH-000993,-0.408432583685
ACH-000994,-0.19999814572900002
ACH-000996,-0.38322713141500003
ACH-001001,-0.278856889758
ACH-001020,-0.661744744947
ACH-001028,-0.18050645989599998
ACH-001031,-0.36676981291999994
ACH-001038,-0.25742435258
ACH-001048,-0.23231226840100003
ACH-001050,-0.443374162604
ACH-001053,-0.289878443969
ACH-001054,-0.334001378246
ACH-001061,-0.200195577997
ACH-001067,-0.194441866574
ACH-001075,-0.512560923233
ACH-001096,-0.293654924706
ACH-001128,-0.143000025129
ACH-001134,-0.46328046507200005
ACH-001151,-0.303507651062
ACH-001163,-0.316388482807
ACH-001164,-0.134891634866
ACH-001173,-0.223299193846
ACH-001183,-0.05747235542169999
ACH-001184,0.0174427388368
ACH-001190,-0.152754613594
ACH-001192,-0.21797311840599998
ACH-001193,-0.355182054943
ACH-001196,-0.17341597715999998
ACH-001197,-0.219306252836
ACH-001205,-0.21990960557199998
ACH-001211,-0.121093368486
ACH-001212,-0.149961681088
ACH-001228,-0.397341001969
ACH-001232,-0.310249234042
ACH-001239,-0.31181539675299996
ACH-001274,-0.299014549296
ACH-001275,-0.34677488873499995
ACH-001277,-0.109603323664
ACH-001278,-0.27981646687399997
ACH-001280,-0.175875204604
ACH-001283,-0.373596524947
ACH-001289,-0.171984215987
ACH-001295,-0.290918001262
ACH-001300,-0.5484206361899999
ACH-001301,-0.227972600614
ACH-001302,-0.398094961186
ACH-001303,-0.19979318152399997
ACH-001306,-0.18113367430799998
ACH-001318,-0.257955350918
ACH-001322,-0.24187155021899998
ACH-001328,-0.33585983196
ACH-001332,-0.45664773389200003
ACH-001333,-0.396387644623
ACH-001336,-0.281945734908
ACH-001340,-0.337731693496
ACH-001346,-0.25542921595
ACH-001353,-0.284029987579
ACH-001354,-0.225743607936
ACH-001367,-0.18189423224800003
ACH-001368,-0.331120742173
ACH-001374,-0.267935029642
ACH-001375,-0.0236555409385
ACH-001377,-0.218555949793
ACH-001380,-0.331219956701
ACH-001391,-0.19307987003600002
ACH-001407,-0.113398506372
ACH-001408,-0.306480644775
ACH-001413,-0.267112511088
ACH-001430,-0.43487895634999996
ACH-001431,-0.203147373356
ACH-001450,-0.130686028282
ACH-001496,-0.186937758902
ACH-001500,-0.314485417449
ACH-001521,-0.36748919683700004
ACH-001523,-0.213109572073
ACH-001532,-0.17769664611900002
ACH-001536,-0.0868714499549
ACH-001550,-0.58836934605
ACH-001552,-0.279155154422
ACH-001554,-0.184311123655
ACH-001645,-0.302247543277
ACH-001654,-0.22636552051699999
ACH-001715,-0.162392958842
ACH-001735,-0.198697035645
ACH-001736,-0.165973212021
ACH-001737,-0.387382246351
ACH-001740,-0.168925208349
ACH-001745,-0.128719861322
ACH-001750,-0.246855298667
ACH-001765,-0.16652523607
ACH-001956,-0.23945262514
ACH-001957,-0.377135556694
