,ITK (3702)
ACH-000471,-0.0639933834704
ACH-000472,0.0505540095817
ACH-000473,0.178802396332
ACH-000475,0.0201337165903
ACH-000476,-0.14359304780999999
ACH-000477,0.190342710966
ACH-000480,-0.100254677854
ACH-000481,0.12077800095699999
ACH-000483,0.154371952178
ACH-000484,-0.201710276948
ACH-000485,0.06444615025270001
ACH-000486,0.0992286911644
ACH-000487,0.102775410166
ACH-000488,0.027330541952400002
ACH-000490,0.0559265390128
ACH-000491,0.061632701398
ACH-000495,0.08020777088610001
ACH-000496,-0.08674092785939999
ACH-000499,-0.008909542981299999
ACH-000500,0.26044159755999996
ACH-000502,-0.00691570032976
ACH-000503,0.24897507436000002
ACH-000505,-0.0123858532543
ACH-000507,-0.130930505862
ACH-000510,-0.0070834773472200005
ACH-000511,-0.035305546631199995
ACH-000512,0.059066869796199996
ACH-000516,0.0914215234068
ACH-000517,0.0022785275643
ACH-000518,0.0124395225118
ACH-000520,0.0039298093801400005
ACH-000521,-0.048154637550999996
ACH-000522,-0.00203554449105
ACH-000524,0.0323496587682
ACH-000527,0.0834812558428
ACH-000528,0.0259918752844
ACH-000537,-0.031143003794
ACH-000541,-0.127097204733
ACH-000542,0.0339852731369
ACH-000544,-0.11577767123800001
ACH-000545,0.0486056798967
ACH-000547,0.214198548195
ACH-000548,0.0726142143287
ACH-000549,0.15867343758400002
ACH-000550,0.0279563995936
ACH-000552,-0.0712277536163
ACH-000556,0.08501671219529999
ACH-000557,-0.0530802402876
ACH-000570,0.0235427261061
ACH-000571,-0.028004575002900003
ACH-000573,0.070393469407
ACH-000576,0.039359961166
ACH-000580,-0.15588364973899999
ACH-000584,0.0149104657351
ACH-000585,0.014811048002100001
ACH-000588,-0.0349181833646
ACH-000589,-0.00039842198266699995
ACH-000591,0.0136649615209
ACH-000593,0.0418265221799
ACH-000600,0.0526094257553
ACH-000601,-0.0564201415532
ACH-000604,-0.0571592698615
ACH-000605,0.070230778721
ACH-000606,0.0146266663781
ACH-000608,0.110176680949
ACH-000614,-0.0169524033868
ACH-000616,0.015476151338899999
ACH-000618,0.08855244580129999
ACH-000619,0.0164122078349
ACH-000620,-0.0431624829191
ACH-000621,0.0318294301021
ACH-000622,-0.0869665798965
ACH-000623,0.0968570329452
ACH-000624,0.000209065894597
ACH-000627,-0.0581818238189
ACH-000630,0.0469605628629
ACH-000632,-0.028544576575099997
ACH-000633,0.060923745176
ACH-000637,0.037265646974
ACH-000638,-0.0122517090708
ACH-000646,-0.036232177947999995
ACH-000647,0.040517324166
ACH-000648,0.22878688433299998
ACH-000649,-0.00226345013673
ACH-000651,-0.026362815399199997
ACH-000652,0.0241524969157
ACH-000653,0.0485211873598
ACH-000657,0.0223776890228
ACH-000658,0.113667081078
ACH-000661,-0.0239135795442
ACH-000662,-0.0167497694952
ACH-000663,-0.0136897838427
ACH-000665,-0.201456072066
ACH-000671,-0.18009322833799998
ACH-000673,0.0338638860781
ACH-000676,-0.007345427315100001
ACH-000677,-0.133438641784
ACH-000681,-0.171129207423
ACH-000682,-0.04686956100930001
ACH-000683,0.0525255443549
ACH-000684,-0.0362285607139
ACH-000688,0.0723822429005
ACH-000693,0.102683667135
ACH-000694,0.0771445142884
ACH-000695,0.162232262398
ACH-000696,0.05983596815719999
ACH-000697,-0.0310146351976
ACH-000699,-0.0381508598861
ACH-000701,0.09659223963510001
ACH-000706,0.049522636792199995
ACH-000711,0.0977910606604
ACH-000713,0.0895319791351
ACH-000714,0.105197303947
ACH-000718,0.0808802057079
ACH-000720,-0.0721712867365
ACH-000721,0.0279049211398
ACH-000724,-0.010290116266
ACH-000725,0.220735193302
ACH-000732,0.20164853769699997
ACH-000734,0.0620508412368
ACH-000735,0.043303476661
ACH-000736,-0.0304649123514
ACH-000738,0.0377162873273
ACH-000746,0.00503281579041
ACH-000747,0.000416551451197
ACH-000748,0.00608191450238
ACH-000753,-0.0660227524194
ACH-000756,-0.0229496222817
ACH-000757,-0.11577223215099999
ACH-000758,0.09391094692939998
ACH-000760,-0.044630801137699995
ACH-000763,0.0348560312164
ACH-000764,0.09679035346069999
ACH-000765,-0.019895889985099998
ACH-000766,0.102368490297
ACH-000767,0.0252921045665
ACH-000768,0.0679668820751
ACH-000769,-0.09008404197480001
ACH-000770,0.028677009929
ACH-000771,-0.07079732391919999
ACH-000773,-0.0445025662315
ACH-000776,-0.0745998039872
ACH-000777,0.0279430407199
ACH-000778,-0.0539150701131
ACH-000781,-0.0667233976012
ACH-000782,0.0573252090179
ACH-000783,0.120000695153
ACH-000784,0.12780775709
ACH-000785,-0.0868304288184
ACH-000787,0.0350779883014
ACH-000788,0.07597226282599999
ACH-000791,-0.021450201395200003
ACH-000792,0.0986188542096
ACH-000794,-0.038523722039300004
ACH-000796,-0.0979461054267
ACH-000799,0.129074008435
ACH-000800,0.00842882895929
ACH-000802,0.03613496546719999
ACH-000804,-0.185894737551
ACH-000805,-0.0181675921249
ACH-000809,-0.0185862975878
ACH-000810,0.0157635836918
ACH-000811,0.039806670496699996
ACH-000817,0.106794568332
ACH-000819,0.08505508677950001
ACH-000820,-0.190167170723
ACH-000821,0.267335418513
ACH-000822,0.10052373178400001
ACH-000823,0.0968933205483
ACH-000824,0.00831680936812
ACH-000827,0.08420165964019999
ACH-000829,0.120652906326
ACH-000831,-0.0421136258491
ACH-000832,0.0407328399876
ACH-000833,-0.27158666408300003
ACH-000834,-0.023331048011900002
ACH-000835,-0.0417521000037
ACH-000836,0.0748547639501
ACH-000837,-0.197301166742
ACH-000838,0.0609543837639
ACH-000839,0.088832620526
ACH-000840,0.0999144510247
ACH-000841,-0.047463783612199995
ACH-000843,-0.186562266654
ACH-000846,-0.163012083163
ACH-000847,0.09527389458489999
ACH-000848,0.0637527359059
ACH-000849,-0.0356680169697
ACH-000851,-0.0850633642825
ACH-000855,0.156544785096
ACH-000856,0.143781033522
ACH-000858,0.18569288989399999
ACH-000859,0.07440564441160001
ACH-000861,0.0681116304038
ACH-000862,-0.0535590054918
ACH-000865,-0.045216592457
ACH-000866,0.0445821245911
ACH-000867,0.110019675225
ACH-000869,-0.0338847110751
ACH-000872,-0.10232369411699999
ACH-000873,0.028212779882900003
ACH-000876,-0.017588002441799998
ACH-000878,-0.0719199898634
ACH-000880,-0.08996778566460001
ACH-000881,0.00105305163255
ACH-000882,0.126102738175
ACH-000884,0.143579122383
ACH-000885,-0.043996195439800004
ACH-000887,-0.00258682891138
ACH-000888,0.09838845735169999
ACH-000889,-0.0145419587207
ACH-000890,0.171712439587
