,STK31 (56164)
ACH-000734,0.01785640156
ACH-000735,0.214618214686
ACH-000736,0.303237631843
ACH-000738,0.145989958728
ACH-000746,0.170978726454
ACH-000747,0.0974507946609
ACH-000748,0.0509513496283
ACH-000753,0.241577659527
ACH-000756,0.274593672157
ACH-000757,0.09687513580389999
ACH-000758,0.139451985988
ACH-000760,0.132532492724
ACH-000763,-0.033331657475400005
ACH-000764,0.154733684466
ACH-000765,0.22751514847600002
ACH-000766,0.25750050087299997
ACH-000767,0.15954046478599998
ACH-000768,0.197185166546
ACH-000769,0.0677585656955
ACH-000770,0.124913830531
ACH-000771,0.09402386228980002
ACH-000773,0.31219957410599997
ACH-000776,0.129071674824
ACH-000777,0.102273824445
ACH-000778,0.21720341250999997
ACH-000781,0.125577901035
ACH-000782,0.08534126820969999
ACH-000783,0.237712486174
ACH-000784,0.10962060267200001
ACH-000785,-0.11684420271099999
ACH-000787,0.251251481295
ACH-000788,0.180173551307
ACH-000791,0.22911397116999999
ACH-000792,0.022772302888
ACH-000794,0.127431182757
ACH-000796,0.06148166218719999
ACH-000799,-0.0243676156733
ACH-000800,0.216732797617
ACH-000802,0.176192720176
ACH-000804,-0.0100427330697
ACH-000805,-0.010275579242799999
ACH-000809,0.13249008802
ACH-000810,0.123045229961
ACH-000811,0.0502205338308
ACH-000817,0.40059258732600006
ACH-000819,0.23001140483600002
ACH-000820,0.322121756655
ACH-000821,0.146099768066
ACH-000822,0.0760257325175
ACH-000823,0.031941908615299996
ACH-000824,0.21882033687600003
ACH-000827,0.126781920583
ACH-000829,0.382698107478
ACH-000831,0.0726694721903
ACH-000832,0.260182185913
ACH-000833,0.0817746890527
ACH-000834,-0.027921843923
ACH-000835,0.0388188152707
ACH-000836,0.484342428591
ACH-000837,0.144874435819
ACH-000838,0.23668200130300002
ACH-000839,0.243256612614
ACH-000840,0.406568028864
ACH-000841,0.23415970858000001
ACH-000843,0.0535883459652
ACH-000846,0.38084021435800003
ACH-000847,0.0868035379141
ACH-000848,0.31528207328200003
ACH-000849,0.108741993322
ACH-000851,0.111803284903
ACH-000855,0.163800053669
ACH-000856,0.112744004946
ACH-000858,0.289750718712
ACH-000859,0.255580961876
ACH-000861,0.111169648887
ACH-000862,-0.0163198078461
ACH-000865,0.17298876648800002
ACH-000866,0.163893716795
ACH-000867,0.15139811342499998
ACH-000869,0.00114576043173
ACH-000872,-0.0333757603212
ACH-000873,0.0746676873259
ACH-000876,0.23848421248799997
ACH-000878,0.058812379932500006
ACH-000880,0.15520794034000002
ACH-000881,-0.0490225231692
ACH-000882,0.0975821711871
ACH-000884,0.20579442106600002
ACH-000885,-0.100853371672
ACH-000887,0.0800491456787
ACH-000888,0.204949149139
ACH-000889,0.153092103653
ACH-000890,0.147124818977
ACH-000896,0.157250433396
ACH-000898,0.254680988055
ACH-000900,-0.181831813354
ACH-000901,-0.000278429669561
ACH-000905,0.014691676501799998
ACH-000906,0.106382916876
ACH-000907,0.199757309364
ACH-000910,0.114317919375
ACH-000911,0.0482278800519
ACH-000912,0.0997692944619
ACH-000913,-0.0459582362073
ACH-000915,0.143259942976
ACH-000916,0.9067177886059999
ACH-000917,-0.00378433345336
ACH-000921,0.22537716694
ACH-000924,0.13112125091
ACH-000926,0.17903256289099997
ACH-000928,0.107852087897
ACH-000929,0.582758878432
ACH-000932,-0.052137304285800004
