,RFXANK (8625)
ACH-001536,-0.317962669379
ACH-001550,-0.0515203420776
ACH-001552,-0.36131943897200003
ACH-001554,-0.260495421985
ACH-001645,-0.31313428229400003
ACH-001654,-0.258202328563
ACH-001715,-0.24704313978700002
ACH-001735,-0.373261198602
ACH-001736,-0.28845233630999995
ACH-001737,0.061798152921
ACH-001740,-0.238672835544
ACH-001745,-0.345924159855
ACH-001750,-0.338676283212
ACH-001765,-0.23659593471
ACH-001956,-0.31151946221500004
ACH-001957,-0.06473131144659999
