,SP110 (3431)
ACH-000910,0.0453161591445
ACH-000911,0.08667625895410001
ACH-000912,0.0539446251494
ACH-000913,-0.142726309958
ACH-000915,-0.07068862671680001
ACH-000916,0.0730883566155
ACH-000917,0.181211472335
ACH-000921,-0.19584828489999997
ACH-000924,0.123626886468
ACH-000926,-0.009708602773549999
ACH-000928,-0.198944192302
ACH-000929,0.20719752204199998
ACH-000932,0.22973434393599998
ACH-000935,0.09550716107460001
ACH-000936,0.045516364366800004
ACH-000937,-0.0643386897812
ACH-000938,0.107906006046
ACH-000939,0.68950379751
ACH-000941,0.201980861532
ACH-000943,0.0933526215963
ACH-000946,0.13868107943
ACH-000947,0.17406934853
ACH-000948,-0.0280691716225
ACH-000950,0.142465646091
ACH-000953,0.0126466861405
ACH-000957,0.204626509589
ACH-000958,-0.09392781374260001
ACH-000960,0.0539728171148
ACH-000963,-0.019264659149900002
ACH-000968,0.23305121172200002
ACH-000969,0.139025632886
ACH-000973,0.0776102110105
ACH-000974,0.0538415679648
ACH-000975,0.126153398725
ACH-000976,-0.05249192811700001
ACH-000978,0.268875950398
ACH-000980,0.0741330721351
ACH-000984,0.0564823040924
ACH-000986,0.0770354013115
ACH-000988,0.210696429978
ACH-000993,-0.238421676612
ACH-000994,0.046655975887599996
ACH-000996,0.0236121937556
ACH-001001,0.0542727123235
ACH-001020,0.534855391678
ACH-001028,0.0496126260677
ACH-001031,0.0948333032524
ACH-001038,0.145256886654
ACH-001048,0.026640329629900004
ACH-001050,0.132428809269
ACH-001053,-0.13097903851700002
ACH-001054,0.08537547105110001
ACH-001061,0.12188009908299999
ACH-001067,-0.11301159772199999
ACH-001075,0.30657172005399996
ACH-001096,0.0903096276975
ACH-001128,1.2068442401600001
ACH-001134,-0.09212231270169999
ACH-001151,-0.0203559109156
ACH-001163,0.070632852793
ACH-001164,-0.039785068577
ACH-001173,0.139354306863
ACH-001183,0.016343372323200003
ACH-001184,0.011039564818100001
ACH-001190,-0.0607993977936
ACH-001192,0.229493477454
ACH-001193,0.227921214372
ACH-001196,-0.00136348544339
ACH-001197,-0.624582457719
ACH-001205,0.000805420006797
ACH-001211,0.293893489373
ACH-001212,-0.288192620189
ACH-001228,0.0882695496641
ACH-001232,-0.12154832309000001
ACH-001239,0.103849021874
ACH-001274,-0.307256330361
ACH-001275,0.137819413197
ACH-001277,0.209173085196
ACH-001278,0.116386894508
ACH-001280,0.0521896451528
ACH-001283,0.296952241332
ACH-001289,0.21131435850299998
ACH-001295,-0.00125269690047
ACH-001300,0.132821395913
ACH-001301,0.114861635482
ACH-001302,0.153326177178
ACH-001303,0.16682370689200002
ACH-001306,0.056477694479300004
ACH-001318,0.122792888367
ACH-001322,0.0971717875625
ACH-001328,0.046886094213500006
ACH-001332,-0.043835587923400005
ACH-001333,-0.004835828518060001
ACH-001336,-0.11684436030999999
ACH-001340,0.0567916787865
ACH-001346,-0.0480689691598
ACH-001353,-0.0457134430568
ACH-001354,-0.134690705059
ACH-001367,-0.00203383901859
ACH-001368,-0.029168406579
ACH-001374,-0.306160282229
ACH-001375,0.229302612044
ACH-001377,0.0451782096299
ACH-001380,0.170675393983
ACH-001391,-0.0788632190463
ACH-001407,0.124538094879
ACH-001408,0.047208541754199994
ACH-001413,-0.132231822713
ACH-001430,0.0422122992492
ACH-001431,0.129899879841
ACH-001450,-0.07459522473389998
ACH-001496,0.247002823105
ACH-001500,0.232458802621
ACH-001521,0.224462565024
ACH-001523,0.024591941552400003
ACH-001532,0.138684962337
ACH-001536,-0.231392558507
ACH-001550,0.300015448661
ACH-001552,0.133149325062
ACH-001554,0.0265391074119
ACH-001645,-0.11436359053799999
ACH-001654,-0.04971480172730001
ACH-001715,-0.177082211904
ACH-001735,-0.0189675047564
ACH-001736,-0.0197947735301
ACH-001737,-0.0107940136567
ACH-001740,0.244862556772
ACH-001745,0.0976851273875
ACH-001750,0.08312728819960001
ACH-001765,0.11216937227399999
ACH-001956,0.118197890899
ACH-001957,0.06580813022469999
